Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_17
9,of,*,QuantityItem,QuantityItem,,QuantityItem,QuantityItem,,QuantityItem,QuantityItem,? [387],,,,,,,,,,,,,,
10,space,,,,,,,,,,,,,,,,,,,,,,,,
11,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.940,,,,,,,,,,,,,,,,,,,,,,,,,
1,They,,,,,,,,,,,,,,,,,,,,,,,,
2,fancy,,,,,,,,,,,,,,,,,,,,,,,,
3,themselves,,,,,,,,,,,,,,,,,,,,,,,,
4,as,*,Characteristic,Extent,,Characteristic,Extent,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
5,important,,,,,,,,,,,,,,,,,,,,,,,,
6,as,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,Extent,Extent,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,baobabs,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.941,,,,,,,,,,,,,,,,,,,,,,,,,
1,You,,,,,,,,,,,,,,,,,,,,,,,,
2,should,,,,,,,,,,,,,,,,,,,,,,,,
3,advise,,,,,,,,,,,,,,,,,,,,,,,,
4,them,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,then,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
9,make,,,,,,,,,,,,,,,,,,,,,,,,
10,their,*,Agent,Gestalt,,Agent,Gestalt,,Originator,Gestalt,,,,,,,,,,,,,,,
11,own,,,,,,,,,,,,,,,,,,,,,,,,
12,calculations,,,,,,,,,,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.942,,,,,,,,,,,,,,,,,,,,,,,,,
1,They,,,,,,,,,,,,,,,,,,,,,,,,
2,adore,,,,,,,,,,,,,,,,,,,,,,,,
3,figures,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,and,,,,,,,,,,,,,,,,,,,,,,,,
6,that,,,,,,,,,,,,,,,,,,,,,,,,
7,will,,,,,,,,,,,,,,,,,,,,,,,,
8,please,,,,,,,,,,,,,,,,,,,,,,,,
9,them,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.943,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,do,,,,,,,,,,,,,,,,,,,,,,,,
3,not,,,,,,,,,,,,,,,,,,,,,,,,
4,waste,,,,,,,,,,,,,,,,,,,,,,,,
5,your,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
6,time,,,,,,,,,,,,,,,,,,,,,,,,
7,on,*,Theme,Theme,,Theme,Theme,,Topic,Topic,,,,,,,,,,,,,,,
8,this,,,,,,,,,,,,,,,,,,,,,,,,
9,extra,,,,,,,,,,,,,,,,,,,,,,,,
10,task,,,,,,,,,,,,,,,,,,,,,,,,
11,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.944,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,unnecessary,,,,,,,,,,,,,,,,,,,,,,,,
4,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.945,,,,,,,,,,,,,,,,,,,,,,,,,
1,You,,,,,,,,,,,,,,,,,,,,,,,,
2,have,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,,,,,,,,,,,,,,,,,,,,,,
5,know,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,confidence,,,,,,,,,,,,,,,,,,,,,,,,
8,in,*,Stimulus,Topic,,Stimulus,Topic,,Locus,Locus,,,,,,,,,,,,,,,
9,me,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.946,,,,,,,,,,,,,,,,,,,,,,,,,
1,When,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,prince,,,,,,,,,,,,,,,,,,,,,,,,
5,arrived,,,,,,,,,,,,,,,,,,,,,,,,
6,on,*,Goal,Locus,,Goal,Locus,,Locus,Locus,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,Earth,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,he,,,,,,,,,,,,,,,,,,,,,,,,
11,was,,,,,,,,,,,,,,,,,,,,,,,,
12,very,,,,,,,,,,,,,,,,,,,,,,,,
13,much,,,,,,,,,,,,,,,,,,,,,,,,
14,surprised,,,,,,,,,,,,,,,,,,,,,,,,
15,not,,,,,,,,,,,,,,,,,,,,,,,,
16,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
17,see,,,,,,,,,,,,,,,,,,,,,,,,
18,any,,,,,,,,,,,,,,,,,,,,,,,,
19,people,,,,,,,,,,,,,,,,,,,,,,,,
20,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.947,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,beginning,,,,,,,,,,,,,,,,,,,,,,,,
4,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
5,be,,,,,,,,,,,,,,,,,,,,,,,,
6,afraid,,,,,,,,,,,,,,,,,,,,,,,,
7,he,,,,,,,,,,,,,,,,,,,,,,,,
8,had,,,,,,,,,,,,,,,,,,,,,,,,
9,come,,,,,,,,,,,,,,,,,,,,,,,,
10,to,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,,,,
11,the,,,,,,,,,,,,,,,,,,,,,,,,
12,wrong,,,,,,,,,,,,,,,,,,,,,,,,
13,planet,,,,,,,,,,,,,,,,,,,,,,,,
14,",",,,,,,,,,,,,,,,,,,,,,,,,
15,when,,,,,,,,,,,,,,,,,,,,,,,,
16,a,,,,,,,,,,,,,,,,,,,,,,,,
17,coil,,,,,,,,,,,,,,,,,,,,,,,,
18,of,*,Characteristic,Identity,,Stuff,Stuff,made of gold or golden?,Characteristic,Identity,,,,,,,,,,,,,,,
19,gold,,,,,,,,,,,,,,,,,,,,,,,,
20,",",,,,,,,,,,,,,,,,,,,,,,,,
21,the,,,,,,,,,,,,,,,,,,,,,,,,
22,color,,,,,,,,,,,,,,,,,,,,,,,,
23,of,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
24,the,,,,,,,,,,,,,,,,,,,,,,,,
25,moonlight,,,,,,,,,,,,,,,,,,,,,,,,
26,",",,,,,,,,,,,,,,,,,,,,,,,,
27,flashed,,,,,,,,,,,,,,,,,,,,,,,,
28,across,*,Path,Path,,Path,Path,,Path,Path,,,,,,,,,,,,,,,
29,the,,,,,,,,,,,,,,,,,,,,,,,,
30,sand,,,,,,,,,,,,,,,,,,,,,,,,
31,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.948,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Good,,,,,,,,,,,,,,,,,,,,,,,,
3,evening,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,said,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,little,,,,,,,,,,,,,,,,,,,,,,,,
9,prince,,,,,,,,,,,,,,,,,,,,,,,,
10,courteously,,,,,,,,,,,,,,,,,,,,,,,,
11,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.949,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Good,,,,,,,,,,,,,,,,,,,,,,,,
3,evening,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,said,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,snake,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.950,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,What,,,,,,,,,,,,,,,,,,,,,,,,
3,planet,,,,,,,,,,,,,,,,,,,,,,,,
4,is,,,,,,,,,,,,,,,,,,,,,,,,
5,this,,,,,,,,,,,,,,,,,,,,,,,,
6,on,*,Goal,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
7,which,,,,,,,,,,,,,,,,,,,,,,,,
8,I,,,,,,,,,,,,,,,,,,,,,,,,
9,have,,,,,,,,,,,,,,,,,,,,,,,,
10,come,,,,,,,,,,,,,,,,,,,,,,,,
11,down,,,,,,,,,,,,,,,,,,,,,,,,
12,?,,,,,,,,,,,,,,,,,,,,,,,,
13,"""",,,,,,,,,,,,,,,,,,,,,,,,
14,asked,,,,,,,,,,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,little,,,,,,,,,,,,,,,,,,,,,,,,
17,prince,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.951,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,This,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,the,,,,,,,,,,,,,,,,,,,,,,,,
5,Earth,,,,,,,,,,,,,,,,,,,,,,,,
6,;,,,,,,,,,,,,,,,,,,,,,,,,
7,this,,,,,,,,,,,,,,,,,,,,,,,,
8,is,,,,,,,,,,,,,,,,,,,,,,,,
9,Africa,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,"""",,,,,,,,,,,,,,,,,,,,,,,,
12,the,,,,,,,,,,,,,,,,,,,,,,,,
13,snake,,,,,,,,,,,,,,,,,,,,,,,,
14,answered,,,,,,,,,,,,,,,,,,,,,,,,
15,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.952,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Ah,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.953,,,,,,,,,,,,,,,,,,,,,,,,,
1,Then,,,,,,,,,,,,,,,,,,,,,,,,
2,there,,,,,,,,,,,,,,,,,,,,,,,,
3,are,,,,,,,,,,,,,,,,,,,,,,,,
4,no,,,,,,,,,,,,,,,,,,,,,,,,
5,people,,,,,,,,,,,,,,,,,,,,,,,,
6,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,Earth,,,,,,,,,,,,,,,,,,,,,,,,
9,?,,,,,,,,,,,,,,,,,,,,,,,,
10,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.954,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,This,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,the,,,,,,,,,,,,,,,,,,,,,,,,
5,desert,,,,,,,,,,,,,,,,,,,,,,,,
6,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.955,,,,,,,,,,,,,,,,,,,,,,,,,
1,There,,,,,,,,,,,,,,,,,,,,,,,,
2,are,,,,,,,,,,,,,,,,,,,,,,,,
3,no,,,,,,,,,,,,,,,,,,,,,,,,
4,people,,,,,,,,,,,,,,,,,,,,,,,,
5,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,desert,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.956,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,Earth,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,large,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,said,,,,,,,,,,,,,,,,,,,,,,,,
8,the,,,,,,,,,,,,,,,,,,,,,,,,
9,snake,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.957,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,sat,,,,,,,,,,,,,,,,,,,,,,,,
5,down,,,,,,,,,,,,,,,,,,,,,,,,
6,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
7,a,,,,,,,,,,,,,,,,,,,,,,,,
8,stone,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,and,,,,,,,,,,,,,,,,,,,,,,,,
11,raised,,,,,,,,,,,,,,,,,,,,,,,,
12,his,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
13,eyes,,,,,,,,,,,,,,,,,,,,,,,,
14,toward,*,Direction,Direction,,Direction,Direction,,Direction,Direction,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,sky,,,,,,,,,,,,,,,,,,,,,,,,
17,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.958,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,wonder,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,he,,,,,,,,,,,,,,,,,,,,,,,,
7,said,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,"""",,,,,,,,,,,,,,,,,,,,,,,,
10,whether,,,,,,,,,,,,,,,,,,,,,,,,
11,the,,,,,,,,,,,,,,,,,,,,,,,,
12,stars,,,,,,,,,,,,,,,,,,,,,,,,
13,are,,,,,,,,,,,,,,,,,,,,,,,,
14,set,,,,,,,,,,,,,,,,,,,,,,,,
15,alight,,,,,,,,,,,,,,,,,,,,,,,,
16,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
17,heaven,,,,,,,,,,,,,,,,,,,,,,,,
18,so,,,,,,,,,,,,,,,,,,,,,,,,
19,that,,,,,,,,,,,,,,,,,,,,,,,,
