Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_8
28,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
29,it,,,,,,,,,,,,,,,,,,,,,,,,
30,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.376,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,flower,,,,,,,,,,,,,,,,,,,,,,,,
4,was,,,,,,,,,,,,,,,,,,,,,,,,
5,not,,,,,,,,,,,,,,,,,,,,,,,,
6,satisfied,,,,,,,,,,,,,,,,,,,,,,,,
7,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
8,complete,,,,,,,,,,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,preparations,,,,,,,,,,,,,,,,,,,,,,,,
11,for,*,Purpose,Purpose,,Purpose,Purpose,,Purpose,Purpose,,,,,,,,,,,,,,,
12,her,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
13,beauty,,,,,,,,,,,,,,,,,,,,,,,,
14,in,*,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,shelter,,,,,,,,,,,,,,,,,,,,,,,,
17,of,*,Identity,Identity,,Identity,Identity,idk; the green chamber is/serves as shelter or the green chamber provides shelter (Gestalt?),Identity,Identity,,,,,,,,,,,,,,,
18,her,*,,,*Q*,Whole,Whole,the chamber is a part of the flower right,Possession,Possession,,,,,,,,,,,,,,,
19,green,,,,,,,,,,,,,,,,,,,,,,,,
20,chamber,,,,,,,,,,,,,,,,,,,,,,,,
21,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.377,,,,,,,,,,,,,,,,,,,,,,,,,
1,She,,,,,,,,,,,,,,,,,,,,,,,,
2,chose,,,,,,,,,,,,,,,,,,,,,,,,
3,her,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
4,colours,,,,,,,,,,,,,,,,,,,,,,,,
5,with,*,Manner,Manner,,Manner,Manner,,Manner,Manner,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,greatest,,,,,,,,,,,,,,,,,,,,,,,,
8,care,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.378,,,,,,,,,,,,,,,,,,,,,,,,,
1,She,,,,,,,,,,,,,,,,,,,,,,,,
2,adjusted,,,,,,,,,,,,,,,,,,,,,,,,
3,her,*,Whole,Gestalt,,Whole,Whole,are petals like arms? or earrings? too philosophical?,Whole,Gestalt,,,,,,,,,,,,,,,
4,petals,,,,,,,,,,,,,,,,,,,,,,,,
5,one,,,,,,,,,,,,,,,,,,,,,,,,
6,by,,,,,,,,,,,,,,,,,,,,,,,,
7,one,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.379,,,,,,,,,,,,,,,,,,,,,,,,,
1,She,,,,,,,,,,,,,,,,,,,,,,,,
2,did,,,,,,,,,,,,,,,,,,,,,,,,
3,not,,,,,,,,,,,,,,,,,,,,,,,,
4,wish,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
6,go,,,,,,,,,,,,,,,,,,,,,,,,
7,out,,Direction,Direction,,,,,,,,,,,,,,,,,,,,,
8,into,*,Goal,Goal,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,world,,,,,,,,,,,,,,,,,,,,,,,,
11,all,,,,,,,,,,,,,,,,,,,,,,,,
12,rumpled,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,like,*,ComparisonRef,ComparisonRef,,Manner,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,field,,,,,,,,,,,,,,,,,,,,,,,,
17,poppies,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.380,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,only,,,,,,,,,,,,,,,,,,,,,,,,
4,in,*,,Locus,*Q*,Characteristic,Locus,the form that she takes,Circumstance,Circumstance,,,,,,,,,,,,,,,
5,the,,,,,,,,,,,,,,,,,,,,,,,,
6,full,,,,,,,,,,,,,,,,,,,,,,,,
7,radiance,,,,,,,,,,,,,,,,,,,,,,,,
8,of,*,Gestalt,Gestalt,,Gestalt,Gestalt,radiance is a property of beauty,Identity,Identity,,,,,,,,,,,,,,,
9,her,*,Gestalt,Gestalt,,Gestalt,Gestalt,beauty is a property of her (the flower),Gestalt,Gestalt,,,,,,,,,,,,,,,
10,beauty,,,,,,,,,,,,,,,,,,,,,,,,
11,that,,,,,,,,,,,,,,,,,,,,,,,,
12,she,,,,,,,,,,,,,,,,,,,,,,,,
13,wished,,,,,,,,,,,,,,,,,,,,,,,,
14,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
15,appear,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.381,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oh,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,yes,,,,,,,,,,,,,,,,,,,,,,,,
4,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.382,,,,,,,,,,,,,,,,,,,,,,,,,
1,She,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,,,,,,,,,,,
4,coquettish,,,,,,,,,,,,,,,,,,,,,,,,
5,creature,,,,,,,,,,,,,,,,,,,,,,,,
6,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.383,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,her,*,Possessor,Possessor,,Gestalt,Gestalt,"idek, could be Possessor",Posession,Posession,,,,,,,,,,,,,,,
3,mysterious,,,,,,,,,,,,,,,,,,,,,,,,
4,adornment,,,,,,,,,,,,,,,,,,,,,,,,
5,lasted,,,,,,,,,,,,,,,,,,,,,,,,
6,for,*,Duration,Duration,,Duration,Duration,,Duration,Duration,,,,,,,,,,,,,,,
7,days,,,,,,,,,,,,,,,,,,,,,,,,
8,and,,,,,,,,,,,,,,,,,,,,,,,,
9,days,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.384,,,,,,,,,,,,,,,,,,,,,,,,,
1,Then,,,,,,,,,,,,,,,,,,,,,,,,
2,one,,,,,,,,,,,,,,,,,,,,,,,,
3,morning,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,exactly,,,,,,,,,,,,,,,,,,,,,,,,
6,at,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
7,sunrise,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,she,,,,,,,,,,,,,,,,,,,,,,,,
10,suddenly,,,,,,,,,,,,,,,,,,,,,,,,
11,showed,,,,,,,,,,,,,,,,,,,,,,,,
12,herself,,,,,,,,,,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.385,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,after,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
4,working,,,,,,,,,,,,,,,,,,,,,,,,
5,with,*,Manner,Manner,,Manner,Manner,,Manner,Manner,,,,,,,,,,,,,,,
6,all,,,,,,,,,,,,,,,,,,,,,,,,
7,this,,,,,,,,,,,,,,,,,,,,,,,,
8,painstaking,,,,,,,,,,,,,,,,,,,,,,,,
9,precision,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,she,,,,,,,,,,,,,,,,,,,,,,,,
12,yawned,,,,,,,,,,,,,,,,,,,,,,,,
13,and,,,,,,,,,,,,,,,,,,,,,,,,
14,said,,,,,,,,,,,,,,,,,,,,,,,,
15,:,,,,,,,,,,,,,,,,,,,,,,,,
16,"""",,,,,,,,,,,,,,,,,,,,,,,,
17,Ah,,,,,,,,,,,,,,,,,,,,,,,,
18,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.386,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,am,,,,,,,,,,,,,,,,,,,,,,,,
3,scarcely,,,,,,,,,,,,,,,,,,,,,,,,
4,awake,,,,,,,,,,,,,,,,,,,,,,,,
5,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.387,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,beg,,,,,,,,,,,,,,,,,,,,,,,,
3,that,,,,,,,,,,,,,,,,,,,,,,,,
4,you,,,,,,,,,,,,,,,,,,,,,,,,
5,will,,,,,,,,,,,,,,,,,,,,,,,,
6,excuse,,,,,,,,,,,,,,,,,,,,,,,,
7,me,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.388,,,,,,,,,,,,,,,,,,,,,,,,,
1,My,*,Whole,Gestalt,,Whole,Whole,,Possessor,Possessor,,,,,,,,,,,,,,,
2,petals,,,,,,,,,,,,,,,,,,,,,,,,
3,are,,,,,,,,,,,,,,,,,,,,,,,,
4,still,,,,,,,,,,,,,,,,,,,,,,,,
5,all,,,,,,,,,,,,,,,,,,,,,,,,
6,disarranged,,,,,,,,,,,,,,,,,,,,,,,,
7,...,,,,,,,,,,,,,,,,,,,,,,,,
8,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.389,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,prince,,,,,,,,,,,,,,,,,,,,,,,,
5,could,,,,,,,,,,,,,,,,,,,,,,,,
6,not,,,,,,,,,,,,,,,,,,,,,,,,
7,restrain,,,,,,,,,,,,,,,,,,,,,,,,
8,his,*,Experiencer,Gestalt,,Experiencer,Gestalt,,Experiencer,Gestalt,,,,,,,,,,,,,,,
9,admiration,,,,,,,,,,,,,,,,,,,,,,,,
10,:,,,,,,,,,,,,,,,,,,,,,,,,
11,"""",,,,,,,,,,,,,,,,,,,,,,,,
12,Oh,,,,,,,,,,,,,,,,,,,,,,,,
13,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.390,,,,,,,,,,,,,,,,,,,,,,,,,
1,How,,,,,,,,,,,,,,,,,,,,,,,,
2,beautiful,,,,,,,,,,,,,,,,,,,,,,,,
3,you,,,,,,,,,,,,,,,,,,,,,,,,
4,are,,,,,,,,,,,,,,,,,,,,,,,,
5,!,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.391,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Am,,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,,,,,,
4,not,,,,,,,,,,,,,,,,,,,,,,,,
5,?,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,flower,,,,,,,,,,,,,,,,,,,,,,,,
9,responded,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,sweetly,,,,,,,,,,,,,,,,,,,,,,,,
12,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.392,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,And,,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,,,,,,
4,was,,,,,,,,,,,,,,,,,,,,,,,,
5,born,,,,,,,,,,,,,,,,,,,,,,,,
6,at,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,same,,,,,,,,,,,,,,,,,,,,,,,,
9,moment,,,,,,,,,,,,,,,,,,,,,,,,
10,as,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
11,the,,,,,,,,,,,,,,,,,,,,,,,,
12,sun,,,,,,,,,,,,,,,,,,,,,,,,
13,...,,,,,,,,,,,,,,,,,,,,,,,,
14,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.393,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,could,,,,,,,,,,,,,,,,,,,,,,,,
5,guess,,,,,,,,,,,,,,,,,,,,,,,,
6,easily,,,,,,,,,,,,,,,,,,,,,,,,
7,enough,,,,,,,,,,,,,,,,,,,,,,,,
8,that,,,,,,,,,,,,,,,,,,,,,,,,
9,she,,,,,,,,,,,,,,,,,,,,,,,,
10,was,,,,,,,,,,,,,,,,,,,,,,,,
11,not,,,,,,,,,,,,,,,,,,,,,,,,
12,any,,,,,,,,,,,,,,,,,,,,,,,,
13,too,,,,,,,,,,,,,,,,,,,,,,,,
14,modest,,,,,,,,,,,,,,,,,,,,,,,,
15,-,,,,,,,,,,,,,,,,,,,,,,,,
