Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_10
11,he,,,,,,,,,,,,,,,,,,,,,,,,
12,recognize,,,,,,,,,,,,,,,,,,,,,,,,
13,me,,,,,,,,,,,,,,,,,,,,,,,,
14,when,,,,,,,,,,,,,,,,,,,,,,,,
15,he,,,,,,,,,,,,,,,,,,,,,,,,
16,had,,,,,,,,,,,,,,,,,,,,,,,,
17,never,,,,,,,,,,,,,,,,,,,,,,,,
18,seen,,,,,,,,,,,,,,,,,,,,,,,,
19,me,,,,,,,,,,,,,,,,,,,,,,,,
20,before,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
21,?,,,,,,,,,,,,,,,,,,,,,,,,
22,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.488,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,did,,,,,,,,,,,,,,,,,,,,,,,,
3,not,,,,,,,,,,,,,,,,,,,,,,,,
4,know,,,,,,,,,,,,,,,,,,,,,,,,
5,how,,,,,,,,,,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,world,,,,,,,,,,,,,,,,,,,,,,,,
8,is,,,,,,,,,,,,,,,,,,,,,,,,
9,simplified,,,,,,,,,,,,,,,,,,,,,,,,
10,for,*,Experiencer,Beneficiary,,Experiencer,Beneficiary,[267],Circumstance,Circumstance,or like.... Experiencer ~ ?,,,,,,,,,,,,,,
11,kings,,,,,,,,,,,,,,,,,,,,,,,,
12,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.489,,,,,,,,,,,,,,,,,,,,,,,,,
1,To,*,Experiencer,Goal,,Experiencer,Goal,,Experiencer,Goal,ig? because see above,,,,,,,,,,,,,,
2,them,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,all,,,,,,,,,,,,,,,,,,,,,,,,
5,men,,,,,,,...only men?,,,,,,,,,,,,,,,,,
6,are,,,,,,,,,,,,,,,,,,,,,,,,
7,subjects,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.490,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Approach,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,so,,,,,,,,,,,,,,,,,,,,,,,,
5,that,,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,,,,,,,,,,,,,,,,,,,,,,
7,may,,,,,,,,,,,,,,,,,,,,,,,,
8,see,,,,,,,,,,,,,,,,,,,,,,,,
9,you,,,,,,,,,,,,,,,,,,,,,,,,
10,better,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,,,,,,,,,,,,,,,,,
12,"""",,,,,,,,,,,,,,,,,,,,,,,,
13,said,,,,,,,,,,,,,,,,,,,,,,,,
14,the,,,,,,,,,,,,,,,,,,,,,,,,
15,king,,,,,,,,,,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,who,,,,,,,,,,,,,,,,,,,,,,,,
18,felt,,,,,,,,,,,,,,,,,,,,,,,,
19,consumingly,,,,,,,,,,,,,,,,,,,,,,,,
20,proud,,,,,,,,,,,,,,,,,,,,,,,,
21,of,*,Stimulus,Topic,,Stimulus,Topic,,Stimulus,Topic,,,,,,,,,,,,,,,
22,being,,,,,,,,,,,,,,,,,,,,,,,,
23,at,*,Time,Time,MWE,Time,Time,MWE,Time,Time,"ig....? tbh MWE meaning ""finally""",,,,,,,,,,,,,,
24,last,,_,_,MWE,_,_,MWE,,,,,,,,,,,,,,,,,
25,a,,,,,,,,,,,,,,,,,,,,,,,,
26,king,,,,,,,,,,,,,,,,,,,,,,,,
27,over,*,ComparisonRef,Locus,"force dynamic, related to https://github.com/carmls/snacs-guidelines/issues/54",ComparisonRef,Locus,"force dynamic, related to https://github.com/carmls/snacs-guidelines/issues/54",Theme,Theme,,,,,,,,,,,,,,,
28,somebody,,,,,,,,,,,,,,,,,,,,,,,,
29,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.491,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,looked,,,,,,,,,,,,,,,,,,,,,,,,
5,everywhere,,,,,,,,,,,,,,,,,,,,,,,,
6,to,,Purpose,Purpose,,Purpose,Purpose,,`i,`i,,,,,,,,,,,,,,,
7,find,,,,,,,,,,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,place,,,,,,,,,,,,,,,,,,,,,,,,
10,to,,Purpose,Purpose,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
11,sit,,,,,,,,,,,,,,,,,,,,,,,,
12,down,,,,,,,,,,,,,,,,,,,,,,,,
13,;,,,,,,,,,,,,,,,,,,,,,,,,
14,but,,,,,,,,,,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,entire,,,,,,,,,,,,,,,,,,,,,,,,
17,planet,,,,,,,,,,,,,,,,,,,,,,,,
18,was,,,,,,,,,,,,,,,,,,,,,,,,
19,crammed,,,,,,,,,,,,,,,,,,,,,,,,
20,and,,,,,,,,,,,,,,,,,,,,,,,,
21,obstructed,,,,,,,,,,,,,,,,,,,,,,,,
22,by,*,,Causer,*Q* Instrument or plain Causer?,Causer,Causer,,Instrument,Theme,"guidelines: 304 instrument ~ causer if there is an agent whose agency is being downplayed by a passive constuction. Current annotation is based on ""covered with grease"" aka instrument ~ theme",,,,,,,,,,,,,,
23,the,,,,,,,,,,,,,,,,,,,,,,,,
24,king,,,,,,,,,,,,,,,,,,,,,,,,
25,'s,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
26,magnificent,,,,,,,,,,,,,,,,,,,,,,,,
27,ermine,,,,,,,,,,,,,,,,,,,,,,,,
28,robe,,,,,,,,,,,,,,,,,,,,,,,,
29,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.492,,,,,,,,,,,,,,,,,,,,,,,,,
1,So,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,remained,,,,,,,,,,,,,,,,,,,,,,,,
4,standing,,,,,,,,,,,,,,,,,,,,,,,,
5,upright,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,and,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,since,*,Explanation,Explanation,,Explanation,Explanation,,Explanation,Explanation,,,,,,,,,,,,,,,
10,he,,,,,,,,,,,,,,,,,,,,,,,,
11,was,,,,,,,,,,,,,,,,,,,,,,,,
12,tired,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,he,,,,,,,,,,,,,,,,,,,,,,,,
15,yawned,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.493,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,It,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,contrary,1:1**,ComparisonRef,Goal,*Q* force dynamic,ComparisonRef,Goal,also feels similar to AGAINST which is OGI 21 https://github.com/carmls/snacs-guidelines/issues/21,,,IDK ,,,,,,,,,,,,,,
5,to,1:2,,,,,,,,,,,,,,,,,,,,,,,
6,etiquette,,,,,,,,,,,,,,,,,,,,,,,,
7,to,,`i,`i,,,,,,,,,,,,,,,,,,,,,
8,yawn,,,,,,,,,,,,,,,,,,,,,,,,
9,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
10,the,,,,,,,,,,,,,,,,,,,,,,,,
11,presence,,,,,,,,,,,,,,,,,,,,,,,,
12,of,*,Theme,Gestalt,,Agent,Gestalt,adlfjkdslfkjdf,Gestalt,Gestalt,ig,,,,,,,,,,,,,,
13,a,,,,,,,,,,,,,,,,,,,,,,,,
14,king,,,,,,,,,,,,,,,,,,,,,,,,
15,",",,,,,,,,,,,,,,,,,,,,,,,,
16,"""",,,,,,,,,,,,,,,,,,,,,,,,
17,the,,,,,,,,,,,,,,,,,,,,,,,,
18,monarch,,,,,,,,,,,,,,,,,,,,,,,,
19,said,,,,,,,,,,,,,,,,,,,,,,,,
20,to,*,Recipient,Goal,,Recipient,Goal,,Recipient,Goal,,,,,,,,,,,,,,,
21,him,,,,,,,,,,,,,,,,,,,,,,,,
22,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.494,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,forbid,,,,,,,,,,,,,,,,,,,,,,,,
4,you,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
6,do,,,,,,,,,,,,,,,,,,,,,,,,
7,so,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
9,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.495,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,can,,,,,,,,,,,,,,,,,,,,,,,,
4,n't,,,,,,,,,,,,,,,,,,,,,,,,
5,help,,,,,,,,,,,,,,,,,,,,,,,,
6,it,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.496,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,can,,,,,,,,,,,,,,,,,,,,,,,,
3,n't,,,,,,,,,,,,,,,,,,,,,,,,
4,stop,,,,,,,,,,,,,,,,,,,,,,,,
5,myself,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,"""",,,,,,,,,,,,,,,,,,,,,,,,
8,replied,,,,,,,,,,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,little,,,,,,,,,,,,,,,,,,,,,,,,
11,prince,,,,,,,,,,,,,,,,,,,,,,,,
12,",",,,,,,,,,,,,,,,,,,,,,,,,
13,thoroughly,,,,,,,,,,,,,,,,,,,,,,,,
14,embarrassed,,,,,,,,,,,,,,,,,,,,,,,,
15,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.497,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,have,,,,,,,,,,,,,,,,,,,,,,,,
4,come,,,,,,,,,,,,,,,,,,,,,,,,
5,on,,Circumstance,Locus,,Circumstance,Locus,[13]! unless this is different bc come,,,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,long,,,,,,,,,,,,,,,,,,,,,,,,
8,journey,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,and,,,,,,,,,,,,,,,,,,,,,,,,
11,I,,,,,,,,,,,,,,,,,,,,,,,,
12,have,,,,,,,,,,,,,,,,,,,,,,,,
13,had,,,,,,,,,,,,,,,,,,,,,,,,
14,no,,,,,,,,,,,,,,,,,,,,,,,,
15,sleep,,,,,,,,,,,,,,,,,,,,,,,,
16,...,,,,,,,,,,,,,,,,,,,,,,,,
17,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.498,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Ah,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,then,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,king,,,,,,,,,,,,,,,,,,,,,,,,
9,said,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.499,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,order,,,,,,,,,,,,,,,,,,,,,,,,
4,you,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
6,yawn,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.500,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,years,,,,,,,,,,,,,,,,,,,,,,,,
4,since,*,StartTime,StartTime,,StartTime,StartTime,,StartTime,StartTime,,,,,,,,,,,,,,,
5,I,,,,,,,,,,,,,,,,,,,,,,,,
6,have,,,,,,,,,,,,,,,,,,,,,,,,
7,seen,,,,,,,,,,,,,,,,,,,,,,,,
8,anyone,,,,,,,,,,,,,,,,,,,,,,,,
9,yawning,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.501,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yawns,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,to,*,Experiencer,Goal,,Experiencer,Goal,,Experiencer,Goal,ig,,,,,,,,,,,,,,
4,me,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,are,,,,,,,,,,,,,,,,,,,,,,,,
7,objects,,,,,,,,,,,,,,,,,,,,,,,,
8,of,*,Characteristic,Identity,,Characteristic,Identity,,Characteristic,Identity,,,,,,,,,,,,,,,
9,curiosity,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.502,,,,,,,,,,,,,,,,,,,,,,,,,
1,Come,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,now,,,,,,,,,,,,,,,,,,,,,,,,
4,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.503,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yawn,,,,,,,,,,,,,,,,,,,,,,,,
2,again,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.504,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,an,,,,,,,,,,,,,,,,,,,,,,,,
4,order,,,,,,,,,,,,,,,,,,,,,,,,
5,.,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.505,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,That,,,,,,,,,,,,,,,,,,,,,,,,
3,frightens,,,,,,,,,,,,,,,,,,,,,,,,
4,me,,,,,,,,,,,,,,,,,,,,,,,,
5,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.506,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,can,,,,,,,,,,,,,,,,,,,,,,,,
3,not,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,any,,,,,,,,,,,,,,,,,,,,,,,,
6,more,,,,,,,,,,,,,,,,,,,,,,,,
7,...,,,,,,,,,,,,,,,,,,,,,,,,
8,"""",,,,,,,,,,,,,,,,,,,,,,,,
9,murmured,,,,,,,,,,,,,,,,,,,,,,,,
10,the,,,,,,,,,,,,,,,,,,,,,,,,
11,little,,,,,,,,,,,,,,,,,,,,,,,,
12,prince,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,now,,,,,,,,,,,,,,,,,,,,,,,,
15,completely,,,,,,,,,,,,,,,,,,,,,,,,
16,abashed,,,,,,,,,,,,,,,,,,,,,,,,
17,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.507,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Hum,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.508,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hum,,,,,,,,,,,,,,,,,,,,,,,,
2,!,,,,,,,,,,,,,,,,,,,,,,,,
3,"""",,,,,,,,,,,,,,,,,,,,,,,,
4,replied,,,,,,,,,,,,,,,,,,,,,,,,
5,the,,,,,,,,,,,,,,,,,,,,,,,,
6,king,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.509,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Then,,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,,,,,,
4,-,,,,,,,,,,,,,,,,,,,,,,,,
5,-,,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,,,,,,,,,,,,,,,,,,,,,,
7,order,,,,,,,,,,,,,,,,,,,,,,,,
8,you,,,,,,,,,,,,,,,,,,,,,,,,
9,sometimes,,,,,,,,,,,,,,,,,,,,,,,,
10,to,*,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
