Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,#REF!,,,,,,,,,,,,,lpp_2
5,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,/347,,,,,,,,,,,,,,
6,engine,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.39,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,as,*,Explanation,Explanation,,Explanation,Explanation,,Explanation,Explanation,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,,,,,,
4,had,,,,,,,,,,,,,,,,,,,,,,,,
5,with,*,Locus,Ancillary,,Locus,Ancillary,,Locus,Ancillary,254a,,,,,,,,,,,,,,
6,me,,,,,,,,,,,,,,,,,,,,,,,,
7,neither,,,,,,,,,,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,mechanic,,,,,,,,,,,,,,,,,,,,,,,,
10,nor,,,,,,,,,,,,,,,,,,,,,,,,
11,any,,,,,,,,,,,,,,,,,,,,,,,,
12,passengers,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,I,,,,,,,,,,,,,,,,,,,,,,,,
15,set,,,,,,,,,,,,,,,,,,,,,,,,
16,myself,,,,,,,,,,,,,,,,,,,,,,,,
17,to,*,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
18,attempt,,,,,,,,,,,,,,,,,,,,,,,,
19,the,,,,,,,,,,,,,,,,,,,,,,,,
20,difficult,,,,,,,,,,,,,,,,,,,,,,,,
21,repairs,,,,,,,,,,,,,,,,,,,,,,,,
22,all,,,,,,,,,,,,,,,,,,,,,,,,
23,alone,,,,,,,,,,,,,,,,,,,,,,,,
24,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.40,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,,,,,,,,,,,
4,question,,,,,,,,,,,,,,,,,,,,,,,,
5,of,*,Topic,Identity,,Topic,Identity,,Topic,Identity,,,,,,,,,,,,,,,
6,life,,,,,,,,,,,,,,,,,,,,,,,,
7,or,,,,,,,,,,,,,,,,,,,,,,,,
8,death,,,,,,,,,,,,,,,,,,,,,,,,
9,for,*,Experiencer,Beneficiary,OGI 90 https://github.com/carmls/snacs-guidelines/issues/90,Beneficiary,Beneficiary,,Experiencer,Beneficiary,/264,,,,,,,,,,,,,,
10,me,,,,,,,,,,,,,,,,,,,,,,,,
11,:,,,,,,,,,,,,,,,,,,,,,,,,
12,I,,,,,,,,,,,,,,,,,,,,,,,,
13,had,,,,,,,,,,,,,,,,,,,,,,,,
14,scarcely,,,,,,,,,,,,,,,,,,,,,,,,
15,enough,,,,,,,,,,,,,,,,,,,,,,,,
16,drinking,,,,,,,,,,,,,,,,,,,,,,,,
17,water,,,,,,,,,,,,,,,,,,,,,,,,
18,to,*,ComparisonRef,Purpose,,ComparisonRef,Purpose,,ComparisonRef,Purpose,/194,,,,,,,,,,,,,,
19,last,,,,,,,,,,,,,,,,,,,,,,,,
20,a,,,,,,,,,,,,,,,,,,,,,,,,
21,week,,,,,,,,,,,,,,,,,,,,,,,,
22,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.41,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,first,,,,,,,,,,,,,,,,,,,,,,,,
3,night,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,then,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,I,,,,,,,,,,,,,,,,,,,,,,,,
8,went,,,,,,,,,,,,,,,,,,,,,,,,
9,to,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,,,,
10,sleep,,,,,,,,,,,,,,,,,,,,,,,,
11,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
12,the,,,,,,,,,,,,,,,,,,,,,,,,
13,sand,,,,,,,,,,,,,,,,,,,,,,,,
14,",",,,,,,,,,,,,,,,,,,,,,,,,
15,a,,,,,,,,,,,,,,,,,,,,,,,,
16,thousand,,,,,,,,,,,,,,,,,,,,,,,,
17,miles,,,,,,,,,,,,,,,,,,,,,,,,
18,from,*,Locus,Source,,Locus,Source,,Locus,Source,,,,,,,,,,,,,,,
19,any,,,,,,,,,,,,,,,,,,,,,,,,
20,human,,,,,,,,,,,,,,,,,,,,,,,,
21,habitation,,,,,,,,,,,,,,,,,,,,,,,,
22,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.42,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,more,,,,,,,,,,,,,,,,,,,,,,,,
4,isolated,,,,,,,,,,,,,,,,,,,,,,,,
5,than,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,shipwrecked,,,,,,,,,,,,,,,,,,,,,,,,
8,sailor,,,,,,,,,,,,,,,,,,,,,,,,
9,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
10,a,,,,,,,,,,,,,,,,,,,,,,,,
11,raft,,,,,,,,,,,,,,,,,,,,,,,,
12,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
13,the,,,,,,,,,,,,,,,,,,,,,,,,
14,middle,,,,,,,,,,,,,,,,,,,,,,,,
15,of,*,Whole,Whole,,Whole,Whole,,Whole,Whole,,,,,,,,,,,,,,,
16,the,,,,,,,,,,,,,,,,,,,,,,,,
17,ocean,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thus,,,,,,,,,,,,,,,,,,,,,,,,
2,you,,,,,,,,,,,,,,,,,,,,,,,,
3,can,,,,,,,,,,,,,,,,,,,,,,,,
4,imagine,,,,,,,,,,,,,,,,,,,,,,,,
5,my,*,Experiencer,Gestalt,,Experiencer,Gestalt,,Experiencer,Gestalt,,,,,,,,,,,,,,,
6,amazement,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,at,*,Time,Time,,Time,Time,,Time,Time,,,,,,,,,,,,,,,
9,sunrise,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,when,,,,,,,,,,,,,,,,,,,,,,,,
12,I,,,,,,,,,,,,,,,,,,,,,,,,
13,was,,,,,,,,,,,,,,,,,,,,,,,,
14,awakened,,,,,,,,,,,,,,,,,,,,,,,,
15,by,*,Causer,Causer,,Causer,Causer,,Causer,Causer,,,,,,,,,,,,,,,
16,an,,,,,,,,,,,,,,,,,,,,,,,,
17,odd,,,,,,,,,,,,,,,,,,,,,,,,
18,little,,,,,,,,,,,,,,,,,,,,,,,,
19,voice,,,,,,,,,,,,,,,,,,,,,,,,
20,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.44,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,said,,,,,,,,,,,,,,,,,,,,,,,,
3,:,,,,,,,,,,,,,,,,,,,,,,,,
4,"""",,,,,,,,,,,,,,,,,,,,,,,,
5,If,,,,,,,,,,,,,,,,,,,,,,,,
6,you,,,,,,,,,,,,,,,,,,,,,,,,
7,please,,,,,,,,,,,,,,,,,,,,,,,,
8,--,,,,,,,,,,,,,,,,,,,,,,,,
9,draw,,,,,,,,,,,,,,,,,,,,,,,,
10,me,,,,,,,,,,,,,,,,,,,,,,,,
11,a,,,,,,,,,,,,,,,,,,,,,,,,
12,sheep,,,,,,,,,,,,,,,,,,,,,,,,
13,!,,,,,,,,,,,,,,,,,,,,,,,,
14,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.45,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,What,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
4,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.46,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Draw,,,,,,,,,,,,,,,,,,,,,,,,
3,me,,,,,,,,,,,,,,,,,,,,,,,,
4,a,,,,,,,,,,,,,,,,,,,,,,,,
5,sheep,,,,,,,,,,,,,,,,,,,,,,,,
6,!,,,,,,,,,,,,,,,,,,,,,,,,
7,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.47,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,jumped,,,,,,,,,,,,,,,,,,,,,,,,
3,to,*,Goal,Goal,,Goal,Goal,or MWE?,Goal,Goal,,,,,,,,,,,,,,,
4,my,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
5,feet,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,completely,,,,,,,,,,,,,,,,,,,,,,,,
8,thunderstruck,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.48,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,blinked,,,,,,,,,,,,,,,,,,,,,,,,
3,my,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
4,eyes,,,,,,,,,,,,,,,,,,,,,,,,
5,hard,,,,,,,,,,,,,,,,,,,,,,,,
6,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.49,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,looked,,,,,,,,,,,,,,,,,,,,,,,,
3,carefully,,,,,,,,,,,,,,,,,,,,,,,,
4,all,,,,,,,,,,,,,,,,,,,,,,,,
5,around,*,Locus,Path,[147],Locus,Locus,,Locus,Path,"Xposition ""other customers are not impatiently waiting and to look	around	more often to see if people are waiting .""",,,,,,,,,,,,,,
6,me,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.50,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,saw,,,,,,,,,,,,,,,,,,,,,,,,
4,a,,,,,,,,,,,,,,,,,,,,,,,,
5,most,,,,,,,,,,,,,,,,,,,,,,,,
6,extraordinary,,,,,,,,,,,,,,,,,,,,,,,,
7,small,,,,,,,,,,,,,,,,,,,,,,,,
8,person,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,who,,,,,,,,,,,,,,,,,,,,,,,,
11,stood,,,,,,,,,,,,,,,,,,,,,,,,
12,there,,,,,,,,,,,,,,,,,,,,,,,,
13,examining,,,,,,,,,,,,,,,,,,,,,,,,
14,me,,,,,,,,,,,,,,,,,,,,,,,,
15,with,*,Manner,Manner,,Manner,Manner,,Manner,Manner,,,,,,,,,,,,,,,
16,great,,,,,,,,,,,,,,,,,,,,,,,,
17,seriousness,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.51,,,,,,,,,,,,,,,,,,,,,,,,,
1,Here,,,,,,,,,,,,,,,,,,,,,,,,
2,you,,,,,,,,,,,,,,,,,,,,,,,,
3,may,,,,,,,,,,,,,,,,,,,,,,,,
4,see,,,,,,,,,,,,,,,,,,,,,,,,
5,the,,,,,,,,,,,,,,,,,,,,,,,,
6,best,,,,,,,,,,,,,,,,,,,,,,,,
7,portrait,,,,,,,,,,,,,,,,,,,,,,,,
8,that,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,later,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,,,,,,,,,,,,,,,,,
12,I,,,,,,,,,,,,,,,,,,,,,,,,
13,was,,,,,,,,,,,,,,,,,,,,,,,,
14,able,,,,,,,,,,,,,,,,,,,,,,,,
15,to,,,,,,,,,,,,,,,,,,,,,,,,
16,make,,,,,,,,,,,,,,,,,,,,,,,,
17,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
18,him,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.52,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,my,*,Originator,Gestalt,,Originator,Gestalt,,Originator,Gestalt,,,,,,,,,,,,,,,
3,drawing,,,,,,,,,,,,,,,,,,,,,,,,
4,is,,,,,,,,,,,,,,,,,,,,,,,,
5,certainly,,,,,,,,,,,,,,,,,,,,,,,,
6,very,,,,,,,,,,,,,,,,,,,,,,,,
7,much,,,,,,,,,,,,,,,,,,,,,,,,
8,less,,,,,,,,,,,,,,,,,,,,,,,,
9,charming,,,,,,,,,,,,,,,,,,,,,,,,
10,than,*,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
11,its,*,Topic,Gestalt,*Q* OGI 91 https://github.com/carmls/snacs-guidelines/issues/91,Gestalt,Gestalt,???,Topic,Topic,,,,,,,,,,,,,,,
12,model,,,,,,,,,,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.53,,,,,,,,,,,,,,,,,,,,,,,,,
1,That,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,however,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,is,,,,,,,,,,,,,,,,,,,,,,,,
6,not,,,,,,,,,,,,,,,,,,,,,,,,
7,my,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,/335,,,,,,,,,,,,,,
8,fault,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.54,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,grown,,,,,,,,,,,,,,,,,,,,,,,,
3,-,,,,,,,,,,,,,,,,,,,,,,,,
4,ups,,,,,,,,,,,,,,,,,,,,,,,,
5,discouraged,,,,,,,,,,,,,,,,,,,,,,,,
6,me,,,,,,,,,,,,,,,,,,,,,,,,
7,in,*,Topic,Topic,*Q*,Circumstance,Locus,???,Topic,Topic,,,,,,,,,,,,,,,
8,my,*,Gestalt,Gestalt,,Gestalt,Gestalt,,Gestalt,Gestalt,/341,,,,,,,,,,,,,,
9,painter,,,,,,,,,,,,,,,,,,,,,,,,
10,'s,*,Identity,Gestalt,*Q*,Gestalt,Gestalt,?,Topic,Topic,?? like career in painting?,,,,,,,,,,,,,,
11,career,,,,,,,,,,,,,,,,,,,,,,,,
12,when,,,,,,,,,,,,,,,,,,,,,,,,
13,I,,,,,,,,,,,,,,,,,,,,,,,,
14,was,,,,,,,,,,,,,,,,,,,,,,,,
15,six,,,,,,,,,,,,,,,,,,,,,,,,
16,years,,,,,,,,,,,,,,,,,,,,,,,,
17,old,,,,,,,,,,,,,,,,,,,,,,,,
18,",",,,,,,,,,,,,,,,,,,,,,,,,
19,and,,,,,,,,,,,,,,,,,,,,,,,,
20,I,,,,,,,,,,,,,,,,,,,,,,,,
21,never,,,,,,,,,,,,,,,,,,,,,,,,
22,learned,,,,,,,,,,,,,,,,,,,,,,,,
23,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
24,draw,,,,,,,,,,,,,,,,,,,,,,,,
25,anything,,,,,,,,,,,,,,,,,,,,,,,,
26,",",,,,,,,,,,,,,,,,,,,,,,,,
27,except,,,,,,,,,,,,,,,,,,,,,,,,
28,boas,,,,,,,,,,,,,,,,,,,,,,,,
29,from,*,Locus,Source,,Source,Source,,Locus,Source,92,,,,,,,,,,,,,,
30,the,,,,,,,,,,,,,,,,,,,,,,,,
31,outside,,,,,,,,,,,,,,,,,,,,,,,,
32,and,,,,,,,,,,,,,,,,,,,,,,,,
33,boas,,,,,,,,,,,,,,,,,,,,,,,,
34,from,*,Locus,Source,,Source,Source,,Locus,Source,,,,,,,,,,,,,,,
35,the,,,,,,,,,,,,,,,,,,,,,,,,
36,inside,,,,,,,,,,,,,,,,,,,,,,,,
37,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.55,,,,,,,,,,,,,,,,,,,,,,,,,
1,Now,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,stared,,,,,,,,,,,,,,,,,,,,,,,,
4,at,*,Stimulus,Direction,,Stimulus,Direcation,,Stimulus,Goal,,,,,,,,,,,,,,,
5,this,,,,,,,,,,,,,,,,,,,,,,,,
6,sudden,,,,,,,,,,,,,,,,,,,,,,,,
7,apparition,,,,,,,,,,,,,,,,,,,,,,,,
8,with,*,Manner,Manner,,Manner,Manner,,Instrument,Instrument,,,,,,,,,,,,,,,
9,my,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
10,eyes,,,,,,,,,,,,,,,,,,,,,,,,
11,fairly,,,,,,,,,,,,,,,,,,,,,,,,
12,starting,,,,,,,,,,,,,,,,,,,,,,,,
13,out,,Source,Source,MWE,Source,Source,MWE,Source,Source,MWE,,,,,,,,,,,,,,
14,of,*,_,_,MWE,_,_,MWE,,,MWE,,,,,,,,,,,,,,
15,my,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
16,head,,,,,,,,,,,,,,,,,,,,,,,,
17,in,*,Manner,Manner,,Manner,Manner,,Manner,Manner,,,,,,,,,,,,,,,
18,astonishment,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.56,,,,,,,,,,,,,,,,,,,,,,,,,
1,Remember,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,I,,,,,,,,,,,,,,,,,,,,,,,,
4,had,,,,,,,,,,,,,,,,,,,,,,,,
5,crashed,,,,,,,,,,,,,,,,,,,,,,,,
6,in,*,Locus,Locus,,Locus,Locus,,Goal,Locus,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,desert,,,,,,,,,,,,,,,,,,,,,,,,
9,a,,,,,,,,,,,,,,,,,,,,,,,,
10,thousand,,,,,,,,,,,,,,,,,,,,,,,,
11,miles,,,,,,,,,,,,,,,,,,,,,,,,
12,from,*,Locus,Source,,Locus,Source,,Locus,Source,,,,,,,,,,,,,,,
13,any,,,,,,,,,,,,,,,,,,,,,,,,
14,inhabited,,,,,,,,,,,,,,,,,,,,,,,,
15,region,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.57,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,yet,,,,,,,,,,,,,,,,,,,,,,,,
3,my,*,Gestalt,Gestalt,,Gestalt,Gestalt,Discourse-associated item'?,SocialRel,Gestalt,idek,,,,,,,,,,,,,,
4,little,,,,,,,,,,,,,,,,,,,,,,,,
5,man,,,,,,,,,,,,,,,,,,,,,,,,
6,seemed,,,,,,,,,,,,,,,,,,,,,,,,
7,neither,,,,,,,,,,,,,,,,,,,,,,,,
8,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
9,be,,,,,,,,,,,,,,,,,,,,,,,,
10,straying,,,,,,,,,,,,,,,,,,,,,,,,
11,uncertainly,,,,,,,,,,,,,,,,,,,,,,,,
12,among,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
13,the,,,,,,,,,,,,,,,,,,,,,,,,
14,sands,,,,,,,,,,,,,,,,,,,,,,,,
15,",",,,,,,,,,,,,,,,,,,,,,,,,
16,nor,,,,,,,,,,,,,,,,,,,,,,,,
17,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
18,be,,,,,,,,,,,,,,,,,,,,,,,,
19,fainting,,,,,,,,,,,,,,,,,,,,,,,,
20,from,*,Causer,Source,,Causer,Source,,Explanation,Explanation,,,,,,,,,,,,,,,
21,fatigue,,,,,,,,,,,,,,,,,,,,,,,,
22,or,,,,,,,,,,,,,,,,,,,,,,,,
23,hunger,,,,,,,,,,,,,,,,,,,,,,,,
24,or,,,,,,,,,,,,,,,,,,,,,,,,
25,thirst,,,,,,,,,,,,,,,,,,,,,,,,
26,or,,,,,,,,,,,,,,,,,,,,,,,,
27,fear,,,,,,,,,,,,,,,,,,,,,,,,
28,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.58,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nothing,,,,,,,,,,,,,,,,,,,,,,,,
2,about,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
3,him,,,,,,,,,,,,,,,,,,,,,,,,
4,gave,,,,,,,,,,,,,,,,,,,,,,,,
5,any,,,,,,,,,,,,,,,,,,,,,,,,
6,suggestion,,,,,,,,,,,,,,,,,,,,,,,,
7,of,*,Topic,Identity,,Topic,Topic,?,Topic,Identity,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,child,,,,,,,,,,,,,,,,,,,,,,,,
10,lost,,,,,,,,,,,,,,,,,,,,,,,,
11,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
12,the,,,,,,,,,,,,,,,,,,,,,,,,
13,middle,,,,,,,,,,,,,,,,,,,,,,,,
14,of,*,Whole,Whole,,Whole,Whole,,Whole,Whole,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,desert,,,,,,,,,,,,,,,,,,,,,,,,
17,",",,,,,,,,,,,,,,,,,,,,,,,,
18,a,,,,,,,,,,,,,,,,,,,,,,,,
19,thousand,,,,,,,,,,,,,,,,,,,,,,,,
