Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_3
16,the,,,,,,,,,,,,,,,,,,,,,,,,
17,ones,,,,,,,,,,,,,,,,,,,,,,,,
18,I,,,,,,,,,,,,,,,,,,,,,,,,
19,asked,,,,,,,,,,,,,,,,,,,,,,,,
20,him,,,,,,,,,,,,,,,,,,,,,,,,
21,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.106,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,from,*,Source,Source,,Source,Source,guidelines 103,Source,Source,,,,,,,,,,,,,,,
4,words,,,,,,,,,,,,,,,,,,,,,,,,
5,dropped,,,,,,,,,,,,,,,,,,,,,,,,
6,by,*,Manner,Manner,,Manner,Manner,"? by accident, by mistake",NONSNACS,NONSNACS,"MWE (or like, manner ig)",,,,,,,,,,,,,,
7,chance,,,,,,,,NONSNACS,NONSNACS,MWE,,,,,,,,,,,,,,
8,that,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,little,,,,,,,,,,,,,,,,,,,,,,,,
11,by,*,Frequency,Frequency,*Q* OGI 62 https://github.com/carmls/snacs-guidelines/issues/62,Frequency,Frequency,,Manner,Manner,(but also mb mwe nonsnacs ????),,,,,,,,,,,,,,
12,little,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,everything,,,,,,,,,,,,,,,,,,,,,,,,
15,was,,,,,,,,,,,,,,,,,,,,,,,,
16,revealed,,,,,,,,,,,,,,,,,,,,,,,,
17,to,*,Recipient,Goal,,Recipient,Goal,,Recipient,Goal,,,,,,,,,,,,,,,
18,me,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.107,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,first,,,,,,,,,,,,,,,,,,,,,,,,
3,time,,,,,,,,,,,,,,,,,,,,,,,,
4,he,,,,,,,,,,,,,,,,,,,,,,,,
5,saw,,,,,,,,,,,,,,,,,,,,,,,,
6,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
7,airplane,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,for,,,,,,,,,,,,,,,,,,,,,,,,
10,instance,,,,,,,,,,,,,,,,,,,,,,,,
11,(,,,,,,,,,,,,,,,,,,,,,,,,
12,I,,,,,,,,,,,,,,,,,,,,,,,,
13,shall,,,,,,,,,,,,,,,,,,,,,,,,
14,not,,,,,,,,,,,,,,,,,,,,,,,,
15,draw,,,,,,,,,,,,,,,,,,,,,,,,
16,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
17,airplane,,,,,,,,,,,,,,,,,,,,,,,,
18,;,,,,,,,,,,,,,,,,,,,,,,,,
19,that,,,,,,,,,,,,,,,,,,,,,,,,
20,would,,,,,,,,,,,,,,,,,,,,,,,,
21,be,,,,,,,,,,,,,,,,,,,,,,,,
22,much,,,,,,,,,,,,,,,,,,,,,,,,
23,too,,,,,,,,,,,,,,,,,,,,,,,,
24,complicated,,,,,,,,,,,,,,,,,,,,,,,,
25,for,*,Experiencer,Beneficiary,,Experiencer,Beneficiary,,Experiencer,Beneficiary,,,,,,,,,,,,,,,
26,me,,,,,,,,,,,,,,,,,,,,,,,,
27,),,,,,,,,,,,,,,,,,,,,,,,,
28,",",,,,,,,,,,,,,,,,,,,,,,,,
29,he,,,,,,,,,,,,,,,,,,,,,,,,
30,asked,,,,,,,,,,,,,,,,,,,,,,,,
31,me,,,,,,,,,,,,,,,,,,,,,,,,
32,:,,,,,,,,,,,,,,,,,,,,,,,,
33,"""",,,,,,,,,,,,,,,,,,,,,,,,
34,What,,,,,,,,,,,,,,,,,,,,,,,,
35,is,,,,,,,,,,,,,,,,,,,,,,,,
36,that,,,,,,,,,,,,,,,,,,,,,,,,
37,object,,,,,,,,,,,,,,,,,,,,,,,,
38,?,,,,,,,,,,,,,,,,,,,,,,,,
39,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.108,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,That,,,,,,,,,,,,,,,,,,,,,,,,
3,is,,,,,,,,,,,,,,,,,,,,,,,,
4,not,,,,,,,,,,,,,,,,,,,,,,,,
5,an,,,,,,,,,,,,,,,,,,,,,,,,
6,object,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.109,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,flies,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.110,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,an,,,,,,,,,,,,,,,,,,,,,,,,
4,airplane,,,,,,,,,,,,,,,,,,,,,,,,
5,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.111,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
4,airplane,,,,,,,,,,,,,,,,,,,,,,,,
5,.,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.112,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,was,,,,,,,,,,,,,,,,,,,,,,,,
4,proud,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,`i,`i,,,,,,,,,,,,,,,,,,,,,
6,have,,,,,,,,,,,,,,,,,,,,,,,,
7,him,,,,,,,,,,,,,,,,,,,,,,,,
8,learn,,,,,,,,,,,,,,,,,,,,,,,,
9,that,,,,,,,,,,,,,,,,,,,,,,,,
10,I,,,,,,,,,,,,,,,,,,,,,,,,
11,could,,,,,,,,,,,,,,,,,,,,,,,,
12,fly,,,,,,,,,,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.113,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,cried,,,,,,,,,,,,,,,,,,,,,,,,
3,out,*,Direction,Direction,,Direction,Direction,like speak out?,Direction,Direction,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,then,,,,,,,,,,,,,,,,,,,,,,,,
6,:,,,,,,,,,,,,,,,,,,,,,,,,
7,"""",,,,,,,,,,,,,,,,,,,,,,,,
8,What,,,,,,,,,,,,,,,,,,,,,,,,
9,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.114,,,,,,,,,,,,,,,,,,,,,,,,,
1,You,,,,,,,,,,,,,,,,,,,,,,,,
2,dropped,,,,,,,,,,,,,,,,,,,,,,,,
3,down,,,,,,,,,,,,,,,,,,,,,,,,
4,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
5,the,,,,,,,,,,,,,,,,,,,,,,,,
6,sky,,,,,,,,,,,,,,,,,,,,,,,,
7,?,,,,,,,,,,,,,,,,,,,,,,,,
8,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.115,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Yes,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.116,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,answered,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,modestly,,,,,,,,,,,,,,,,,,,,,,,,
5,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.117,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Oh,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.118,,,,,,,,,,,,,,,,,,,,,,,,,
1,That,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,funny,,,,,,,,,,,,,,,,,,,,,,,,
4,!,,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.119,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,prince,,,,,,,,,,,,,,,,,,,,,,,,
5,broke,,,,,,,,,,,,,,,,,,,,,,,,
6,into,*,Goal,Goal,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,
7,a,,,,,,,,,,,,,,,,,,,,,,,,
8,lovely,,,,,,,,,,,,,,,,,,,,,,,,
9,peal,,,,,,,,,,,,,,,,,,,,,,,,
10,of,*,Identity,Identity,,Stuff,Stuff,"""a loud repeated or reverberating sound of thunder or laughter."" => comprised of laughter",Identity,Identity,,,,,,,,,,,,,,,
11,laughter,,,,,,,,,,,,,,,,,,,,,,,,
12,",",,,,,,,,,,,,,,,,,,,,,,,,
13,which,,,,,,,,,,,,,,,,,,,,,,,,
14,irritated,,,,,,,,,,,,,,,,,,,,,,,,
15,me,,,,,,,,,,,,,,,,,,,,,,,,
16,very,,,,,,,,,,,,,,,,,,,,,,,,
17,much,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.120,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,like,,,,,,,,,,,,,,,,,,,,,,,,
3,my,*,Experiencer,Gestalt,,Experiencer,Gestalt,"lol the Hindi version translates this as ""I want everyone to be sad when I'm sad""",Experiencer,Gestalt,,,,,,,,,,,,,,,
4,misfortunes,,,,,,,,,,,,,,,,,,,,,,,,
5,to,,,,,,,,,,,,,,,,,,,,,,,,
6,be,,,,,,,,,,,,,,,,,,,,,,,,
7,taken,,,,,,,,,,,,,,,,,,,,,,,,
8,seriously,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.121,,,,,,,,,,,,,,,,,,,,,,,,,
1,Then,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,added,,,,,,,,,,,,,,,,,,,,,,,,
4,:,,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,So,,,,,,,,,,,,,,,,,,,,,,,,
7,you,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,too,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,come,,,,,,,,,,,,,,,,,,,,,,,,
12,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
13,the,,,,,,,,,,,,,,,,,,,,,,,,
14,sky,,,,,,,,,,,,,,,,,,,,,,,,
15,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.122,,,,,,,,,,,,,,,,,,,,,,,,,
1,Which,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,your,*,Gestalt,Gestalt,,Gestalt,Gestalt,https://i.imgur.com/zQ9nqe9.png,Gestalt,Gestalt,,,,,,,,,,,,,,,
4,planet,,,,,,,,,,,,,,,,,,,,,,,,
5,?,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.123,,,,,,,,,,,,,,,,,,,,,,,,,
1,At,,,,,,,,,,,,,,,,,,,,,,,,
2,that,,,,,,,,,,,,,,,,,,,,,,,,
3,moment,,,,,,,,,,,,,,,,,,,,,,,,
4,I,,,,,,,,,,,,,,,,,,,,,,,,
5,caught,,,,,,,,,,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,gleam,,,,,,,,,,,,,,,,,,,,,,,,
8,of,*,Identity,Identity,,Identity,Identity,"gleam: ""a faint or brief light, especially one reflected from something.""",Identity,Identity,,,,,,,,,,,,,,,
9,light,,,,,,,,,,,,,,,,,,,,,,,,
10,in,*,Locus,Locus,,Goal,Locus,into works as well,Locus,Locus,,,,,,,,,,,,,,,
11,the,,,,,,,,,,,,,,,,,,,,,,,,
12,impenetrable,,,,,,,,,,,,,,,,,,,,,,,,
13,mystery,,,,,,,,,,,,,,,,,,,,,,,,
14,of,*,Topic,Topic,,Topic,Topic,,Identity,Identity,,,,,,,,,,,,,,,
15,his,*,Theme,Gestalt,,Theme,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
16,presence,,,,,,,,,,,,,,,,,,,,,,,,
17,;,,,,,,,,,,,,,,,,,,,,,,,,
18,and,,,,,,,,,,,,,,,,,,,,,,,,
19,I,,,,,,,,,,,,,,,,,,,,,,,,
20,demanded,,,,,,,,,,,,,,,,,,,,,,,,
21,",",,,,,,,,,,,,,,,,,,,,,,,,
22,abruptly,,,,,,,,,,,,,,,,,,,,,,,,
23,:,,,,,,,,,,,,,,,,,,,,,,,,
24,"""",,,,,,,,,,,,,,,,,,,,,,,,
25,Do,,,,,,,,,,,,,,,,,,,,,,,,
26,you,,,,,,,,,,,,,,,,,,,,,,,,
27,come,,,,,,,,,,,,,,,,,,,,,,,,
28,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
29,another,,,,,,,,,,,,,,,,,,,,,,,,
30,planet,,,,,,,,,,,,,,,,,,,,,,,,
31,?,,,,,,,,,,,,,,,,,,,,,,,,
32,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.124,,,,,,,,,,,,,,,,,,,,,,,,,
1,But,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,did,,,,,,,,,,,,,,,,,,,,,,,,
4,not,,,,,,,,,,,,,,,,,,,,,,,,
5,reply,,,,,,,,,,,,,,,,,,,,,,,,
6,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.125,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,tossed,,,,,,,,,,,,,,,,,,,,,,,,
3,his,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
4,head,,,,,,,,,,,,,,,,,,,,,,,,
5,gently,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,without,*,Manner,Manner,,Manner,Manner,,Manner,Manner,,,,,,,,,,,,,,,
8,taking,,,,,,,,,,,,,,,,,,,,,,,,
9,his,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
10,eyes,,,,,,,,,,,,,,,,,,,,,,,,
11,from,*,Source,Source,,Source,Source,maybe Direction-y,Source,Source,,,,,,,,,,,,,,,
12,my,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
13,plane,,,,,,,,,,,,,,,,,,,,,,,,
14,:,,,,,,,,,,,,,,,,,,,,,,,,
15,"""",,,,,,,,,,,,,,,,,,,,,,,,
16,It,,,,,,,,,,,,,,,,,,,,,,,,
17,is,,,,,,,,,,,,,,,,,,,,,,,,
18,true,,,,,,,,,,,,,,,,,,,,,,,,
19,that,,,,,,,,,,,,,,,,,,,,,,,,
20,on,*,Instrument,Locus,,Locus,Locus,on the plane,Locus,Locus,,,,,,,,,,,,,,,
21,that,,,,,,,,,,,,,,,,,,,,,,,,
22,you,,,,,,,,,,,,,,,,,,,,,,,,
23,can,,,,,,,,,,,,,,,,,,,,,,,,
24,n't,,,,,,,,,,,,,,,,,,,,,,,,
25,have,,,,,,,,,,,,,,,,,,,,,,,,
26,come,,,,,,,,,,,,,,,,,,,,,,,,
27,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
28,very,,,,,,,,,,,,,,,,,,,,,,,,
29,far,,,,,,,,,,,,,,,,,,,,,,,,
30,away,*,Locus,Direction,,Locus,Direction,static distance,Locus,Locus,,,,,,,,,,,,,,,
31,...,,,,,,,,,,,,,,,,,,,,,,,,
32,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.126,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,sank,,,,,,,,,,,,,,,,,,,,,,,,
4,into,*,Goal,Goal,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,
5,a,,,,,,,,,,,,,,,,,,,,,,,,
6,reverie,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,which,,,,,,,,,,,,,,,,,,,,,,,,
9,lasted,,,,,,,,,,,,,,,,,,,,,,,,
10,a,,,,,,,,,,,,,,,,,,,,,,,,
11,long,,,,,,,,,,,,,,,,,,,,,,,,
12,time,,,,,,,,,,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.127,,,,,,,,,,,,,,,,,,,,,,,,,
1,Then,,,,,,,,,,,,,,,,,,,,,,,,
2,",",,,,,,,,,,,,,,,,,,,,,,,,
3,taking,,,,,,,,,,,,,,,,,,,,,,,,
4,my,*,Originator,Gestalt,,Originator,Gestalt,sheep that I drew,Possessor,Possessor,,,,,,,,,,,,,,,
5,sheep,,,,,,,,,,,,,,,,,,,,,,,,
6,out,1:1**,Source,Source,,Source,Source,MWE,Source,Source,,,,,,,,,,,,,,,
7,of,1:2,,,,,,MWE,,,,,,,,,,,,,,,,,
8,his,*,Possessor,Possessor,,Possessor,Possessor,his pants' pocket,Possessor,Possessor,,,,,,,,,,,,,,,
9,pocket,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,he,,,,,,,,,,,,,,,,,,,,,,,,
12,buried,,,,,,,,,,,,,,,,,,,,,,,,
13,himself,,,,,,,,,,,,,,,,,,,,,,,,
14,in,*,Goal,Locus,,Goal,Locus,final state,Locus,Locus,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,contemplation,,,,,,,,,,,,,,,,,,,,,,,,
17,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
18,his,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
19,treasure,,,,,,,,,,,,,,,,,,,,,,,,
20,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.128,,,,,,,,,,,,,,,,,,,,,,,,,
1,You,,,,,,,,,,,,,,,,,,,,,,,,
2,can,,,,,,,,,,,,,,,,,,,,,,,,
3,imagine,,,,,,,,,,,,,,,,,,,,,,,,
4,how,,,,,,,,,,,,,,,,,,,,,,,,
5,my,*,Experiencer,Gestalt,,Experiencer,Gestalt,,Experiencer,Gestalt,,,,,,,,,,,,,,,
6,curiosity,,,,,,,,,,,,,,,,,,,,,,,,
7,was,,,,,,,,,,,,,,,,,,,,,,,,
8,aroused,,,,,,,,,,,,,,,,,,,,,,,,
9,by,*,Stimulus,Causer,,Causer,Causer,,Causer,Causer,,,,,,,,,,,,,,,
10,this,,,,,,,,,,,,,,,,,,,,,,,,
11,half,,,,,,,,,,,,,,,,,,,,,,,,
12,-,,,,,,,,,,,,,,,,,,,,,,,,
13,confidence,,,,,,,,,,,,,,,,,,,,,,,,
14,about,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,"""",,,,,,,,,,,,,,,,,,,,,,,,
17,other,,,,,,,,,,,,,,,,,,,,,,,,
18,planets,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
20,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.129,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,made,,,,,,,,,,,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,,,,,,,,,,,
4,great,,,,,,,,,,,,,,,,,,,,,,,,
5,effort,,,,,,,,,,,,,,,,,,,,,,,,
6,",",,,,,,,,,,,,,,,,,,,,,,,,
7,therefore,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,to,,,,,,,,,,,,,,,,,,,,,,,,
10,find,,,,,,,,,,,,,,,,,,,,,,,,
11,out,,,,,,,,,,,,,,,,,,,,,,,,
12,more,,,,,,,,,,,,,,,,,,,,,,,,
13,on,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
14,this,,,,,,,,,,,,,,,,,,,,,,,,
15,subject,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.130,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,My,*,Gestalt,Gestalt,,Gestalt,Gestalt,,,,what was this discourse thing again,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,man,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,where,,,,,,,,,,,,,,,,,,,,,,,,
7,do,,,,,,,,,,,,,,,,,,,,,,,,
8,you,,,,,,,,,,,,,,,,,,,,,,,,
9,come,,,,,,,,,,,,,,,,,,,,,,,,
10,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
11,?,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.131,,,,,,,,,,,,,,,,,,,,,,,,,
1,What,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,this,,,,,,,,,,,,,,,,,,,,,,,,
4,',,,,,,,,,,,,,,,,,,,,,,,,
5,where,,,,,,,,,,,,,,,,,,,,,,,,
6,I,,,,,,,,,,,,,,,,,,,,,,,,
7,live,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,',,,,,,,,,,,,,,,,,,,,,,,,
10,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
11,which,,,,,,,,,,,,,,,,,,,,,,,,
12,you,,,,,,,,,,,,,,,,,,,,,,,,
13,speak,,,,,,,,,,,,,,,,,,,,,,,,
14,?,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
