Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_20
2,Good,,,,,,,,,,,,,,,,,,,,,,,,
3,morning,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,he,,,,,,,,,,,,,,,,,,,,,,,,
7,said,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1028,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,was,,,,,,,,,,,,,,,,,,,,,,,,
3,standing,,,,,,,,,,,,,,,,,,,,,,,,
4,before,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
5,a,,,,,,,,,,,,,,,,,,,,,,,,
6,garden,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,all,,,,,,,,,,,,,,,,,,,,,,,,
9,a,,,,,,,,,,,,,,,,,,,,,,,,
10,-,,,,,,,,,,,,,,,,,,,,,,,,
11,bloom,,,,,,,,,,,,,,,,,,,,,,,,
12,with,*,Theme,Theme,,Manner,Manner,,Theme,Theme,,,,,,,,,,,,,,,
13,roses,,,,,,,,,,,,,,,,,,,,,,,,
14,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1029,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Good,,,,,,,,,,,,,,,,,,,,,,,,
3,morning,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,"""",,,,,,,,,,,,,,,,,,,,,,,,
6,said,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,roses,,,,,,,,,,,,,,,,,,,,,,,,
9,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1030,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,gazed,,,,,,,,,,,,,,,,,,,,,,,,
5,at,*,Stimulus,Direction,,Stimulus,Direction,,Stimulus,Direction,,,,,,,,,,,,,,,
6,them,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1031,,,,,,,,,,,,,,,,,,,,,,,,,
1,They,,,,,,,,,,,,,,,,,,,,,,,,
2,all,,,,,,,,,,,,,,,,,,,,,,,,
3,looked,,,,,,,,,,,,,,,,,,,,,,,,
4,like,*,Manner,ComparisonRef,,Manner,ComparisonRef,,ComparisonRef,ComparisonRef,,,,,,,,,,,,,,,
5,his,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
6,flower,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1032,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Who,,,,,,,,,,,,,,,,,,,,,,,,
3,are,,,,,,,,,,,,,,,,,,,,,,,,
4,you,,,,,,,,,,,,,,,,,,,,,,,,
5,?,,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,he,,,,,,,,,,,,,,,,,,,,,,,,
8,demanded,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,thunderstruck,,,,,,,,,,,,,,,,,,,,,,,,
11,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1033,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,We,,,,,,,,,,,,,,,,,,,,,,,,
3,are,,,,,,,,,,,,,,,,,,,,,,,,
4,roses,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,roses,,,,,,,,,,,,,,,,,,,,,,,,
9,said,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1034,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,was,,,,,,,,,,,,,,,,,,,,,,,,
4,overcome,,,,,,,,,,,,,,,,,,,,,,,,
5,with,*,Theme,Theme,,Manner,Manner,,Theme,Theme,,,,,,,,,,,,,,,
6,sadness,,,,,,,,,,,,,,,,,,,,,,,,
7,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1035,,,,,,,,,,,,,,,,,,,,,,,,,
1,His,*,Possessor,Possessor,,Possessor,Possessor,,Possessor,Possessor,,,,,,,,,,,,,,,
2,flower,,,,,,,,,,,,,,,,,,,,,,,,
3,had,,,,,,,,,,,,,,,,,,,,,,,,
4,told,,,,,,,,,,,,,,,,,,,,,,,,
5,him,,,,,,,,,,,,,,,,,,,,,,,,
6,that,,,,,,,,,,,,,,,,,,,,,,,,
7,she,,,,,,,,,,,,,,,,,,,,,,,,
8,was,,,,,,,,,,,,,,,,,,,,,,,,
9,the,,,,,,,,,,,,,,,,,,,,,,,,
10,only,,,,,,,,,,,,,,,,,,,,,,,,
11,one,,,,,,,,,,,,,,,,,,,,,,,,
12,of,*,Characteristic,Identity,,Characteristic,Identity,,Whole,Whole,,,,,,,,,,,,,,,
13,her,*,Species,Species,,Species,Species,,Gestalt,Gestalt,,,,,,,,,,,,,,,
14,kind,,,,,,,,,,,,,,,,,,,,,,,,
15,in,*,Whole,Locus,,Whole,Locus,,Locus,Locus,,,,,,,,,,,,,,,
16,all,,,,,,,,,,,,,,,,,,,,,,,,
17,the,,,,,,,,,,,,,,,,,,,,,,,,
18,universe,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1036,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,here,,,,,,,,,,,,,,,,,,,,,,,,
3,were,,,,,,,,,,,,,,,,,,,,,,,,
4,five,,,,,,,,,,,,,,,,,,,,,,,,
5,thousand,,,,,,,,,,,,,,,,,,,,,,,,
6,of,*,QuantityItem,QuantityItem,,QuantityItem,QuantityItem,,QuantityItem,QuantityItem,,,,,,,,,,,,,,,
7,them,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,all,,,,,,,,,,,,,,,,,,,,,,,,
10,alike,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,Locus,Locus,,,,,,,,,,,,,,,
12,in,*,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,,,,
13,one,,,,,,,,,,,,,,,,,,,,,,,,
14,single,,,,,,,,,,,,,,,,,,,,,,,,
15,garden,,,,,,,,,,,,,,,,,,,,,,,,
16,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1037,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,She,,,,,,,,,,,,,,,,,,,,,,,,
3,would,,,,,,,,,,,,,,,,,,,,,,,,
4,be,,,,,,,,,,,,,,,,,,,,,,,,
5,very,,,,,,,,,,,,,,,,,,,,,,,,
6,much,,,,,,,,,,,,,,,,,,,,,,,,
7,annoyed,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,"""",,,,,,,,,,,,,,,,,,,,,,,,
10,he,,,,,,,,,,,,,,,,,,,,,,,,
11,said,,,,,,,,,,,,,,,,,,,,,,,,
12,to,*,Recipient,Goal,,Recipient,Goal,,Recipient,Goal,,,,,,,,,,,,,,,
13,himself,,,,,,,,,,,,,,,,,,,,,,,,
14,",",,,,,,,,,,,,,,,,,,,,,,,,
15,"""",,,,,,,,,,,,,,,,,,,,,,,,
16,if,,,,,,,,,,,,,,,,,,,,,,,,
17,she,,,,,,,,,,,,,,,,,,,,,,,,
18,should,,,,,,,,,,,,,,,,,,,,,,,,
19,see,,,,,,,,,,,,,,,,,,,,,,,,
20,that,,,,,,,,,,,,,,,,,,,,,,,,
21,...,,,,,,,,,,,,,,,,,,,,,,,,
22,she,,,,,,,,,,,,,,,,,,,,,,,,
23,would,,,,,,,,,,,,,,,,,,,,,,,,
24,cough,,,,,,,,,,,,,,,,,,,,,,,,
25,most,,,,,,,,,,,,,,,,,,,,,,,,
26,dreadfully,,,,,,,,,,,,,,,,,,,,,,,,
27,",",,,,,,,,,,,,,,,,,,,,,,,,
28,and,,,,,,,,,,,,,,,,,,,,,,,,
29,she,,,,,,,,,,,,,,,,,,,,,,,,
30,would,,,,,,,,,,,,,,,,,,,,,,,,
31,pretend,,,,,,,,,,,,,,,,,,,,,,,,
32,that,,,,,,,,,,,,,,,,,,,,,,,,
33,she,,,,,,,,,,,,,,,,,,,,,,,,
34,was,,,,,,,,,,,,,,,,,,,,,,,,
35,dying,,,,,,,,,,,,,,,,,,,,,,,,
36,",",,,,,,,,,,,,,,,,,,,,,,,,
37,to,,Purpose,Purpose,,Purpose,Purpose,,`i,`i,,,,,,,,,,,,,,,
38,avoid,,,,,,,,,,,,,,,,,,,,,,,,
39,being,,,,,,,,,,,,,,,,,,,,,,,,
40,laughed,,,,,,,,,,,,,,,,,,,,,,,,
41,at,*,Stimulus,Direction,,Stimulus,Direction,,Stimulus,Direction,,,,,,,,,,,,,,,
42,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1038,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,should,,,,,,,,,,,,,,,,,,,,,,,,
4,be,,,,,,,,,,,,,,,,,,,,,,,,
5,obliged,,,,,,,,,,,,,,,,,,,,,,,,
6,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
7,pretend,,,,,,,,,,,,,,,,,,,,,,,,
8,that,,,,,,,,,,,,,,,,,,,,,,,,
9,I,,,,,,,,,,,,,,,,,,,,,,,,
10,was,,,,,,,,,,,,,,,,,,,,,,,,
11,nursing,,,,,,,,,,,,,,,,,,,,,,,,
12,her,*,NONSNACS,NONSNACS,,NONSNACS,NONSNACS,,NONSNACS,NONSNACS,,,,,,,,,,,,,,,
13,back,,,,,,,,,,,,,,,,,,,,,,,,
14,to,,Goal,Goal,,,,,Goal,Goal,,,,,,,,,,,,,,,
15,life,,,,,,,,,,,,,,,,,,,,,,,,
16,-,,,,,,,,,,,,,,,,,,,,,,,,
17,-,,,,,,,,,,,,,,,,,,,,,,,,
18,for,*,Explanation,Explanation,,Explanation,Explanation,,Explanation,Explanation,,,,,,,,,,,,,,,
19,if,,,,,,,,,,,,,,,,,,,,,,,,
20,I,,,,,,,,,,,,,,,,,,,,,,,,
21,did,,,,,,,,,,,,,,,,,,,,,,,,
22,not,,,,,,,,,,,,,,,,,,,,,,,,
23,do,,,,,,,,,,,,,,,,,,,,,,,,
24,that,,,,,,,,,,,,,,,,,,,,,,,,
25,",",,,,,,,,,,,,,,,,,,,,,,,,
26,to,,Purpose,Purpose,,Purpose,Purpose,?,Purpose,Purpose,,,,,,,,,,,,,,,
27,humble,,,,,,,,,,,,,,,,,,,,,,,,
28,myself,,,,,,,,,,,,,,,,,,,,,,,,
29,also,,,,,,,,,,,,,,,,,,,,,,,,
30,",",,,,,,,,,,,,,,,,,,,,,,,,
31,she,,,,,,,,,,,,,,,,,,,,,,,,
32,would,,,,,,,,,,,,,,,,,,,,,,,,
33,really,,,,,,,,,,,,,,,,,,,,,,,,
34,allow,,,,,,,,,,,,,,,,,,,,,,,,
35,herself,,,,,,,,,,,,,,,,,,,,,,,,
36,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
37,die,,,,,,,,,,,,,,,,,,,,,,,,
38,...,,,,,,,,,,,,,,,,,,,,,,,,
39,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1039,,,,,,,,,,,,,,,,,,,,,,,,,
1,Then,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,went,,,,,,,,,,,,,,,,,,,,,,,,
4,on,,,,,,,,,,,,,,,,,,,,,,,,
5,with,*,Theme,Theme,,Theme,Theme,,Theme,Theme,,,,,,,,,,,,,,,
6,his,*,Experiencer,Gestalt,,Experiencer,Gestalt,,Agent,Gestalt,,,,,,,,,,,,,,,
7,reflections,,,,,,,,,,,,,,,,,,,,,,,,
8,:,,,,,,,,,,,,,,,,,,,,,,,,
9,"""",,,,,,,,,,,,,,,,,,,,,,,,
10,I,,,,,,,,,,,,,,,,,,,,,,,,
11,thought,,,,,,,,,,,,,,,,,,,,,,,,
12,that,,,,,,,,,,,,,,,,,,,,,,,,
13,I,,,,,,,,,,,,,,,,,,,,,,,,
14,was,,,,,,,,,,,,,,,,,,,,,,,,
15,rich,,,,,,,,,,,,,,,,,,,,,,,,
16,",",,,,,,,,,,,,,,,,,,,,,,,,
17,with,*,Possession,Ancillary,,Possession,Ancillary,,Possession,Ancilliary,,,,,,,,,,,,,,,
18,a,,,,,,,,,,,,,,,,,,,,,,,,
19,flower,,,,,,,,,,,,,,,,,,,,,,,,
20,that,,,,,,,,,,,,,,,,,,,,,,,,
21,was,,,,,,,,,,,,,,,,,,,,,,,,
22,unique,,,,,,,,,,,,,,,,,,,,,,,,
23,in,*,Whole,Locus,,Whole,Locus,,,,we've had this before but i forget,,,,,,,,,,,,,,
24,all,,,,,,,,,,,,,,,,,,,,,,,,
25,the,,,,,,,,,,,,,,,,,,,,,,,,
26,world,,,,,,,,,,,,,,,,,,,,,,,,
27,;,,,,,,,,,,,,,,,,,,,,,,,,
28,and,,,,,,,,,,,,,,,,,,,,,,,,
29,all,,,,,,,,,,,,,,,,,,,,,,,,
30,I,,,,,,,,,,,,,,,,,,,,,,,,
31,had,,,,,,,,,,,,,,,,,,,,,,,,
32,was,,,,,,,,,,,,,,,,,,,,,,,,
33,a,,,,,,,,,,,,,,,,,,,,,,,,
34,common,,,,,,,,,,,,,,,,,,,,,,,,
35,rose,,,,,,,,,,,,,,,,,,,,,,,,
36,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1040,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,,,,,,,,,,,,,,,,,,,,,,,,
2,common,,,,,,,,,,,,,,,,,,,,,,,,
3,rose,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,and,,,,,,,,,,,,,,,,,,,,,,,,
6,three,,,,,,,,,,,,,,,,,,,,,,,,
7,volcanoes,,,,,,,,,,,,,,,,,,,,,,,,
8,that,,,,,,,,,,,,,,,,,,,,,,,,
9,come,,,,,,,,,,,,,,,,,,,,,,,,
10,up,,,,,,,,,,,,,,,,,,,,,,,,
11,to,*,,,*Q*,Locus,Goal,,,,open question,,,,,,,,,,,,,,
12,my,*,Whole,Gestalt,,Whole,Gestalt,,Whole,Gestalt,,,,,,,,,,,,,,,
13,knees,,,,,,,,,,,,,,,,,,,,,,,,
14,-,,,,,,,,,,,,,,,,,,,,,,,,
15,-,,,,,,,,,,,,,,,,,,,,,,,,
16,and,,,,,,,,,,,,,,,,,,,,,,,,
17,one,,,,,,,,,,,,,,,,,,,,,,,,
18,of,*,Whole,Whole,,Whole,Whole,,Whole,Whole,,,,,,,,,,,,,,,
19,them,,,,,,,,,,,,,,,,,,,,,,,,
20,perhaps,,,,,,,,,,,,,,,,,,,,,,,,
21,extinct,,,,,,,,,,,,,,,,,,,,,,,,
22,forever,,,,,,,,,,,,,,,,,,,,,,,,
23,...,,,,,,,,,,,,,,,,,,,,,,,,
24,that,,,,,,,,,,,,,,,,,,,,,,,,
25,does,,,,,,,,,,,,,,,,,,,,,,,,
26,n't,,,,,,,,,,,,,,,,,,,,,,,,
27,make,,,,,,,,,,,,,,,,,,,,,,,,
28,me,,,,,,,,,,,,,,,,,,,,,,,,
29,a,,,,,,,,,,,,,,,,,,,,,,,,
30,very,,,,,,,,,,,,,,,,,,,,,,,,
31,great,,,,,,,,,,,,,,,,,,,,,,,,
32,prince,,,,,,,,,,,,,,,,,,,,,,,,
33,...,,,,,,,,,,,,,,,,,,,,,,,,
34,"""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1041,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,he,,,,,,,,,,,,,,,,,,,,,,,,
3,lay,,,,,,,,,,,,,,,,,,,,,,,,
4,down,,,,,,,,,,,,,,,,,,,,,,,,
5,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,grass,,,,,,,,,,,,,,,,,,,,,,,,
8,and,,,,,,,,,,,,,,,,,,,,,,,,
9,cried,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
