,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
‘बाओबाब’,,,,,,,,,,,,,,
(,,,,,,,,,,,,,,
गोरखचिंच,,,,,,,,,,,,,,
),,,,,,,,,,,,,,
नामक,,,,,,,,,,,,,,
पेड़,,,,,,,,,,,,,,
के,के,Theme,Theme,,का,Theme,Theme,,,के,Theme,Theme,,
लगातार,,,,,,,,,,,,,,
बढ़ने,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
फैलने,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
उससे,से,Causer,Source,,से,Source,Source,,,से,Causer,Source,,"but could this be Causer/Agent - dangers resulting from them but 
baobabs are not a repository of danger but maybe a cause"
उत्पन्न,,,,,,,,,,,,,,
खतरे,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,1:1,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,1:1,
बारे,के बारे में,,,1:2,के बारे में,,,1:2,,के बारे में,,,1:2,
में,के बारे में,,,1:3,के बारे में,,,1:3,,के बारे में,,,1:3,
पता,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
भेड़,,,,,,,,,,,,,,
की,की वजह से,Explanation,Explanation,1:1,की वजह से,Explanation,Explanation,2:1,,की वजह से,Explanation,Explanation,1:1,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
वजह,की वजह से,,,1:2,की वजह से,,,2:2,,की वजह से,,,1:2,
से,की वजह से,,,1:3,की वजह से,,,2:3,,की वजह से,,,1:3,
क्योंकि,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
मुझसे,से,Recipient,Ancillary,,से,Recipient,Ancillary,,,से,Recipient,Ancillary,,
अचानक,,,,,,,,,,,,,,
इस,,,,,,,,,,,,,,
तरह,,,,,,,,,,,,,,
पूछा,,,,,,,,,,,,,,
जैसे,जैसे,Theme,ComparisonRef,,जैसे,Theme,ComparisonRef,,conclusion reading,जैसे,??,ComparisonRef,,comparing manners
उसे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
कोई,,,,,,,,,,,,,,
बड़ी,,,,,,,,,,,,,,
शंका,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
सच,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
ना,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
भेड़,,,,,,,,,,,,,,
झाड़ियां,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
खाती,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
"""हां",,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
खाती,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
चलो,,,,,,,,,,,,,,
अच्छा,,,,,,,,,,,,,,
हुआ।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,"समझा can mark the मैं both nominative and ergative 
(Omkar Koul)"
समझा,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
भेड़,,,,,,,,,,,,,,
के,के,Agent,Gestalt,,का,Agent,Gestalt,,,के,Agent,Characteristic,,
झाड़ी,,,,,,,,,,,,,,
खाने,,,,,,,,,,,,,,
में,में,Topic,Topic,,में,Topic,Topic,,,में,Topic,Topic,,
क्या,,,,,,,,,,,,,,
खास,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
तभी,,,,,,,,,,,,,,
नन्हें,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
तब,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
वह,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
के,का,Identity,Identity,,का,Identity,Identity,,,का,Identity,Identity,,
पेड़,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
खाती,,,,,,,,,,,,,,
होगी,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैंने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
उसे,को,Recipient,Recipient,,को,Recipient,Recipient,,,को,Recipient,Recipient,,
बताया,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
झाड़,,,,,,,,,,,,,,
की,की तरह,ComparisonRef,ComparisonRef,1:1,की तरह,ComparisonRef,ComparisonRef,1:1,,की तरह,ComparisonRef,ComparisonRef,1:1,
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
नहीं,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वे,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
गिरजाघरों,,,,,,,,,,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,जैसे,ComparisonRef,ComparisonRef,,,जैसे,ComparisonRef,ComparisonRef,,
ऊंचे,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
विशाल,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
अगर,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
हाथियों,,,,,,,,,,,,,,
का,का,QuantityItem,Stuff,,का,QuantityItem,Stuff,,,का,QuantityItem,Stuff,,
झुंड,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
आ,,,,,,,,,,,,,,
जाए,,,,,,,,,,,,,,
तब,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
वे,,,,,,,,,,,,,,
केवल,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
पेड़,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
पूरी,,,,,,,,,,,,,,
तरह,,,,,,,,,,,,,,
खाकर,,,,,,,,,,,,,,
खत्म,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
सकते,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
हाथियों,,,,,,,,,,,,,,
के,के,QuantityItem,Stuff,,का,QuantityItem,Stuff,,,के,QuantityItem,Stuff,,
झुंड,,,,,,,,,,,,,,
की,का,Topic,Identity,,का,Topic,Identity,,,का,Topic,Identity,,
बात,,,,,,,,,,,,,,
सुनकर,,,,,,,,,,,,,,
हंसी,,,,,,,,,,,,,,
आ,,,,,,,,,,,,,,
गई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
उन्हें,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
एक,,,,,,,,,,,,,,
के,के ऊपर,Goal,Locus,1:1,के ऊपर,Goal,Locus,1:1,put one on top of the other,के ऊपर,Direction,Locus,1:1,"not Goal as there is no final location here, just an orientation of motion"
ऊपर,के ऊपर,,,1:2,के ऊपर,,,1:2,,के ऊपर,,,1:2,
एक,,,,,,,,,,,,,,
रखना,,,,,,,,,,,,,,
पड़ेगा,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
तुरंत,,,,,,,,,,,,,,
बुद्धिमत्ता,,,,,,,,,,,,,,
पूर्ण,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
कही,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
"""बड़े",,,,,,,,,,,,,,
होने,,,,,,,,,,,,,,
से,से पहले,Time,Time,1:1,से पहले,Time,Time,1:1,,से पहले,Time,Time,1:1,
पहले,से पहले,,,1:2,से पहले,,,1:2,,से पहले,,,1:2,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
बाओबाब,,,,,,,,,,,,,,
छोटे,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
होेंगे,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
बिल्कुल,,,,,,,,,,,,,,
ठीक,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
तू,,,,,,,,,,,,,,
क्यों,,,,,,,,,,,,,,
चाहता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
तेरी,की,Possessor,Possessor,,का,Possessor,Possessor,,,की,Possessor,Possessor,,
भेड़,,,,,,,,,,,,,,
छोटे,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
खाएं!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
उत्तर,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
वाह,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इतना,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
नहीं,,,,,,,,,,,,,,
समझते,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मुझे,को,Experiencer,Agent,,को,Experiencer,Agent,,,को,Experiencer,Agent,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
उस,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
को,को,Topic,Theme,,को,Topic,Theme,,,को,Theme,Theme,,
समझने,,,,,,,,,,,,,,
में,में,Purpose,Purpose,,में,Topic,Topic,,,में,Purpose,Purpose,,en guidelines p.30 (4)
काफी,,,,,,,,,,,,,,
अक्ल,,,,,,,,,,,,,,
लगानी,,,,,,,,,,,,,,
पड़ी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वास्तव,,,,,,,,,,,,,,
में,में,Circumstance,Circumstance,,में,Circumstance,Circumstance,,,में,Circumstance,Circumstance,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
के,के,Gestalt,Gestalt,,,,,,,के,Gestalt,Gestalt,,
ग्रह,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
सारे,,,,,,,,,,,,,,
ग्रहों,,,,,,,,,,,,,,
की,की तरह,ComparisonRef,ComparisonRef,1:1,की तरह,ComparisonRef,ComparisonRef,1:1,,की तरह,ComparisonRef,ComparisonRef,1:1,
तरह,की तरह,,,1:2,की तरह,,,1:2,,की तरह,,,1:2,
अच्छे,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बुरे,,,,,,,,,,,,,,
दोनों,,,,,,,,,,,,,,
तरह,,,,,,,,,,,,,,
के,के,Characteristic,Characteristic,,का,Characteristic,Characteristic,,,के,Characteristic,Identity,,en guidelines 393
पौधे,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अच्छे,,,,,,,,,,,,,,
पौधें,,,,,,,,,,,,,,
के,के,Possessor,Possessor,,का,Source,Gestalt,,*Q* good plants have good seeds or produce good seeds (Source),के,Possessor,Possessor,,"possessor as the बीज is alienable
context for Source / Gestalt is too hard for algorithm?"
अच्छे,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बुरे,,,,,,,,,,,,,,
पौधें,,,,,,,,,,,,,,
के,के,Possessor,Possessor,,का,Source,Gestalt,,,के,Possessor,Possessor,,context for Source / gestalt is too hard for algorithm?
बुरे,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
होते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
दिखाई,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
पड़ते,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वे,,,,,,,,,,,,,,
तब,तब तक,EndTime,Interval,1:1,,,,,,तब तक,,,1:1,
तक,तब तक,,,1:2,तक,EndTime,EndTime,,,तब तक,Temporal,Temporal,1:2,"Temporal because it is an 'ongoing event' marked with jab tak - tab tak.
There is no reference absolute or interval time associated with a reference event , and also no reference event itself to govern it!
**revisit**"
पृथ्वी,,,,,,,,,,,,,,
की,की,Whole,Whole,,का,Whole,Whole,,,की,Gestalt,Gestalt,,going with gestalt because 'womb'  is metaphorical
रहस्यमय,,,,,,,,,,,,,,
गर्भ,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
पड़े,,,,,,,,,,,,,,
सोते,,,,,,,,,,,,,,
रहते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
जब,जब तक,EndTime,Interval,1:1,,,,,,जब तक,,,1:1,
तक,जब तक,,,1:2,तक,EndTime,EndTime,,,जब तक,Temporal,Temporal,1:2,"Temporal because it is an 'ongoing event' marked with jab tak - tab tak.
There is no reference absolute or interval time associated with a reference event , and also no reference event itself to govern it!
**revisit**"
वह,,,,,,,,,,,,,,
रहस्य,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
के,के माध्यम सें,Instrument,Instrument,1:1,के माध्यम सें,Instrument,Instrument,1:1,,के माध्यम सें,Instrument,Instrument,1:1,
माध्यम,के माध्यम सें,,,1:2,के माध्यम सें,,,1:2,,के माध्यम सें,,,1:2,
से,के माध्यम सें,,,1:3,के माध्यम सें,,,1:3,,के माध्यम सें,,,1:3,
प्रस्फुटित,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
होता,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
तब,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
अंगड़ाई,,,,,,,,,,,,,,
लेता,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
हल्के-हल्के,,,,,,,,,,,,,,
सूरज,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
निहारता,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
नन्हें,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
कोमल,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
मनमोहक,,,,,,,,,,,,,,
अंकुर,,,,,,,,,,,,,,
के,के,Identity,Identity,,का,Gestalt,Gestalt,,,के,Identity,Identity,,
रूप,,,,,,,,,,,,,,
में,में,Characteristic,Locus,,में,Characteristic,Locus,,en guidelines 408,में,Characteristic,Locus,,
प्रकट,,,,,,,,,,,,,,
होता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
अंकुर,,,,,,,,,,,,,,
मूली,,,,,,,,,,,,,,
या,,,,,,,,,,,,,,
गुलाब,,,,,,,,,,,,,,
का,का,Identity,Identity,,का,Identity,Identity,,*Q*,का,Species,Species,,sapling of radish or rose (category is governed)
हुआ,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,'Then' ... possible discourse marker non emphasis (part of यदि - तो )
उसे,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
पनपने,,,,,,,,,,,,,,
के,के लिए,Purpose,Purpose,1:1,के लिए,Purpose,Purpose,1:1,,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,के लिए,,,1:2,,के लिए,,,1:2,
छोड़ा,,,,,,,,,,,,,,
जा,,,,,,,,,,,,,,
सकता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
बुरे,,,,,,,,,,,,,,
पौधे,,,,,,,,,,,,,,
का,का,Identity,Identity,,का,Identity,Identity,,,का,Species,Species,,
हुआ,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,'Then' ... possible discourse marker non emphasis (part of यदि - तो )
जैसे,जैसे ही,Time,Time,1:1,जैसे,Time,Time,,,जैसे ही,Time,Time,1:1,
ही,जैसे ही,,,1:1,,,,,,जैसे ही,,,1:1,
पता,,,,,,,,,,,,,,
चले,,,,,,,,,,,,,,
उसे,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
उखाड़,,,,,,,,,,,,,,
फेंकना,,,,,,,,,,,,,,
चाहिए।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
के,के,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Org,Gestalt,,en guidelines 439
ग्रह,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
कुछ,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
खतरनाक,,,,,,,,,,,,,,
किस्म,,,,,,,,,,,,,,
के,के,Characteristic,Characteristic,,का,Characteristic,Characteristic,,,के,Characteristic,Identity,,
बीज,,,,,,,,,,,,,,
पाए,,,,,,,,,,,,,,
जाते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जैसे,जैसे,PartPortion,PartPortion,,जैसे,PartPortion,PartPortion,,,जैसे,ComparisonRef,ComparisonRef,,
बाओबाब,,,,,,,,,,,,,,
के,के,Identity,Identity,,,,,,,के,Identity,Identity,,
बीज,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वहां,,,,,,,,,,,,,,
की,की,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,की,Gestalt,Gestalt,,Closest translation may be 'its Earth' - cf. en guidelines 359
धरती,,,,,,,,,,,,,,
उनसे,से,Stimulus,Causer,,से,Stimulus,Causer,,,से,Stimulus,Causer,,"Its Earth was beset by them'

and en guidelines 496.g"
आक्रांत,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,1:1,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,1:1,
बारे,के बारे में,,,1:2,के बारे में,,,1:2,,के बारे में,,,1:2,
में,के बारे में,,,1:3,के बारे में,,,1:3,,के बारे में,,,1:3,
उसके,के,Theme,Theme,,का,Theme,Theme,,,के,Theme,Theme,,
बड़ा,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
जाने,,,,,,,,,,,,,,
के,के बाद,Time,Time,1:1,के बाद,Time,Time,2:1,,के बाद,Time,Time,1:1,
बाद,के बाद,,,1:2,के बाद,,,2:2,,के बाद,,,1:2,
",",,,,,,,,,,,,,,
पता,,,,,,,,,,,,,,
चले,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,'Then' - not exactly discourse marker
फिर,,,,,,,,,,,,,,
उससे,से,Theme,Source,,से,Theme,Source,,en 221,से,Theme,Ancillary,,
कोई,,,,,,,,,,,,,,
छुटकारा,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
चारों,,,,,,,,,,,,,,
तरफ,,,,,,,,,,,,,,
फैल-पसर,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
छा,,,,,,,,,,,,,,
जाता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसकी,की,Whole,Whole,,का,Whole,Whole,,,की,Whole,Whole,,Roots of the plant (the girl's flaxen hair)
जड़ें,,,,,,,,,,,,,,
हर,,,,,,,,,,,,,,
तरफ,,,,,,,,,,,,,,
फैल,,,,,,,,,,,,,,
जाती,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यदि,,,,,,,,,,,,,,
ग्रह,,,,,,,,,,,,,,
छोटा,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
से,से,Extent,Extent,,,,,,,से,Extent,Extent,,not the postposition से but more a morphological variation of an emphasis marker (बहुत सा)
तो,तो,`d,,,,,,,,तो,`d,,,'Then'
वह,,,,,,,,,,,,,,
फट,,,,,,,,,,,,,,
पड़ेगा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
नियम-अनुशासन,,,,,,,,,,,,,,
की,का,Topic,Topic,,का,Topic,Identity,,,का,Topic,Topic,,function as topic by earlier examples
बात,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
बाद,बाद में,Time,Time,1:1,बाद में,Time,Time,1:1,,बाद में,Time,Time,1:1,
में,बाद में,,,1:2,बाद में,,,1:2,,बाद में,,,1:2,
मुझे,को,Recipient,Recipient,,,,,,,को,Recipient,Recipient,,
बताया,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
सुबह,,,,,,,,,,,,,,
नित्यकर्म,,,,,,,,,,,,,,
से,से,Theme,Source,,से,Theme,Source,,freed from,से,Theme,Ancillary,,
निवृत्त,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
पौधें,,,,,,,,,,,,,,
की,की,Theme,Theme,,का,Theme,Theme,,,की,Theme,Theme,,
देखभाल,,,,,,,,,,,,,,
करनी,,,,,,,,,,,,,,
चाहिए,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
गुलाब,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
बाओबाब,,,,,,,,,,,,,,
के,के,Identity,Identity,,का,Identity,Identity,,,के,Identity,Identity,,
पौधे,,,,,,,,,,,,,,
करीब-करीब,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,जैसे,ComparisonRef,ComparisonRef,,,जैसे,ComparisonRef,ComparisonRef,,
होते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
इसलिए,के लिए,Explanation,Explanation,,के लिए,Explanation,Explanation,,,के लिए,Explanation,Explanation,,
जैसे,जैसे ही,Time,Time,1:1,जैसे,Time,Time,,,जैसे ही,Time,Time,1:1,
ही,जैसे ही,,,1:2,,,,,,जैसे ही,,,1:2,
बाओबाब,,,,,,,,,,,,,,
पहचाने,,,,,,,,,,,,,,
जा,,,,,,,,,,,,,,
सकें,,,,,,,,,,,,,,
उन्हें,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
उखाड़,,,,,,,,,,,,,,
फेंकना,,,,,,,,,,,,,,
चाहिए,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
