,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
बंद,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
लगा,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
खिलने,,,,,,,,,,,,,,
वाला,वाला,NONSNACS,NONSNACS,,,,,,,वाला,NONSNACS,NONSNACS,,"Should be marked adpositional? - 
commença de préparer une fleur
"
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नन्हा,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
गदराई,,,,,,,,,,,,,,
सी,सी,Extent,Extent,,,,,,,सी,Extent,Extent,,
कली,,,,,,,,,,,,,,
को,को,Stimulus,Theme,,को,Stimulus,Theme,,,को,Stimulus,Theme,,
देख,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
सोचता,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
इसमें,में से,Source,Source,1:1,में से,Source,Source,1:1,,में से,Source,Locus,1:1,
से,में से,,,1:2,में से,,,1:2,,में से,,,1:2,
निश्चय,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
एक,,,,,,,,,,,,,,
चमत्कार,,,,,,,,,,,,,,
प्रकट,,,,,,,,,,,,,,
होगा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
अपने,के,Gestalt,Gestalt,,,,,,,के,Gestalt,Gestalt,,"à l'abri de sa chambre verte

analogy here is chambre vert = हरे
कोष्ट. Possessive relationship"
हरे,,,,,,,,,,,,,,
कोष्ट,,,,,,,,,,,,,,
की,की,Identity,Identity,,का,Identity,Identity,,,की,Identity,Identity,,shade of the कोष्ट?
छांव,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
पखुड़ियों,,,,,,,,,,,,,,
के,के,Possessor,Possessor,,का,Gestalt,Gestalt,,"*Q* seems to be a metaphorical usage ""clothes for the petals""? not sure what to label it",के,Possessor,Possessor,,"Elle choisissait avec soin ses couleurs
metaphorically, might be alienable"
परिधान,,,,,,,,,,,,,,
चुनती,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
सजती,,,,,,,,,,,,,,
उस,,,,,,,,,,,,,,
कली,,,,,,,,,,,,,,
का,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,का,Gestalt,Gestalt,,
सौंदर्य,,,,,,,,,,,,,,
निखरता,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
जा,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
अपने,के,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Gestalt,Gestalt,,
सौंदर्य,,,,,,,,,,,,,,
को,को,Theme,Theme,,को,Theme,Theme,,,को,Theme,Theme,,
भरपूर,,,,,,,,,,,,,,
जगमगाहट,,,,,,,,,,,,,,
के,के पहले,Time,Time,1:1,के पहले,Time,Time,1:1,,के पहले,Time,Time,1:1,
पहले,के पहले,,,1:2,के पहले,,,1:2,,के पहले,,,1:2,
साधारण,,,,,,,,,,,,,,
फूलों,,,,,,,,,,,,,,
की,की तरह,Manner,ComparisonRef,1:1,की तरह,Manner,ComparisonRef,2:1,,की तरह,Manner,ComparisonRef,1:1,
तरह,की तरह,,,1:2,की तरह,,,2:2,,की तरह,,,1:2,
प्रकट,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
होने,,,,,,,,,,,,,,
देना,,,,,,,,,,,,,,
चाहती,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
सच,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
शौकीन,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
वह।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
साज-सज्जा,,,,,,,,,,,,,,
कितने,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
दिन,,,,,,,,,,,,,,
चलती,,,,,,,,,,,,,,
रही,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
उषा,,,,,,,,,,,,,,
की,की,Gestalt,Gestalt,,का,Source,Gestalt,,*Q*,की,Gestalt,Gestalt,,"the first rays of dawn.
perhaps not source because the rays and the sun are not separable?"
पहली,,,,,,,,,,,,,,
किरण,,,,,,,,,,,,,,
के,के साथ,Ancillary,Ancillary,,के साथ,Ancillary,Ancillary,1:1,*Q*,के साथ,Ancillary,Ancillary,,might pass together with test
साथ,के साथ,,,,के साथ,,,1:2,,के साथ,,,,
वह,,,,,,,,,,,,,,
अधखिली,,,,,,,,,,,,,,
कली,,,,,,,,,,,,,,
प्रकट,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
ही,,,,,,,,,,,,,,
गई,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इतनी,,,,,,,,,,,,,,
तैयारी,,,,,,,,,,,,,,
के,के बाद,Time,Time,1:1,के बाद,Time,Time,1:1,,के बाद,Time,Time,1:1,en guidelines 66
बाद,के बाद,,,1:2,के बाद,,,1:2,,के बाद,,,1:2,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
जम्हाई,,,,,,,,,,,,,,
लेते,,,,,,,,,,,,,,
हुए,,,,,,,,,,,,,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
ओह,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मुश्किल,,,,,,,,,,,,,,
सक,,,,,,,,,,,,,,
अभी-अभी,,,,,,,,,,,,,,
जागी,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
क्षमा,,,,,,,,,,,,,,
करना,,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
अभी,,,,,,,,,,,,,,
ठीक,,,,,,,,,,,,,,
से,से,Manner,Manner,,से,Manner,Manner,,,से,Manner,Manner,,
तैयार,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नन्हें,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
की,की,Experiencer,Gestalt,,का,Experiencer,Gestalt,,,की,Gestalt,Gestalt,,
प्रसन्नता,,,,,,,,,,,,,,
की,की,Gestalt,Gestalt,,का,Theme,Theme,,,की,Gestalt,Gestalt,,"limit of his admiration. 
This is a different scene from the french/english
feels like a property 
(can an NP have a thematic role?)"
सीमा,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
रही,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
कितनी,,,,,,,,,,,,,,
सुंदर,,,,,,,,,,,,,,
हो!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
सच्ची,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
अपनी,की,Gestalt,Gestalt,,,,,,,की,Gestalt,Gestalt,,his sweet voice
मधुर,,,,,,,,,,,,,,
आवाज,,,,,,,,,,,,,,
में,में,Manner,Manner,,में,Manner,Manner,,en guidelines 167,में,Manner,Manner,,
इतरा,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
कली,,,,,,,,,,,,,,
बोली,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
सूरज,,,,,,,,,,,,,,
के,के साथ,Ancillary,Ancillary,1:1,के साथ,Ancillary,Ancillary,1:1,,के साथ,Ancillary,1:1,,
साथ,के साथ,,,1:2,के साथ,,,1:2,,के साथ,,1:2,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
जन्मी,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
समझ,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
विनम्र,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
उससे,से,Causer,Causer,,से,Causer,Source,,*Q*,से,Causer,Causer,,not a source of anything?
प्रभावित,,,,,,,,,,,,,,
हुए,,,,,,,,,,,,,,
बिना,बिना,Manner,Manner,,बिना,Manner,Manner,,,बिना,Manner,Manner,,
नहीं,,,,,,,,,,,,,,
रहा,,,,,,,,,,,,,,
जा,,,,,,,,,,,,,,
सकता,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
नाश्ते,,,,,,,,,,,,,,
का,का,Purpose,Purpose,,का,Purpose,Purpose,,"""time for breakfast""",का,Purpose,Purpose,,
समय,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
फौरन,,,,,,,,,,,,,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मेरा,का,Theme,Theme,,का,Beneficiary,Theme,,,का,Gestalt,Gestalt,,taking literal interpretation?
ख्याल,,,,,,,,,,,,,,
रखो,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
शर्मा,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
एक,,,,,,,,,,,,,,
बर्तन,,,,,,,,,,,,,,
ढूँढ,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
उसे,को,Recipient,Theme,,को,Recipient,Theme,,,को,Theme,Theme,,
ताजे,,,,,,,,,,,,,,
पानी,,,,,,,,,,,,,,
से,से,Theme,Instrument,,से,Theme,Instrument,,guidelines en 210,से,Theme,Instrument,,
सींच,,,,,,,,,,,,,,
दिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
कुछ,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
दिनों,,,,,,,,,,,,,,
में,में,Time,Interval,,में,Time,Interval,,,में,Time,Interval,,
उस,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
ने,ने,Agent,Agent,,ने,Agent,Agent,,the flower is alive,ने,Agent,Agent,,
राजकुमार,,,,,,,,,,,,,,
को,को,Experiencer,Theme,,को,Experiencer,Theme,,,को,Experiencer,Theme,,related to 387 by same scene - interesting
अपने,के,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Gestalt,Gestalt,,
मान,,,,,,,,,,,,,,
भरे,,,,,,,,,,,,,,
अहंकार,,,,,,,,,,,,,,
से,से,Stimulus,Causer,,से,Stimulus,Causer,,,से,Stimulus,Causer,,
परेशान,,,,,,,,,,,,,,
कर,,,,,,,,,,,,,,
डाला,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उदाहरण,,,,,,,,,,,,,,
के,के लिए,`d,`d,1:1,के लिए,`d,`d,1:1,*Q*,के लिए,`d,`d,1:1,for example?
लिए,के लिए,,,1:2,के लिए,,,1:2,,के लिए,,,1:2,
एक,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
अपने,के,Whole,Whole,,का,Possessor,Possessor,,,के,Whole,Whole,,
चारों,,,,,,,,,,,,,,
कांटों,,,,,,,,,,,,,,
की,की,Topic,Topic,,का,Topic,Topic,,,की,Topic,Topic,,
बात,,,,,,,,,,,,,,
करते,,,,,,,,,,,,,,
हुए,,,,,,,,,,,,,,
उसने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
राजकुमार,,,,,,,,,,,,,,
से,से,Recipient,Ancillary,,से,Recipient,Ancillary,,,से,Recipient,Ancillary,,
कहा,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
खूनी,,,,,,,,,,,,,,
पंजों,,,,,,,,,,,,,,
वाले,वाला,PartPortion,Characteristic,,वाला,PartPortion,Characteristic,,,वाला,PartPortion,Characteristic,,
बाघ,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
आ,,,,,,,,,,,,,,
जाएं,,,,,,,,,,,,,,
तो,तो,`d,,,,,,,,तो,`d,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
डर,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मेरे,के,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,के,Org,Gestalt,,
ग्रह,,,,,,,,,,,,,,
पर,पर,Locus,Locus,,पर,Locus,Locus,,,पर,Locus,Locus,,
बाघ,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
फिर,,,,,,,,,,,,,,
बाघ,,,,,,,,,,,,,,
घास,,,,,,,,,,,,,,
थोड़े,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
खाते,,,,,,,,,,,,,,
हैं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,ने,Originator,Agent,,,ने,Originator,Agent,,
विरोध,,,,,,,,,,,,,,
किया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मैं,,,,,,,,,,,,,,
घास,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
ने,ने,Originator,Agent,,,,,,,ने,Originator,Agent,,
धीरे,,,,,,,,,,,,,,
से,से,Manner,Manner,,,,,,,से,Manner,Manner,,
कहा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
क्षमा,,,,,,,,,,,,,,
करना,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
मुझे,को,Experiencer,Theme,,,,,,,को,Experiencer,Theme,,in the same scene as 474
बाघ,,,,,,,,,,,,,,
से,से,Stimulus,Causer,,से,Stimulus,Causer,,,से,Stimulus,Causer,,
परवाह,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
पर,पर,NONSNACS,NONSNACS,,,,,,,पर,NONSNACS,NONSNACS,,
हवा,,,,,,,,,,,,,,
के,के,Stuff,Stuff,,का,Identity,Identity,,*Q*,के,QuantityItem,Stuff,,gusts of wind? 'current of wind' - collective noun?
झोकों,,,,,,,,,,,Stuff,Stuff,,
से,से,Stimulus,Source,,से,Stimulus,Source,,,से,Stimulus,Causer,,en guidelines 257
डर,,,,,,,,,,,,,,
लगता,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
तुम्हारे,के पास,Possessor,Locus,1:1,के पास,Possessor,Locus,1:1,,के पास,Possessor,Locus,1:1,के पास could be used where a Location is not implied?
पास,के पास,,,1:2,के पास,,,1:2,,के पास,,,1:2,
आड़,,,,,,,,,,,,,,
करने,,,,,,,,,,,,,,
के,के लिए,Purpose,Purpose,1:1,के लिए,Purpose,Purpose,2:1,,के लिए,Purpose,Purpose,1:1,
लिए,के लिए,,,1:2,के लिए,,,2:2,,के लिए,,,1:2,
पर्दा,,,,,,,,,,,,,,
तो,तो,Focus,Focus,,,,,,,तो,Focus,Focus,,
नहीं,,,,,,,,,,,,,,
होगा,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
हवा,,,,,,,,,,,,,,
के,का,Stuff,Stuff,,का,Identity,Identity,,,का,Stuff,Stuff,,
झोकों,,,,,,,,,,,,,,
से,से,Stimulus,Source,,से,Stimulus,Source,,,से,Stimulus,Causer,,
डर,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
एक,,,,,,,,,,,,,,
पौधे,,,,,,,,,,,,,,
के,के लिए,Beneficiary,Beneficiary,1:1,के लिए,Beneficiary,Beneficiary,1:1,,के लिए,Beneficiary,Beneficiary,1:1,
लिए,के लिए,,,1:2,के लिए,,,1:2,,के लिए,,,1:2,
कोई,,,,,,,,,,,,,,
अच्छी,,,,,,,,,,,,,,
बात,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यह,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
सीध-साध,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
लगता,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Agent,Agent,,en guidelines p.45 - Agent of internally realized emotions
सोचा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
शाम,,,,,,,,,,,,,,
को,को,Time,Time,,को,Time,Time,,,को,Time,Time,,
मुझे,को,Recipient,Theme,,को,Theme,Theme,,,को,Theme,Recipient,,recipient given the verb used
ढक,,,,,,,,,,,,,,
देना,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
यहां,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
सर्दी,,,,,,,,,,,,,,
पड़ती,,,,,,,,,,,,,,
है,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मुझे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Theme,,
चैन,,,,,,,,,,,,,,
नहीं,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
जहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
मैं,,,,,,,,,,,,,,
आई,,,,,,,,,,,,,,
हूं,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,
"""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसे,को,Agent,Agent,,को,Agent,Agent,,*Q*,को,Agent,Agent,,modal verb
बीच,,,,,,,,,*Q* MWE?,,,,,
में,में,Time,Time,,में,Time,Time,,,में,Time,Time,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
रुकना,,,,,,,,,,,,,,
पड़ा,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
रूप,,,,,,,,,,,,,,
में,में,Manner,Manner,,में,Characteristic,Locus,,,में,Manner,Manner,,adds information to the main scene
कहीं,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
आई,,,,,,,,,,,,,,
थीं,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
दूसरी,,,,,,,,,,,,,,
किसी,,,,,,,,,,,,,,
दुनिया,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,,
बारे,के बारे में,,,,के बारे में,,,1:2,,के बारे में,,,,
में,के बारे में,,,,के बारे में,,,1:3,,के बारे में,,,,
उसे,को,Experiencer,Recipient,,,,,,,को,Experiencer,Recipient,,
