"","Target","SS","SS2","MWE","Notes"
"जैसे","जैसे","Theme","ComparisonRef","","conclusion reading"
"उसे","को","Experiencer","Recipient","",""
"कोई","","","","",""
"बड़ी","","","","",""
"शंका","","","","",""
"हो","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"यह","","","","",""
"सच","","","","",""
"है","","","","",""
"ना","","","","",""
"कि","","","","",""
"भेड़","","","","",""
"झाड़ियां","","","","",""
"भी","","","","",""
"खाती","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"""हां","","","","",""
",","","","","",""
"खाती","","","","",""
"तो","","","","",""
"हैं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"चलो","","","","",""
"अच्छा","","","","",""
"हुआ।","","","","",""
"""","","","","",""
"","","","","",""
"मैं","","","","",""
"समझा","","","","",""
"नहीं","","","","",""
"कि","","","","",""
"भेड़","","","","",""
"के","का","Agent","Gestalt","",""
"झाड़ी","","","","",""
"खाने","","","","",""
"में","में","Topic","Topic","",""
"क्या","","","","",""
"खास","","","","",""
"बात","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"तभी","","","","",""
"नन्हें","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"कहा","","","","",""
",","","","","",""
"""","","","","",""
"तब","","","","",""
"तो","","","","",""
"वह","","","","",""
"बाओबाब","","","","",""
"के","का","Identity","Identity","",""
"पेड़","","","","",""
"भी","","","","",""
"खाती","","","","",""
"होगी","","","","",""
"?","","","","",""
"","","","","",""
"""","","","","",""
"मैंने","ने","Originator","Agent","",""
"उसे","को","Recipient","Recipient","",""
"बताया","","","","",""
"कि","","","","",""
"बाओबाब","","","","",""
"झाड़","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"नहीं","","","","",""
"होते","","","","",""
"।","","","","",""
"","","","","",""
"वे","","","","",""
"तो","","","","",""
"गिरजाघरों","","","","",""
"जैसे","जैसे","ComparisonRef","ComparisonRef","",""
"ऊंचे","","","","",""
"और","","","","",""
"विशाल","","","","",""
"होते","","","","",""
"हैं","","","","",""
"और","","","","",""
"अगर","","","","",""
"वह","","","","",""
"हाथियों","","","","",""
"का","का","QuantityItem","Stuff","",""
"झुंड","","","","",""
"भी","","","","",""
"आ","","","","",""
"जाए","","","","",""
"तब","","","","",""
"भी","","","","",""
"वे","","","","",""
"केवल","","","","",""
"एक","","","","",""
"पेड़","","","","",""
"को","को","Theme","Theme","",""
"भी","","","","",""
"पूरी","","","","",""
"तरह","","","","",""
"खाकर","","","","",""
"खत्म","","","","",""
"नहीं","","","","",""
"कर","","","","",""
"सकते","","","","",""
"।","","","","",""
"","","","","",""
"हाथियों","","","","",""
"के","का","QuantityItem","Stuff","",""
"झुंड","","","","",""
"की","का","Topic","Identity","",""
"बात","","","","",""
"सुनकर","","","","",""
"हंसी","","","","",""
"आ","","","","",""
"गई","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"उन्हें","को","Theme","Theme","",""
"एक","","","","",""
"के","के ऊपर","Goal","Locus","1:1","put one on top of the other"
"ऊपर","के ऊपर","","","1:2",""
"एक","","","","",""
"रखना","","","","",""
"पड़ेगा","","","","",""
"न","","","","",""
"...","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"तुरंत","","","","",""
"बुद्धिमत्ता","","","","",""
"पूर्ण","","","","",""
"बात","","","","",""
"कही","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"""बड़े","","","","",""
"होने","","","","",""
"से","से पहले","Time","Time","1:1",""
"पहले","से पहले","","","1:2",""
"तो","","","","",""
"बाओबाब","","","","",""
"छोटे","","","","",""
"होते","","","","",""
"होेंगे","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"बिल्कुल","","","","",""
"ठीक","","","","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"तू","","","","",""
"क्यों","","","","",""
"चाहता","","","","",""
"है","","","","",""
"कि","","","","",""
"तेरी","का","Possessor","Possessor","",""
"भेड़","","","","",""
"छोटे","","","","",""
"बाओबाब","","","","",""
"खाएं!","","","","",""
"""","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"उत्तर","","","","",""
"दिया","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"वाह","","","","",""
"!","","","","",""
"","","","","",""
"इतना","","","","",""
"भी","","","","",""
"नहीं","","","","",""
"समझते","","","","",""
"?","","","","",""
"","","","","",""
"""","","","","",""
"मुझे","को","Experiencer","Agent","",""
"तो","","","","",""
"उस","","","","",""
"बात","","","","",""
"को","को","Topic","Theme","",""
"समझने","","","","",""
"में","में","Topic","Topic","",""
"काफी","","","","",""
"अक्ल","","","","",""
"लगानी","","","","",""
"पड़ी","","","","",""
"।","","","","",""
"","","","","",""
"वास्तव","","","","",""
"में","में","Circumstance","Circumstance","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"के","","","","",""
"ग्रह","","","","",""
"पर","पर","Locus","Locus","",""
"सारे","","","","",""
"ग्रहों","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"अच्छे","","","","",""
"और","","","","",""
"बुरे","","","","",""
"दोनों","","","","",""
"तरह","","","","",""
"के","का","Characteristic","Characteristic","",""
"पौधे","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"अच्छे","","","","",""
"पौधें","","","","",""
"के","का","Source","Gestalt","","*Q* good plants have good seeds or produce good seeds (Source)"
"अच्छे","","","","",""
"और","","","","",""
"बुरे","","","","",""
"पौधें","","","","",""
"के","का","Source","Gestalt","",""
"बुरे","","","","",""
"बीज","","","","",""
"भी","","","","",""
"होते","","","","",""
"थे","","","","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"बीज","","","","",""
"तो","","","","",""
"दिखाई","","","","",""
"नहीं","","","","",""
"पड़ते","","","","",""
"।","","","","",""
"","","","","",""
"वे","","","","",""
"तब","","","","",""
"तक","तक","EndTime","EndTime","",""
"पृथ्वी","","","","",""
"की","का","Whole","Whole","",""
"रहस्यमय","","","","",""
"गर्भ","","","","",""
"में","में","Locus","Locus","",""
"पड़े","","","","",""
"सोते","","","","",""
"रहते","","","","",""
"हैं","","","","",""
"जब","","","","",""
"तक","तक","EndTime","EndTime","",""
"वह","","","","",""
"रहस्य","","","","",""
"किसी","","","","",""
"बीज","","","","",""
"के","के माध्यम सें","Instrument","Instrument","1:1",""
"माध्यम","के माध्यम सें","","","1:2",""
"से","के माध्यम सें","","","1:3",""
"प्रस्फुटित","","","","",""
"नहीं","","","","",""
"होता","","","","",""
"।","","","","",""
"","","","","",""
"तब","","","","",""
"वह","","","","",""
"बीज","","","","",""
"अंगड़ाई","","","","",""
"लेता","","","","",""
",","","","","",""
"हल्के-हल्के","","","","",""
"सूरज","","","","",""
"को","को","Stimulus","Theme","",""
"निहारता","","","","",""
"एक","","","","",""
"नन्हें","","","","",""
",","","","","",""
"कोमल","","","","",""
"और","","","","",""
"मनमोहक","","","","",""
"अंकुर","","","","",""
"के","का","Gestalt","Gestalt","",""
"रूप","","","","",""
"में","में","Characteristic","Locus","","en guidelines 408"
"प्रकट","","","","",""
"होता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"यदि","","","","",""
"अंकुर","","","","",""
"मूली","","","","",""
"या","","","","",""
"गुलाब","","","","",""
"का","का","Identity","Identity","","*Q*"
"हुआ","","","","",""
"तो","","","","",""
"उसे","को","Theme","Theme","",""
"पनपने","","","","",""
"के","के लिए","Purpose","Purpose","1:1",""
"लिए","के लिए","","","1:2",""
"छोड़ा","","","","",""
"जा","","","","",""
"सकता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"यदि","","","","",""
"वह","","","","",""
"किसी","","","","",""
"बुरे","","","","",""
"पौधे","","","","",""
"का","का","Identity","Identity","",""
"हुआ","","","","",""
"तो","","","","",""
"जैसे","जैसे","Time","Time","",""
"ही","","","","",""
"पता","","","","",""
"चले","","","","",""
"उसे","को","Theme","Theme","",""
"उखाड़","","","","",""
"फेंकना","","","","",""
"चाहिए।","","","","",""
"","","","","",""
"और","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"के","का","Gestalt","Gestalt","",""
"ग्रह","","","","",""
"पर","पर","Locus","Locus","",""
"कुछ","","","","",""
"बहुत","","","","",""
"ही","","","","",""
"खतरनाक","","","","",""
"किस्म","","","","",""
"के","का","Characteristic","Characteristic","",""
"बीज","","","","",""
"पाए","","","","",""
"जाते","","","","",""
"थे","","","","",""
"...","","","","",""
"","","","","",""
"जैसे","जैसे","PartPortion","PartPortion","",""
"बाओबाब","","","","",""
"के","","","","",""
"बीज","","","","",""
"।","","","","",""
"","","","","",""
"वहां","","","","",""
"की","का","Gestalt","Gestalt","",""
"धरती","","","","",""
"उनसे","से","Stimulus","Causer","",""
"आक्रांत","","","","",""
"थी","","","","",""
"।","","","","",""
"","","","","",""
"यदि","","","","",""
"बाओबाब","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"उसके","का","Theme","Theme","",""
"बड़ा","","","","",""
"हो","","","","",""
"जाने","","","","",""
"के","के बाद","Time","Time","2:1",""
"बाद","के बाद","","","2:2",""
",","","","","",""
"पता","","","","",""
"चले","","","","",""
"तो","","","","",""
"फिर","","","","",""
"उससे","से","Theme","Source","","en 221"
"कोई","","","","",""
"छुटकारा","","","","",""
"नहीं","","","","",""
"।","","","","",""
"","","","","",""
"वह","","","","",""
"चारों","","","","",""
"तरफ","","","","",""
"फैल-पसर","","","","",""
"कर","","","","",""
"छा","","","","",""
"जाता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"उसकी","का","Whole","Whole","",""
"जड़ें","","","","",""
"हर","","","","",""
"तरफ","","","","",""
"फैल","","","","",""
"जाती","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"यदि","","","","",""
"ग्रह","","","","",""
"छोटा","","","","",""
"हुआ","","","","",""
"और","","","","",""
"बाओबाब","","","","",""
"बहुत","","","","",""
"से","","","","",""
"तो","","","","",""
"वह","","","","",""
"फट","","","","",""
"पड़ेगा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"यह","","","","",""
"तो","","","","",""
"नियम-अनुशासन","","","","",""
"की","का","Topic","Identity","",""
"बात","","","","",""
"है","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"बाद","बाद में","Time","Time","1:1",""
"में","बाद में","","","1:2",""
"मुझे","","","","",""
"बताया","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"सुबह","","","","",""
"नित्यकर्म","","","","",""
"से","से","Theme","Source","","freed from"
"निवृत्त","","","","",""
"होते","","","","",""
"ही","","","","",""
"पौधें","","","","",""
"की","का","Theme","Theme","",""
"देखभाल","","","","",""
"करनी","","","","",""
"चाहिए","","","","",""
"।","","","","",""
"","","","","",""
"गुलाब","","","","",""
"और","","","","",""
"बाओबाब","","","","",""
"के","का","Identity","Identity","",""
"पौधे","","","","",""
"करीब-करीब","","","","",""
"एक","","","","",""
"जैसे","जैसे","ComparisonRef","ComparisonRef","",""
"होते","","","","",""
"हैं","","","","",""
"इसलिए","के लिए","Explanation","Explanation","",""
"जैसे","जैसे","Time","Time","",""
"ही","","","","",""
"बाओबाब","","","","",""
"पहचाने","","","","",""
"जा","","","","",""
"सकें","","","","",""
"उन्हें","को","Theme","Theme","",""
"उखाड़","","","","",""
"फेंकना","","","","",""
"चाहिए","","","","",""
"।","","","","",""
"","","","","",""
"काम","","","","",""
"उलझन","","","","",""
"वाला","","","","",""
"सही","","","","",""
"पर","","","","",""
"होता","","","","",""
"आसान","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"एक","","","","",""
"दिन","","","","",""
"उसने","ने","Originator","Agent","",""
"मुझे","को","Recipient","Recipient","",""
"राय","","","","",""
"दी","","","","",""
"कि","","","","",""
"मैं","","","","",""
"मेहनत","","","","",""
"करके","","","","",""
"एक","","","","",""
"सुंदर","","","","",""
"चित्र","","","","",""
"बनाऊँ","","","","",""
"ताकि","","","","",""
"इस","","","","",""
"धरती","","","","",""
"के","का","Locus","Gestalt","",""
"बच्चे","","","","",""
"उसे","को","Topic","Theme","","*Q*"
"अच्छी","","","","",""
"तरह","","","","",""
"पहचान","","","","",""
"लें","","","","",""
"।","","","","",""
"","","","","",""
"उसने","ने","Originator","Agent","",""
"कहा","","","","",""
",","","","","",""
"","","","","",""
"""","","","","",""
"अगर","","","","",""
"उन्होंने","ने","Agent","Agent","",""
"कभी","","","","",""
"यात्रा","","","","",""
"की","","","","",""
"तो","","","","",""
"इस","","","","",""
"चित्र","","","","",""
"से","से","Source","Source","",""
"उन्हें","को","Recipient","Recipient","",""
"सहायता","","","","",""
"मिलेगी","","","","",""
"।","","","","",""
"","","","","",""
"कभी-कभी","","","","",""
",","","","","",""
"कुछ","","","","",""
"दिनों","","","","",""
"बाद","के बाद","Time","Interval","",""
"अपना","का","Gestalt","Gestalt","",""
"काम","","","","",""
"फिर","","","","",""
"शुरू","","","","",""
"करने","","","","",""
"में","में","Topic","Topic","",""
"कोई","","","","",""
"कठिनाई","","","","",""
"नहीं","","","","",""
"होती","","","","",""
"लेकिन","","","","",""
"जहां","","","","",""
"तक","तक","Extent","Extent","",""
"बाओबाब","","","","",""
"का","","","","",""
"संबंध","","","","",""
"है","","","","",""
"उन्हें","को","Theme","Theme","",""
"नष्ट","","","","",""
"करने","","","","",""
"का","का","Identity","Identity","",""
"काम","","","","",""
"टालने","","","","",""
"में","में","Topic","Topic","",""
"बस","","","","",""
"खतरे","","","","",""
"ही","","","","",""
"खतरे","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"एक","","","","",""
"ग्रह","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"जानता","","","","",""
"हूं","","","","",""
"जहां","","","","",""
"एक","","","","",""
"आलसी","","","","",""
"रहता","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"इसमें","में","Locus","Locus","",""
"तीन","","","","",""
"झाड़ों","","","","",""
"को","को","Theme","Theme","",""
"वैसे","","","","",""
"ही","","","","",""
"छोड़","","","","",""
"दिया","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"और","","","","",""
"...","","","","",""
"और","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"नन्हे","","","","",""
"राजकुमार","","","","",""
"के","का","Originator","Gestalt","",""
"सुझावों","","","","",""
"पर","पर","Explanation","Time","",""
"मैंने","ने","Originator","Agent","",""
"उस","","","","",""
"ग्रह","","","","",""
"का","का","Topic","Topic","",""
"एक","","","","",""
"चित्र","","","","",""
"बनाया","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"उपदेश","","","","",""
"देना","","","","",""
"पसंद","","","","",""
"नहीं","","","","",""
"करता","","","","",""
"मगर","","","","",""
"बाओबाब","","","","",""
"से","से","Source","Source","",""
"खतरों","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"लोगों","","","","",""
"को","को","Experiencer","Recipient","",""
"इतना","","","","",""
"कम","","","","",""
"मालूम","","","","",""
"है","","","","",""
"और","","","","",""
"किसी","","","","",""
"जगह","","","","",""
"जहां","","","","",""
"ऐसे","","","","",""
"पेड़","","","","",""
"हों","","","","",""
"भटक","","","","",""
"जाने","","","","",""
"वाले","","","","",""
"के","के लिए","Beneficiary","Beneficiary","1:1","danger is not something experienced internally"
"लिए","के लिए","","","1:2",""
"खतरे","","","","",""
"इतने","","","","",""
"कि","","","","",""
"मैं","","","","",""
"एक","","","","",""
"बार","","","","",""
"संकोच","","","","",""
"का","का","Theme","Theme","",""
"परित्याग","","","","",""
"कर","","","","",""
"कह","","","","",""
"सकता","","","","",""
"हूं","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"बच्चों","","","","",""
"!","","","","",""
"","","","","",""
"बाओबाब","","","","",""
"से","से","Theme","Source","",""
"बचना।","","","","",""
"""","","","","",""
"","","","","",""
"मैंने","ने","Agent","Agent","",""
"इतनी","","","","",""
"मेहनत","","","","",""
"करके","","","","",""
"यह","","","","",""
"चित्र","","","","",""
"बनाया","","","","",""
"क्योंकि","","","","",""
"मेरी","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"मेरे","का","SocialRel","Gestalt","",""
"दोस्त","","","","",""
"बहुत","","","","",""
"दिनों","","","","",""
"से","से","Duration","StartTime","","*Q*"
"एक","","","","",""
"खतरा","","","","",""
",","","","","",""
"बिना","बिना","Manner","Manner","",""
"उसे","","","","",""
"जाने","","","","",""
",","","","","",""
"टालते","","","","",""
"रहे","","","","",""
"हैं","","","","",""
"और","","","","",""
"मैं","","","","",""
"उन्हें","को","Recipient","Recipient","",""
"चेतावनी","","","","",""
"देना","","","","",""
"चाहता","","","","",""
"हूं","","","","",""
"।","","","","",""
"","","","","",""
"मैंने","ने","Agent","Agent","",""
"यह","","","","",""
"मेहनत","","","","",""
"बेकार","","","","",""
"नहीं","","","","",""
"की","","","","",""
"।","","","","",""
"","","","","",""
"कोई","","","","",""
"सोच","","","","",""
"सकता","","","","",""
"है","","","","",""
"इस","","","","",""
"पूरी","","","","",""
"पुस्तक","","","","",""
"में","में","Locus","Locus","",""
"और","","","","",""
"कोई","","","","",""
"चित्र","","","","",""
"बाओबाब","","","","",""
"की","की तरह","ComparisonRef","ComparisonRef","1:1",""
"तरह","की तरह","","","1:2",""
"भड़कीला","","","","",""
"क्यों","","","","",""
"नहीं","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"उत्तर","","","","",""
"बहुत","","","","",""
"साधारण","","","","",""
"है","","","","",""
",","","","","",""
"मैंने","ने","Agent","Agent","",""
"हर","","","","",""
"बार","","","","",""
"कोशिश","","","","",""
"की","","","","",""
"मगर","","","","",""
"सफलता","","","","",""
"नहीं","","","","",""
"मिली","","","","",""
"पर","","","","",""
"जब","","","","",""
"मैेंने","ने","Originator","Agent","",""
"बाओबाब","","","","",""
"का","का","Topic","Topic","",""
"चित्र","","","","",""
"बनाया","","","","",""
"तो","","","","",""
"बराबर","","","","",""
"सोच","","","","",""
"रहा","","","","",""
"था","","","","",""
"कि","","","","",""
"उसका","का","Theme","Theme","",""
"बनना","","","","",""
"कितना","","","","",""
"जरूरी","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"शायद","","","","",""
"इसीलिए","के लिए","Explanation","Explanation","",""
"यह","","","","",""
"चित्र","","","","",""
"अच्छा","","","","",""
"बन","","","","",""
"पड़ा","","","","",""
"।","","","","",""
