,,Target,SS,SS2,MWE,Notes
6,मैंने,ने,Originator,Agent,,
7,कहा,,,,,
8,पर...,,,,,
,,,,,,
1,पर,,,,,
2,तू,,,,,
3,यहां,,,,,
4,क्या,,,,,
5,कर,,,,,
6,रहा,,,,,
7,है,,,,,
8,?,,,,,
,,,,,,
1,और,,,,,
2,धीरे,,,,,
3,से,से,Manner,Manner,,
4,जैसे,जैसे,ComparisonRef,ComparisonRef,,
5,एक,,,,,
6,भारी,,,,,
7,बात,,,,,
8,कहनी,,,,,
9,हो,,,,,
10,",",,,,,
11,उसने,ने,Agent,Agent,,
12,दोहराया,,,,,
13,",",,,,,
14,मेरे,के लिए,Beneficiary,Beneficiary,1:1,
15,लिए,के लिए,,,1:2,
16,एक,,,,,
17,भेड़,,,,,
18,का,का,Topic,Topic,,
19,चित्र,,,,,
20,बना,,,,,
21,दीजिए,,,,,
22,।,,,,,
,,,,,,
1,सब,,,,,
2,कुछ,,,,,
3,अजीब,,,,,
4,और,,,,,
5,रहस्यमय,,,,,
6,लग,,,,,
7,रहा,,,,,
8,था,,,,,
9,।,,,,,
,,,,,,
1,बात,,,,,
2,टालने,,,,,
3,का,का,ComparisonRef,Purpose,,sufficiency/excess
4,साहस,,,,,
5,नहीं,,,,,
6,हुआ,,,,,
7,।,,,,,
,,,,,,
1,निर्जन,,,,,
2,स्थान,,,,,
3,में,में,Locus,Locus,,
4,जबकि,,,,,
5,सर,,,,,
6,पर,पर,Experiencer,Locus,,death is swirling on my head=I am facing danger of death?
7,मौत,,,,,
8,मंडरा,,,,,
9,रही,,,,,
10,हो,,,,,
11,यह,,,,,
12,चित्र,,,,,
13,बनाने,,,,,
14,की,का,Topic,Identity,,
15,बात,,,,,
16,हास्यास्पद,,,,,
17,लगी,,,,,
18,",",,,,,
19,फिर,,,,,
20,भी,,,,,
21,मैंने,ने,Agent,Agent,,
22,जेब,,,,,
23,से,से,Source,Source,,
24,कागज,,,,,
25,और,,,,,
26,कलम,,,,,
27,निकाल,,,,,
28,लिया,,,,,
29,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,मैंने,ने,Experiencer,Agent,,
3,तो,,,,,
4,विशेषकर,,,,,
5,इतिहास,,,,,
6,",",,,,,
7,भूगोल,,,,,
8,और,,,,,
9,व्याकरण,,,,,
10,पढ़ी,,,,,
11,थी,,,,,
12,।,,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,थोड़ा,,,,,
3,झुंझला,,,,,
4,कर,,,,,
5,कहा,,,,,
6,कि,,,,,
7,",",,,,,
8,मुझे,को,Experiencer,Recipient,,
9,चित्र,,,,,
10,बनाने,,,,,
11,नहीं,,,,,
12,आते,,,,,
13,।,,,,,
,,,,,,
1,कोई,,,,,
2,बात,,,,,
3,नहीं,,,,,
4,भेड़,,,,,
5,बनाओ,,,,,
6,न!,,,,,
7,उसने,ने,Originator,Agent,,
8,जवाब,,,,,
9,दिया,,,,,
10,।,,,,,
,,,,,,
1,मुझे,को,Experiencer,Recipient,,
2,भेड़,,,,,
3,बनाना,,,,,
4,नहीं,,,,,
5,आता,,,,,
6,था,,,,,
7,।,,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,वही,,,,,
3,चित्र,,,,,
4,बनाया,,,,,
5,जो,,,,,
6,आता,,,,,
7,था,,,,,
8,।,,,,,
,,,,,,
1,मैं,,,,,
2,स्तब्ध,,,,,
3,रह,,,,,
4,गया,,,,,
5,जब,,,,,
6,वह,,,,,
7,बोला,,,,,
8,:,,,,,
,,,,,,
1,नहीं,,,,,
2,",",,,,,
3,नहीं,,,,,
4,।,,,,,
,,,,,,
1,मुझे,को,Experiencer,Recipient,,
2,अजगर,,,,,
3,के,का,Whole,Whole,,
4,पेट,,,,,
5,में,में,Locus,Locus,,
6,बंद,,,,,
7,हाथी,,,,,
8,नहीं,,,,,
9,चाहिए,,,,,
10,।,,,,,
,,,,,,
1,अजगर,,,,,
2,खौफनाक,,,,,
3,होता,,,,,
4,है,,,,,
5,और,,,,,
6,हाथी,,,,,
7,बड़ा,,,,,
8,ही,,,,,
9,भारी,,,,,
10,भरकम।,,,,,
,,,,,,
1,मेरे,का,Possessor,Possessor,,
2,घर,,,,,
3,तो,,,,,
4,सब,,,,,
5,कुछ,,,,,
6,छोटा-छोटा,,,,,
7,सा,,,,,
8,है,,,,,
9,।,,,,,
,,,,,,
1,मुझे,को,Experiencer,Recipient,,
2,भेड़,,,,,
3,ही,,,,,
4,चाहिए,,,,,
5,।,,,,,
,,,,,,
1,आखिर,,,,,
2,मैंने,ने,Originator,Agent,,
3,बनाया,,,,,
4,।,,,,,
,,,,,,
1,उसने,ने,Experiencer,Agent,,
2,ठीक,,,,,
3,से,से,Manner,Manner,,
4,देखा,,,,,
5,और,,,,,
6,बोला,,,,,
7,यह,,,,,
8,तो,,,,,
9,अभी,,,,,
10,से,से,StartTime,StartTime,,
11,बीमार,,,,,
12,है,,,,,
13,",",,,,,
14,दूसरी,,,,,
15,बनाओ।,,,,,
,,,,,,
1,फिर,,,,,
2,मैंने,ने,Originator,Agent,,
3,बनाया,,,,,
4,।,,,,,
,,,,,,
1,मेरे,का,SocialRel,Gestalt,,
2,दोस्त,,,,,
3,के,का,Whole,Whole,,
4,होठों,,,,,
5,पर,पर,Locus,Locus,,
6,एक,,,,,
7,हल्की,,,,,
8,सी,,,,,
9,सहानभूतिपूर्ण,,,,,
10,हंसी,,,,,
11,खेल,,,,,
12,गई,,,,,
13,।,,,,,
,,,,,,
1,देखो,,,,,
2,न।,,,,,
3,...,,,,,
,,,,,,
1,यह,,,,,
2,भेड़,,,,,
3,थोड़े,,,,,
4,ही,,,,,
5,है,,,,,
6,।,,,,,
,,,,,,
1,यह,,,,,
2,तो,,,,,
3,भेड़ा,,,,,
4,है,,,,,
5,!,,,,,
6,इसके,का,Whole,Whole,,
7,तो,,,,,
8,सींग,,,,,
9,हैं,,,,,
10,।,,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,फिर,,,,,
3,बनाया,,,,,
4,।,,,,,
,,,,,,
1,उसने,ने,Recipient,Agent,,
2,फिर,,,,,
3,नहीं,,,,,
4,स्वीकारा,,,,,
5,।,,,,,
,,,,,,
1,यह,,,,,
2,तो,,,,,
3,बूढ़ा,,,,,
4,है,,,,,
5,।,,,,,
,,,,,,
1,बहुत,,,,,
2,दिन,,,,,
3,जियेगा,,,,,
4,थोड़े,,,,,
5,!,,,,,
6,मुझे,को,Agent,Agent,,
7,अपने,का,Possessor,Possessor,,
8,जहाज,,,,,
9,की,का,Whole,Whole,,
10,मोटर,,,,,
11,ठीक,,,,,
12,करनी,,,,,
13,थी,,,,,
14,।,,,,,
,,,,,,
1,धीरज,,,,,
2,टूट,,,,,
3,गया,,,,,
4,।,,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,घसीट,,,,,
3,कर,,,,,
4,यह,,,,,
5,चित्र,,,,,
6,बनाया।,,,,,
,,,,,,
1,और,,,,,
2,झिड़कता,,,,,
3,हुआ,,,,,
4,बोला,,,,,
5,यह,,,,,
6,रहा,,,,,
7,बक्सा,,,,,
8,",",,,,,
9,तुम्हारी,का,Recipient,Gestalt,,
10,भेड़,,,,,
11,इसी,,,,,
12,के,के अंदर,Locus,Locus,1:1,
13,अंदर,के अंदर,,,1:2,
14,है,,,,,
15,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,मुझे,को,Experiencer,Recipient,,
3,थोड़ा,,,,,
4,अचरज,,,,,
5,हुआ,,,,,
6,अपने,का,SocialRel,Gestalt,,
7,इस,,,,,
8,नन्हें,,,,,
9,से,,,,,
10,जज,,,,,
11,के,का,Whole,Whole,,
12,मुंह,,,,,
13,पर,पर,Locus,Locus,,
14,एक,,,,,
15,चमक,,,,,
16,देखकर।,,,,,
,,,,,,
1,मुझे,को,Experiencer,Recipient,,
2,बिल्कुल,,,,,
3,ऐसा,,,,,
4,ही,,,,,
5,चाहिए,,,,,
6,था,,,,,
7,।,,,,,
,,,,,,
1,इसके,के लिए,Beneficiary,Beneficiary,1:1,
2,लिए,के लिए,,,1:2,
3,बहुत,,,,,
4,सी,,,,,
5,घास,,,,,
6,चाहिए,,,,,
7,क्या,,,,,
8,?,,,,,
,,,,,,
1,क्यों,,,,,
2,?,,,,,
,,,,,,
1,क्योंकि,,,,,
2,मेरा,का,Possessor,Possessor,,
3,घर,,,,,
4,बहुत,,,,,
5,छोटा,,,,,
6,है,,,,,
7,।,,,,,
,,,,,,
1,उतना,,,,,
2,बहुत,,,,,
3,है,,,,,
4,।,,,,,
,,,,,,
1,मैंने,ने,Originator,Agent,,
2,तुम्हें,को,Recipient,Recipient,,
3,एक,,,,,
4,छोटी,,,,,
5,सी,,,,,
6,भेड़,,,,,
7,दी,,,,,
8,है,,,,,
9,।,,,,,
,,,,,,
1,उसने,ने,Agent,Agent,,
2,चित्र,,,,,
3,पर,पर,Direction,Locus,,
4,सिर,,,,,
5,झुकाया,,,,,
6,।,,,,,
,,,,,,
1,इतनी,,,,,
2,छोटी,,,,,
3,थोड़ी,,,,,
4,ही,,,,,
5,है,,,,,
6,...,,,,,
,,,,,,
1,देखो?,,,,,
2,सो,,,,,
3,रही,,,,,
4,है,,,,,
5,।,,,,,
,,,,,,
1,और,,,,,
2,यह,,,,,
3,थी,,,,,
4,मेरी,का,Agent,Gestalt,,
5,पहली,,,,,
6,मुलाकात,,,,,
7,उस,,,,,
8,नन्हें,,,,,
9,राजकुमार,,,,,
10,से,से,Agent,Ancillary,,
11,।,,,,,
