,,Target,SS,SS2,MWE,Notes
5,ऊंचे,,,,,
6,और,,,,,
7,विशाल,,,,,
8,होते,,,,,
9,हैं,,,,,
10,और,,,,,
11,अगर,,,,,
12,वह,,,,,
13,हाथियों,,,,,
14,का,का,QuantityItem,Stuff,,
15,झुंड,,,,,
16,भी,,,,,
17,आ,,,,,
18,जाए,,,,,
19,तब,,,,,
20,भी,,,,,
21,वे,,,,,
22,केवल,,,,,
23,एक,,,,,
24,पेड़,,,,,
25,को,को,Theme,Theme,,
26,भी,,,,,
27,पूरी,,,,,
28,तरह,,,,,
29,खाकर,,,,,
30,खत्म,,,,,
31,नहीं,,,,,
32,कर,,,,,
33,सकते,,,,,
34,।,,,,,
,,,,,,
1,हाथियों,,,,,
2,के,का,QuantityItem,Stuff,,
3,झुंड,,,,,
4,की,का,Topic,Identity,,
5,बात,,,,,
6,सुनकर,,,,,
7,हंसी,,,,,
8,आ,,,,,
9,गई,,,,,
10,।,,,,,
,,,,,,
1,उसने,ने,Originator,Agent,,
2,कहा,,,,,
3,",",,,,,
,,,,,,
1,"""",,,,,
2,उन्हें,को,Theme,Theme,,
3,एक,,,,,
4,के,के ऊपर,Goal,Locus,,put one on top of the other
5,ऊपर,के ऊपर,,,,
6,एक,,,,,
7,रखना,,,,,
8,पड़ेगा,,,,,
9,न,,,,,
10,...,,,,,
11,।,,,,,
12,"""",,,,,
,,,,,,
1,उसने,ने,Originator,Agent,,
2,तुरंत,,,,,
3,बुद्धिमत्ता,,,,,
4,पूर्ण,,,,,
5,बात,,,,,
6,कही,,,,,
7,",",,,,,
,,,,,,
1,"""",,,,,
2,"""बड़े",,,,,
3,होने,,,,,
4,से,से पहले,Time,Time,1:1,
5,पहले,से पहले,,,1:2,
6,तो,,,,,
7,बाओबाब,,,,,
8,छोटे,,,,,
9,होते,,,,,
10,होेंगे,,,,,
11,?,,,,,
11,"""",,,,,
,,,,,,
1,"""",,,,,
2,बिल्कुल,,,,,
3,ठीक,,,,,
4,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,तू,,,,,
3,क्यों,,,,,
4,चाहता,,,,,
5,है,,,,,
6,कि,,,,,
7,तेरी,का,Possessor,Possessor,,
8,भेड़,,,,,
9,छोटे,,,,,
10,बाओबाब,,,,,
11,खाएं!,,,,,
12,"""",,,,,
,,,,,,
1,उसने,ने,Originator,Agent,,
2,उत्तर,,,,,
3,दिया,,,,,
4,",",,,,,
,,,,,,
1,"""",,,,,
2,वाह,,,,,
3,!,,,,,
,,,,,,
1,इतना,,,,,
2,भी,,,,,
3,नहीं,,,,,
4,समझते,,,,,
5,?,,,,,
,,,,,,
1,"""",,,,,
2,मुझे,को,Experiencer,Agent,,
3,तो,,,,,
4,उस,,,,,
5,बात,,,,,
6,को,को,Topic,Topic,,
7,समझने,,,,,
8,में,में,Topic,Topic,,
9,काफी,,,,,
10,अक्ल,,,,,
11,लगानी,,,,,
12,पड़ी,,,,,
13,।,,,,,
,,,,,,
1,वास्तव,,,,,
2,में,में,Circumstance,Circumstance,,
3,नन्हे,,,,,
4,राजकुमार,,,,,
5,के,,,,,
6,ग्रह,,,,,
7,पर,पर,Locus,Locus,,
8,सारे,,,,,
9,ग्रहों,,,,,
10,की,की तरह,ComparisonRef,ComparisonRef,1:1,
11,तरह,की तरह,,,1:2,
12,अच्छे,,,,,
13,और,,,,,
14,बुरे,,,,,
15,दोनों,,,,,
16,तरह,,,,,
17,के,का,Characteristic,Characteristic,,
18,पौधे,,,,,
19,थे,,,,,
20,।,,,,,
,,,,,,
1,अच्छे,,,,,
2,पौधें,,,,,
3,के,का,Source,Gestalt,,*Q* good plants have good seeds or produce good seeds (Source)
4,अच्छे,,,,,
5,और,,,,,
6,बुरे,,,,,
7,पौधें,,,,,
8,के,का,Source,Gestalt,,
9,बुरे,,,,,
10,बीज,,,,,
11,भी,,,,,
12,होते,,,,,
13,थे,,,,,
14,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,बीज,,,,,
3,तो,,,,,
4,दिखाई,,,,,
5,नहीं,,,,,
6,पड़ते,,,,,
7,।,,,,,
,,,,,,
1,वे,,,,,
2,तब,,,,,
3,तक,तक,EndTime,EndTime,,
4,पृथ्वी,,,,,
5,की,का,Whole,Whole,,
6,रहस्यमय,,,,,
7,गर्भ,,,,,
8,में,में,Locus,Locus,,
9,पड़े,,,,,
10,सोते,,,,,
11,रहते,,,,,
12,हैं,,,,,
13,जब,,,,,
14,तक,तक,EndTime,EndTime,,
15,वह,,,,,
16,रहस्य,,,,,
17,किसी,,,,,
18,बीज,,,,,
19,के,के माध्यम सें,Instrument,Instrument,,
20,माध्यम,के माध्यम सें,,,,
21,से,के माध्यम सें,,,,
22,प्रस्फुटित,,,,,
23,नहीं,,,,,
24,होता,,,,,
25,।,,,,,
,,,,,,
1,तब,,,,,
2,वह,,,,,
3,बीज,,,,,
4,अंगड़ाई,,,,,
5,लेता,,,,,
6,",",,,,,
7,हल्के-हल्के,,,,,
8,सूरज,,,,,
9,को,को,Stimulus,Theme,,
10,निहारता,,,,,
11,एक,,,,,
12,नन्हें,,,,,
13,",",,,,,
14,कोमल,,,,,
15,और,,,,,
16,मनमोहक,,,,,
17,अंकुर,,,,,
18,के,का,Gestalt,Gestalt,,
19,रूप,,,,,
20,में,में,Characteristic,Locus,,en guidelines 408
21,प्रकट,,,,,
22,होता,,,,,
23,है,,,,,
24,।,,,,,
,,,,,,
1,यदि,,,,,
2,अंकुर,,,,,
3,मूली,,,,,
4,या,,,,,
5,गुलाब,,,,,
6,का,का,Identity,Identity,,*Q*
7,हुआ,,,,,
8,तो,,,,,
9,उसे,को,Theme,Theme,,
10,पनपने,,,,,
11,के,के लिए,Purpose,Purpose,1:1,
12,लिए,के लिए,,,1:2,
13,छोड़ा,,,,,
14,जा,,,,,
15,सकता,,,,,
16,है,,,,,
17,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,यदि,,,,,
3,वह,,,,,
4,किसी,,,,,
5,बुरे,,,,,
6,पौधे,,,,,
7,का,का,Identity,Identity,,
8,हुआ,,,,,
9,तो,,,,,
10,जैसे,जैसे,Time,Time,,
11,ही,,,,,
12,पता,,,,,
13,चले,,,,,
14,उसे,को,Theme,Theme,,
15,उखाड़,,,,,
16,फेंकना,,,,,
17,चाहिए।,,,,,
,,,,,,
1,और,,,,,
2,नन्हे,,,,,
3,राजकुमार,,,,,
4,के,का,Gestalt,Gestalt,,
5,ग्रह,,,,,
6,पर,पर,Locus,Locus,,
7,कुछ,,,,,
8,बहुत,,,,,
9,ही,,,,,
10,खतरनाक,,,,,
11,किस्म,,,,,
12,के,का,Characteristic,Characteristic,,
13,बीज,,,,,
14,पाए,,,,,
15,जाते,,,,,
16,थे,,,,,
17,...,,,,,
,,,,,,
1,जैसे,जैसे,PartPortion,PartPortion,,
2,बाओबाब,,,,,
3,के,,,,,
4,बीज,,,,,
5,।,,,,,
,,,,,,
1,वहां,,,,,
2,की,का,Gestalt,Gestalt,,
3,धरती,,,,,
4,उनसे,से,Stimulus,Source,,
5,आक्रांत,,,,,
6,थी,,,,,
7,।,,,,,
,,,,,,
1,यदि,,,,,
2,बाओबाब,,,,,
3,के,के बारे में,Topic,Topic,1:1,
4,बारे,के बारे में,,,1:2,
5,में,के बारे में,,,1:3,
6,उसके,का,Theme,Theme,,
7,बड़ा,,,,,
8,हो,,,,,
9,जाने,,,,,
10,के,के बाद,Time,Time,,
11,बाद,के बाद,,,,
12,",",,,,,
13,पता,,,,,
14,चले,,,,,
15,तो,,,,,
16,फिर,,,,,
17,उससे,से,Theme,Source,,en 221
18,कोई,,,,,
19,छुटकारा,,,,,
20,नहीं,,,,,
21,।,,,,,
,,,,,,
1,वह,,,,,
2,चारों,,,,,
3,तरफ,,,,,
4,फैल-पसर,,,,,
5,कर,,,,,
6,छा,,,,,
7,जाता,,,,,
8,है,,,,,
9,।,,,,,
,,,,,,
1,उसकी,का,Whole,Whole,,
2,जड़ें,,,,,
3,हर,,,,,
4,तरफ,,,,,
5,फैल,,,,,
6,जाती,,,,,
7,हैं,,,,,
8,।,,,,,
,,,,,,
1,यदि,,,,,
2,ग्रह,,,,,
3,छोटा,,,,,
4,हुआ,,,,,
5,और,,,,,
6,बाओबाब,,,,,
7,बहुत,,,,,
8,से,,,,,
9,तो,,,,,
10,वह,,,,,
11,फट,,,,,
12,पड़ेगा,,,,,
13,।,,,,,
,,,,,,
1,"""",,,,,
2,यह,,,,,
3,तो,,,,,
4,नियम-अनुशासन,,,,,
5,की,का,Topic,Identity,,
6,बात,,,,,
7,है,,,,,
8,।,,,,,
9,"""",,,,,
,,,,,,
1,नन्हे,,,,,
2,राजकुमार,,,,,
3,ने,ने,Originator,Agent,,
4,बाद,बाद में,Time,Time,,
5,में,बाद में,,,,
6,मुझे,,,,,
7,बताया,,,,,
8,",",,,,,
,,,,,,
1,"""",,,,,
2,सुबह,,,,,
3,नित्यकर्म,,,,,
4,से,से,Theme,Source,,freed from
5,निवृत्त,,,,,
6,होते,,,,,
7,ही,,,,,
8,पौधें,,,,,
9,की,का,Theme,Theme,,
10,देखभाल,,,,,
11,करनी,,,,,
12,चाहिए,,,,,
13,।,,,,,
,,,,,,
1,गुलाब,,,,,
2,और,,,,,
3,बाओबाब,,,,,
4,के,का,Identity,Identity,,
5,पौधे,,,,,
6,करीब-करीब,,,,,
7,एक,,,,,
8,जैसे,जैसे,ComparisonRef,ComparisonRef,,
9,होते,,,,,
10,हैं,,,,,
11,इसलिए,के लिए,Explanation,Explanation,,
12,जैसे,जैसे,Time,Time,,
13,ही,,,,,
14,बाओबाब,,,,,
15,पहचाने,,,,,
16,जा,,,,,
17,सकें,,,,,
18,उन्हें,को,Theme,Theme,,
19,उखाड़,,,,,
20,फेंकना,,,,,
21,चाहिए,,,,,
22,।,,,,,
,,,,,,
1,काम,,,,,
2,उलझन,,,,,
3,वाला,,,,,
4,सही,,,,,
5,पर,,,,,
6,होता,,,,,
7,आसान,,,,,
8,है,,,,,
9,।,,,,,
,,,,,,
1,"""",,,,,
2,एक,,,,,
3,दिन,,,,,
4,उसने,ने,Originator,Agent,,
5,मुझे,को,Recipient,Recipient,,
6,राय,,,,,
7,दी,,,,,
8,कि,,,,,
9,मैं,,,,,
10,मेहनत,,,,,
11,करके,,,,,
12,एक,,,,,
13,सुंदर,,,,,
14,चित्र,,,,,
15,बनाऊँ,,,,,
16,ताकि,,,,,
17,इस,,,,,
18,धरती,,,,,
19,के,का,Locus,Gestalt,,
20,बच्चे,,,,,
21,उसे,को,Topic,Topic,,*Q*
22,अच्छी,,,,,
23,तरह,,,,,
24,पहचान,,,,,
25,लें,,,,,
26,।,,,,,
,,,,,,
1,उसने,ने,Originator,Agent,,
2,कहा,,,,,
3,",",,,,,
,,,,,,
1,"""",,,,,
2,अगर,,,,,
3,उन्होंने,ने,Agent,Agent,,
4,कभी,,,,,
5,यात्रा,,,,,
6,की,,,,,
7,तो,,,,,
8,इस,,,,,
9,चित्र,,,,,
10,से,से,Source,Source,,
11,उन्हें,को,Recipient,Recipient,,
12,सहायता,,,,,
13,मिलेगी,,,,,
14,।,,,,,
,,,,,,
1,कभी-कभी,,,,,
2,",",,,,,
3,कुछ,,,,,
4,दिनों,,,,,
5,बाद,के बाद,Time,Interval,,
6,अपना,का,Gestalt,Gestalt,,
7,काम,,,,,
8,फिर,,,,,
9,शुरू,,,,,
10,करने,,,,,
11,में,में,Topic,Topic,,
12,कोई,,,,,
13,कठिनाई,,,,,
14,नहीं,,,,,
15,होती,,,,,
16,लेकिन,,,,,
17,जहां,,,,,
18,तक,तक,Extent,Extent,,
19,बाओबाब,,,,,
20,का,,,,,
21,संबंध,,,,,
22,है,,,,,
23,उन्हें,को,Theme,Theme,,
24,नष्ट,,,,,
25,करने,,,,,
26,का,का,Identity,Identity,,
27,काम,,,,,
28,टालने,,,,,
29,में,में,Topic,Topic,,
30,बस,,,,,
31,खतरे,,,,,
32,ही,,,,,
33,खतरे,,,,,
34,हैं,,,,,
35,।,,,,,
,,,,,,
1,मैं,,,,,
2,एक,,,,,
3,ग्रह,,,,,
4,के,के बारे में,Topic,Topic,1:1,
5,बारे,के बारे में,,,1:2,
6,में,के बारे में,,,1:3,
7,जानता,,,,,
8,हूं,,,,,
9,जहां,,,,,
10,एक,,,,,
11,आलसी,,,,,
12,रहता,,,,,
13,था,,,,,
14,।,,,,,
,,,,,,
1,इसमें,में,Locus,Locus,,
2,तीन,,,,,
3,झाड़ों,,,,,
4,को,को,Theme,Theme,,
5,वैसे,,,,,
6,ही,,,,,
7,छोड़,,,,,
8,दिया,,,,,
9,था,,,,,
10,।,,,,,
,,,,,,
1,और,,,,,
2,...,,,,,
3,और,,,,,
4,।,,,,,
5,"""",,,,,
,,,,,,
1,नन्हे,,,,,
2,राजकुमार,,,,,
3,के,का,Originator,Gestalt,,
4,सुझावों,,,,,
5,पर,पर,Explanation,Time,,
6,मैंने,ने,Originator,Agent,,
7,उस,,,,,
8,ग्रह,,,,,
9,का,का,Topic,Topic,,
10,एक,,,,,
11,चित्र,,,,,
12,बनाया,,,,,
13,।,,,,,
,,,,,,
1,मैं,,,,,
2,उपदेश,,,,,
3,देना,,,,,
4,पसंद,,,,,
5,नहीं,,,,,
6,करता,,,,,
7,मगर,,,,,
8,बाओबाब,,,,,
9,से,से,Source,Source,,
10,खतरों,,,,,
11,के,के बारे में,Topic,Topic,1:1,
12,बारे,के बारे में,,,1:2,
13,में,के बारे में,,,1:3,
14,लोगों,,,,,
15,को,को,Experiencer,Recipient,,
16,इतना,,,,,
17,कम,,,,,
18,मालूम,,,,,
19,है,,,,,
20,और,,,,,
21,किसी,,,,,
22,जगह,,,,,
23,जहां,,,,,
24,ऐसे,,,,,
25,पेड़,,,,,
26,हों,,,,,
27,भटक,,,,,
28,जाने,,,,,
29,वाले,,,,,
30,के,के लिए,Beneficiary,Beneficiary,1:1,danger is not something experienced internally
31,लिए,के लिए,,,1:2,
32,खतरे,,,,,
33,इतने,,,,,
34,कि,,,,,
35,मैं,,,,,
36,एक,,,,,
37,बार,,,,,
38,संकोच,,,,,
39,का,का,Theme,Theme,,
40,परित्याग,,,,,
41,कर,,,,,
42,कह,,,,,
43,सकता,,,,,
44,हूं,,,,,
45,।,,,,,
,,,,,,
1,"""",,,,,
2,बच्चों,,,,,
3,!,,,,,
,,,,,,
1,बाओबाब,,,,,
2,से,से,Theme,Source,,
3,बचना।,,,,,
4,"""",,,,,
,,,,,,
1,मैंने,ने,Agent,Agent,,
2,इतनी,,,,,
3,मेहनत,,,,,
4,करके,,,,,
5,यह,,,,,
6,चित्र,,,,,
7,बनाया,,,,,
8,क्योंकि,,,,,
9,मेरी,की तरह,ComparisonRef,ComparisonRef,1:1,
10,तरह,की तरह,,,1:2,
11,मेरे,का,SocialRel,Gestalt,,
12,दोस्त,,,,,
13,बहुत,,,,,
14,दिनों,,,,,
15,से,से,Duration,StartTime,,*Q*
16,एक,,,,,
17,खतरा,,,,,
18,",",,,,,
19,बिना,बिना,Manner,Manner,,
20,उसे,,,,,
21,जाने,,,,,
22,",",,,,,
23,टालते,,,,,
24,रहे,,,,,
25,हैं,,,,,
26,और,,,,,
27,मैं,,,,,
28,उन्हें,को,Recipient,Recipient,,
29,चेतावनी,,,,,
30,देना,,,,,
31,चाहता,,,,,
32,हूं,,,,,
33,।,,,,,
,,,,,,
1,मैंने,ने,Agent,Agent,,
2,यह,,,,,
3,मेहनत,,,,,
4,बेकार,,,,,
5,नहीं,,,,,
6,की,,,,,
7,।,,,,,
,,,,,,
1,कोई,,,,,
2,सोच,,,,,
3,सकता,,,,,
4,है,,,,,
5,इस,,,,,
6,पूरी,,,,,
7,पुस्तक,,,,,
8,में,में,Locus,Locus,,
9,और,,,,,
10,कोई,,,,,
11,चित्र,,,,,
12,बाओबाब,,,,,
13,की,की तरह,ComparisonRef,ComparisonRef,1:1,
14,तरह,की तरह,,,1:2,
15,भड़कीला,,,,,
16,क्यों,,,,,
17,नहीं,,,,,
18,है,,,,,
19,।,,,,,
,,,,,,
1,उत्तर,,,,,
2,बहुत,,,,,
3,साधारण,,,,,
4,है,,,,,
5,",",,,,,
6,मैंने,ने,Agent,Agent,,
7,हर,,,,,
8,बार,,,,,
9,कोशिश,,,,,
10,की,,,,,
11,मगर,,,,,
12,सफलता,,,,,
13,नहीं,,,,,
14,मिली,,,,,
15,पर,,,,,
16,जब,,,,,
17,मैेंने,ने,Originator,Agent,,
18,बाओबाब,,,,,
19,का,का,Topic,Topic,,
20,चित्र,,,,,
21,बनाया,,,,,
22,तो,,,,,
23,बराबर,,,,,
24,सोच,,,,,
25,रहा,,,,,
26,था,,,,,
27,कि,,,,,
28,उसका,का,Theme,Theme,,
29,बनना,,,,,
30,कितना,,,,,
31,जरूरी,,,,,
32,था,,,,,
33,।,,,,,
,,,,,,
1,शायद,,,,,
2,इसीलिए,के लिए,Explanation,Explanation,,
3,यह,,,,,
4,चित्र,,,,,
5,अच्छा,,,,,
6,बन,,,,,
7,पड़ा,,,,,
8,।,,,,,
