,,Target,SS,SS2,MWE,Notes
5,बना,,,,,
6,रहता,,,,,
7,है,,,,,
8,।,,,,,
,,,,,,
1,उन्होंने,ने,Experiencer,Agent,,
2,कभी,,,,,
3,किसी,,,,,
4,से,से,Stimulus,Ancillary,,
5,प्यार,,,,,
6,नहीं,,,,,
7,किया,,,,,
8,।,,,,,
,,,,,,
1,कोई,,,,,
2,तारा,,,,,
3,नहीं,,,,,
4,देखा,,,,,
5,",",,,,,
6,कोई,,,,,
7,फूल,,,,,
8,नहीं,,,,,
9,सूंघा,,,,,
10,।,,,,,
,,,,,,
1,कभी,,,,,
2,जोड़-घटाने,,,,,
3,",",,,,,
4,हिसाब-किताब,,,,,
5,के,के अलावा,PartPortion,PartPortion,1:1,
6,अलावा,के अलावा,,,1:2,
7,कुछ,,,,,
8,नहीं,,,,,
9,किया,,,,,
10,।,,,,,
,,,,,,
1,वह,,,,,
2,भी,,,,,
3,सारे,,,,,
4,दिन,,,,,
5,तेरी,की तरह,ComparisonRef,ComparisonRef,1:1,
6,तरह,की तरह,,,1:2,
7,कहता,,,,,
8,रहता,,,,,
9,है,,,,,
10,",",,,,,
,,,,,,
1,"""",,,,,
2,मैं,,,,,
3,व्यस्त,,,,,
4,हूं,,,,,
5,-,,,,,
6,मुझे,को,Possessor,Recipient,,*Q*
7,बहुत,,,,,
8,काम,,,,,
9,है,,,,,
10,।,,,,,
11,’,,,,,
,,,,,,
1,और,,,,,
2,दम्भ,,,,,
3,से,से,Theme,Instrument,,
4,वह,,,,,
5,फूला,,,,,
6,रहता,,,,,
7,है,,,,,
8,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,वह,,,,,
3,भी,,,,,
4,कोई,,,,,
5,आदमी,,,,,
6,हुआ,,,,,
7,।,,,,,
,,,,,,
1,उसे,,,,,
2,कुकुरमुत्ता,,,,,
3,कहेंगे,,,,,
4,।,,,,,
5,"""",,,,,
,,,,,,
1,"""",,,,,
2,क्या?,,,,,
3,"""",,,,,
,,,,,,
1,"""",,,,,
2,कुकुरमुत्ता,,,,,
3,!,,,,,
4,"""",,,,,
,,,,,,
1,गुस्से,,,,,
2,से,से,Causer,Causer,,"*Q* uncertain, could be Causer?"
3,वह,,,,,
4,नीला-पीला,,,,,
5,होने,,,,,
6,लगा,,,,,
7,।,,,,,
,,,,,,
1,"""",,,,,
2,युग-युग,,,,,
3,से,से,Duration,StartTime,,*Q*
4,फूलों,,,,,
5,में,में,Locus,Locus,,
6,कांटे,,,,,
7,होते,,,,,
8,चले,,,,,
9,आए,,,,,
10,हैं,,,,,
11,और,,,,,
12,फिर,,,,,
13,भेड़,,,,,
14,फूलों,,,,,
15,को,को,Theme,Theme,,
16,खा,,,,,
17,जाती,,,,,
18,रही,,,,,
19,है,,,,,
20,।,,,,,
,,,,,,
1,यह,,,,,
2,समझने,,,,,
3,की,का,Theme,Theme,,
4,कोशिश,,,,,
5,करना,,,,,
6,महत्वपूर्ण,,,,,
7,नहीं,,,,,
8,है,,,,,
9,क्योंकि,,,,,
10,आखिर,,,,,
11,फूल,,,,,
12,एक,,,,,
13,ऐसी,,,,,
14,चीज,,,,,
15,को,को,Theme,Theme,,
16,क्यों,,,,,
17,वहन,,,,,
18,करते,,,,,
19,हैं,,,,,
20,जिसका,का,Gestalt,Gestalt,,*Q* use of a thing
21,कोई,,,,,
22,इस्तेमाल,,,,,
23,न,,,,,
24,हो,,,,,
25,?,,,,,
,,,,,,
1,फूल,,,,,
2,और,,,,,
3,भेड़,,,,,
4,की,का,Agent,Whole,,en guidelines 203
5,चली,,,,,
6,आ,,,,,
7,रही,,,,,
8,लड़ाई,,,,,
9,महत्वपूर्ण,,,,,
10,नहीं,,,,,
11,है,,,,,
12,क्या,,,,,
13,?,,,,,
,,,,,,
1,क्या,,,,,
2,इसे,को,Topic,Topic,,
3,समझना,,,,,
4,एक,,,,,
5,गोल-मटोल,,,,,
6,महाशय,,,,,
7,के,का,Agent,Gestalt,,
8,जोड़-घटाने,,,,,
9,से,से,ComparisonRef,ComparisonRef,,
10,ज्यादा,,,,,
11,गंभीर,,,,,
12,बात,,,,,
13,नहीं,,,,,
14,?,,,,,
,,,,,,
1,और,,,,,
2,यदि,,,,,
3,मैं,,,,,
4,कहूं,,,,,
5,कि,,,,,
6,मैं,,,,,
7,एक,,,,,
8,ऐसे,,,,,
9,फूल,,,,,
10,को,को,Topic,Topic,,
11,जानता,,,,,
12,हूं,,,,,
13,जो,,,,,
14,सिर्फ,,,,,
15,मेरी,का,Gestalt,Gestalt,,
16,दुनिया,,,,,
17,में,में,Locus,Locus,,
18,होता,,,,,
19,है,,,,,
20,और,,,,,
21,उसे,को,Theme,Theme,,
22,एक,,,,,
23,भेड़,,,,,
24,एक,,,,,
25,दिन,,,,,
26,ऐसे,,,,,
27,ही,,,,,
28,बिना,बिना,Manner,Manner,,
29,सोचे-समझे,,,,,
30,चर,,,,,
31,सकती,,,,,
32,है,,,,,
33,तो,,,,,
34,यह,,,,,
35,महत्वपूर्ण,,,,,
36,बात,,,,,
37,नहीं,,,,,
38,?,,,,,
39,"""",,,,,
,,,,,,
1,वह,,,,,
2,शर्म,,,,,
3,से,से,Causer,Causer,,*Q*
4,लाल,,,,,
5,हो,,,,,
6,रहा,,,,,
7,था,,,,,
8,।,,,,,
,,,,,,
1,बोला,,,,,
2,",",,,,,
,,,,,,
1,"""",,,,,
2,अगर,,,,,
3,कोई,,,,,
4,ऐसे,,,,,
5,फूल,,,,,
6,को,को,Stimulus,Theme,,
7,प्यार,,,,,
8,करे,,,,,
9,जो,,,,,
10,कोटि-कोटि,,,,,
11,तारों,,,,,
12,में,में,Locus,Locus,,
13,कहीं,,,,,
14,न,,,,,
15,पाया,,,,,
16,जाता,,,,,
17,हो,,,,,
18,-,,,,,
19,एकदम,,,,,
20,बेमिसाल,,,,,
21,हो,,,,,
22,",",,,,,
23,तो,,,,,
24,वह,,,,,
25,आसमान,,,,,
26,में,में,Locus,Locus,,
27,फैले,,,,,
28,सितारों,,,,,
29,को,को,Stimulus,Theme,,
30,निहारने,,,,,
31,मात्रा,,,,,
32,से,से,Stimulus,Causer,,
33,प्रसन्न,,,,,
34,हो,,,,,
35,जाएगा,,,,,
36,।,,,,,
,,,,,,
1,लेकिन,,,,,
2,यदि,,,,,
3,उसे,को,Theme,Theme,,
4,भेड़,,,,,
5,चर,,,,,
6,जाए,,,,,
7,तो,,,,,
8,सारे,,,,,
9,तारे,,,,,
10,उसके,के लिए,Beneficiary,Beneficiary,1:1,*Q*
11,लिए,के लिए,,,1:2,
12,बुझ,,,,,
13,से,,,,,
14,जाएंगे,,,,,
15,।,,,,,
,,,,,,
1,और,,,,,
2,यह,,,,,
3,कोई,,,,,
4,गम्भीर,,,,,
5,बात,,,,,
6,नहीं,,,,,
7,हुई,,,,,
8,?,,,,,
9,"""",,,,,
,,,,,,
1,इसके,के बाद,Time,Time,1:1,
2,बाद,के बाद,,,1:2,
3,वह,,,,,
4,कुछ,,,,,
5,नहीं,,,,,
6,कह,,,,,
7,सका,,,,,
8,।,,,,,
,,,,,,
1,जोर,,,,,
2,की,का,Characteristic,Identity,,
3,सुबकियां,,,,,
4,लेने,,,,,
5,लगा।,,,,,
,,,,,,
1,रात,,,,,
2,हो,,,,,
3,चुकी,,,,,
4,थी,,,,,
5,।,,,,,
,,,,,,
1,मैंने,ने,Agent,Agent,,
2,अपने,का,Possessor,Possessor,,
3,औजार,,,,,
4,रख,,,,,
5,दिए,,,,,
6,।,,,,,
,,,,,,
1,बोल्ट,,,,,
2,",",,,,,
3,हथौड़ा,,,,,
4,",",,,,,
5,प्यास,,,,,
6,",",,,,,
7,मौत,,,,,
8,-,,,,,
9,इनका,का,Gestalt,Gestalt,,
10,कोई,,,,,
11,अर्थ,,,,,
12,नहीं,,,,,
13,रह,,,,,
14,गया,,,,,
15,था,,,,,
16,।,,,,,
,,,,,,
1,एक,,,,,
2,ग्रह,,,,,
3,पर,पर,Locus,Locus,,
4,",",,,,,
5,मेरी,का,Gestalt,Gestalt,,
6,धरती,,,,,
7,पर,पर,Locus,Locus,,
8,",",,,,,
9,एक,,,,,
10,नन्हा,,,,,
11,राजकुमार,,,,,
12,था,,,,,
13,...,,,,,
,,,,,,
1,उसे,को,Recipient,Recipient,,
2,सांत्वना,,,,,
3,देनी,,,,,
4,थी,,,,,
5,।,,,,,
,,,,,,
1,मैंने,ने,Agent,Agent,,
2,उसे,को,Theme,Theme,,
3,बांहो,,,,,
4,में,में,Goal,Locus,,
5,भर,,,,,
6,लिया,,,,,
7,था,,,,,
8,।,,,,,
,,,,,,
1,उसे,को,Theme,Theme,,
2,थपथपाया,,,,,
3,",",,,,,
4,झुलाया,,,,,
5,और,,,,,
6,बोला,,,,,
7,",",,,,,
8,"""",,,,,
9,जिस,,,,,
10,फूल,,,,,
11,को,को,Stimulus,Theme,,
12,तू,,,,,
13,प्यार,,,,,
14,करता,,,,,
15,है,,,,,
16,उसे,को,Experiencer,Recipient,,
17,कोई,,,,,
18,भय,,,,,
19,नहीं,,,,,
20,...,,,,,
,,,,,,
1,मैं,,,,,
2,तेरी,का,Possessor,Possessor,,
3,भेड़,,,,,
4,का,का,Whole,Whole,,
5,मुंह,,,,,
6,बंद,,,,,
7,करने,,,,,
8,के,के लिए,Purpose,Purpose,,
9,लिए,के लिए,,,,
10,एक,,,,,
11,‘जाबा’,,,,,
12,बना,,,,,
13,दूंगा,,,,,
14,",",,,,,
15,तेरे,का,Possessor,Possessor,,
16,फूल,,,,,
17,के,के लिए,Beneficiary,Beneficiary,,
18,लिए,के लिए,,,,
19,कवच,,,,,
20,बना,,,,,
21,दूंगा,,,,,
22,।,,,,,
,,,,,,
1,"""",,,,,
2,मुझे,को,Experiencer,Recipient,,
3,समझ,,,,,
4,में,में,Goal,Locus,,
5,नहीं,,,,,
6,आ,,,,,
7,रहा,,,,,
8,था,,,,,
9,कि,,,,,
10,क्या,,,,,
11,कहूं,,,,,
12,।,,,,,
,,,,,,
1,मैं,,,,,
2,अनाड़ी,,,,,
3,लग,,,,,
4,रहा,,,,,
5,था,,,,,
6,।,,,,,
,,,,,,
1,सोच,,,,,
2,नहीं,,,,,
3,पा,,,,,
4,रहा,,,,,
5,था,,,,,
6,कि,,,,,
7,उस,,,,,
8,तक,तक,Extent,Extent,,
9,कैसे,,,,,
10,पहुंचूं,,,,,
11,उसे,को,Theme,Theme,,
12,छू-सकूं,,,,,
13,...,,,,,
,,,,,,
1,ओह,,,,,
2,!,,,,,
,,,,,,
1,बड़ा,,,,,
2,ही,,,,,
3,रहस्यमय,,,,,
4,है,,,,,
5,आंसुओं,,,,,
6,का,का,Stuff,Stuff,,*Q*
7,संसार,,,,,
8,।,,,,,
