,Target,SS,SS2,MWE,Notes
चलते,"","","","",""
रहे,"","","","",""
।,"","","","",""
,"","","","",""
रात,"","","","",""
हो,"","","","",""
गई,"","","","",""
।,"","","","",""
,"","","","",""
तारे,"","","","",""
जगमगाने,"","","","",""
लगे,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
प्यास,"","","","",""
की,की वजह से,Explanation,Explanation,1:1,""
वजह,की वजह से,"","",1:2,""
से,की वजह से,"","",1:3,""
बुखार,"","","","",""
था,"","","","",""
",","","","","",""
मुझे,को,Experiencer,Recipient,"",""
लग,"","","","",""
रहा,"","","","",""
था,"","","","",""
जैसे,जैसे,Manner,ComparisonRef,"",""
मैं,"","","","",""
स्वप्न,"","","","",""
लोक,"","","","",""
में,में,Locus,Locus,"",""
होऊँ,"","","","",""
।,"","","","",""
,"","","","",""
राजकुमार,"","","","",""
के,का,Originator,Gestalt,"",""
शब्द,"","","","",""
मेरी,"","","","",""
यादों,"","","","",""
में,में,Locus,Locus,"",*Q* idek
नाच,"","","","",""
से,"","","","",""
रहे,"","","","",""
थे,"","","","",""
।,"","","","",""
,"","","","",""
"""","","","","",""
तुझे,को,Experiencer,Recipient,"",""
भी,"","","","",""
प्यास,"","","","",""
लगी,"","","","",""
है,"","","","",""
न?,"","","","",""
"""","","","","",""
मैंने,ने,Originator,Agent,"",""
पूछा,"","","","",""
।,"","","","",""
"","","","","",""
मेरे,का,Originator,Gestalt,"",""
सवाल,"","","","",""
का,का,Topic,Topic,"",*Q* I don't like this
जवाब,"","","","",""
नहीं,"","","","",""
मिला,"","","","",""
।,"","","","",""
,"","","","",""
उसने,ने,Originator,Agent,"",""
मुझसे,से,Recipient,Ancillary,"",""
सीधे,"","","","",""
से,"","","","",""
कहा,"","","","",""
",","","","","",""
"""","","","","",""
पानी,"","","","",""
दिल,"","","","",""
की,का,Gestalt,Gestalt,"",""
मजबूती,"","","","",""
के,के लिए,Purpose,Purpose,1:1,""
लिए,के लिए,"","",1:2,""
भी,"","","","",""
जरूरी,"","","","",""
है,"","","","",""
...,"","","","",""
"""","","","","",""
"","","","","",""
मैं,"","","","",""
उसका,का,Originator,Gestalt,"",""
जवाब,"","","","",""
समझा,"","","","",""
नहीं,"","","","",""
।,"","","","",""
,"","","","",""
पर,"","","","",""
मैं,"","","","",""
चुप,"","","","",""
हो,"","","","",""
गया,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
अच्छी,"","","","",""
तरह,"","","","",""
मालूम,"","","","",""
था,"","","","",""
कि,"","","","",""
उससे,से,Recipient,Source,"",""
सवाल,"","","","",""
नहीं,"","","","",""
पूछना,"","","","",""
चाहिए,"","","","",""
।,"","","","",""
,"","","","",""
वह,"","","","",""
थक,"","","","",""
गया,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
बैठ,"","","","",""
गया,"","","","",""
।,"","","","",""
,"","","","",""
मैं,"","","","",""
भी,"","","","",""
उसके,के पास,Locus,Locus,1:1,""
पास,के पास,"","",1:2,""
ही,"","","","",""
बैठ,"","","","",""
गया,"","","","",""
।,"","","","",""
,"","","","",""
कुछ,"","","","",""
देर,"","","","",""
चुप,"","","","",""
रहा,"","","","",""
फिर,"","","","",""
वह,"","","","",""
बोला,"","","","",""
",","","","","",""
"""","","","","",""
मेरा,का,Gestalt,Gestalt,"",""
सितारा,"","","","",""
एक,"","","","",""
फूल,"","","","",""
की,की वजह से,Explanation,Explanation,1:1,""
वजह,की वजह से,"","",1:2,""
से,की वजह से,"","",1:3,""
सुंदर,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
परंतु,"","","","",""
फूल,"","","","",""
है,"","","","",""
कि,"","","","",""
दिखाई,"","","","",""
ही,"","","","",""
नहीं,"","","","",""
देता,"","","","",""
।,"","","","",""
"""","","","","",""
"","","","","",""
मैंने,ने,Experiencer,Agent,"",""
इस,"","","","",""
बात,"","","","",""
की,का,Topic,Topic,"",""
पुष्टि,"","","","",""
की,,"","","",""
और,"","","","",""
चुपचाप,"","","","",""
चांदनी,"","","","",""
में,में,Locus,Locus,"",""
रेत,"","","","",""
की,का,Stuff,Stuff,"",""
सिलवटों,"","","","",""
को,को,Stimulus,Theme,"",""
देखता,"","","","",""
रहा,"","","","",""
।,"","","","",""
,"","","","",""
"""","","","","",""
कितना,"","","","",""
सुंदर,"","","","",""
है,"","","","",""
रेगिस्तान,"","","","",""
",","","","","",""
"""","","","","",""
राजकुमार,"","","","",""
बोला,"","","","",""
।,"","","","",""
,"","","","",""
उसने,ने,Originator,Agent,"",""
सही,"","","","",""
ही,"","","","",""
कहा,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
भी,"","","","",""
रेगिस्तान,"","","","",""
अच्छा,"","","","",""
लगता,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
रेत,"","","","",""
के,का,Stuff,Stuff,"",""
टीले,"","","","",""
पर,पर,Locus,Locus,"",""
बैठने,"","","","",""
पर,पर,Circumstance,Time,"",*Q*
चारों,"","","","",""
ओर,"","","","",""
देखें,"","","","",""
तो,"","","","",""
कुछ,"","","","",""
नहीं,"","","","",""
दिखाई,"","","","",""
देता,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
कुछ,"","","","",""
सुनाई,"","","","",""
भी,"","","","",""
नहीं,"","","","",""
पड़ता,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
परंतु,"","","","",""
फिर,"","","","",""
भी,"","","","",""
शांति,"","","","",""
में,में,Circumstance,Circumstance,"",""
कुछ,"","","","",""
गूंजता,"","","","",""
सा,"","","","",""
लगता,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
"""","","","","",""
रेगिस्तान,"","","","",""
इसलिए,के लिए,Explanation,Explanation,"",""
सुंदर,"","","","",""
है,"","","","",""
कि,"","","","",""
इसमें,में,Locus,Locus,"",""
कहीं,"","","","",""
एक,"","","","",""
सोता,"","","","",""
छिपा,"","","","",""
है,"","","","",""
...,"","","","",""
"""","","","","",""
"","","","","",""
अचानक,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
रेत,"","","","",""
की,का,Gestalt,Gestalt,"",""
चमक,"","","","",""
का,का,Topic,Topic,"",""
रहस्य,"","","","",""
समझ,"","","","",""
में,में,Goal,Locus,"",""
आ,"","","","",""
गया,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
बड़ा,"","","","",""
अचरज,"","","","",""
हुआ,"","","","",""
।,"","","","",""
,"","","","",""
जब,"","","","",""
मैं,"","","","",""
छोटा,"","","","",""
था,"","","","",""
तो,"","","","",""
एक,"","","","",""
पुराने,"","","","",""
घर,"","","","",""
में,में,Locus,Locus,"",""
रहता,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
उसके,के बारे में,Topic,Topic,1:1,""
बारे,के बारे में,"","",1:2,""
में,के बारे में,"","",1:3,""
प्रचलित,"","","","",""
था,"","","","",""
कि,"","","","",""
उसके,के नीचे,Locus,Locus,2:1,""
नीचे,के नीचे,"","",2:2,""
एक,"","","","",""
खजाना,"","","","",""
दबा,"","","","",""
पड़ा,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
यह,"","","","",""
सच,"","","","",""
है,"","","","",""
कि,"","","","",""
न,"","","","",""
किसी,"","","","",""
ने,ने,Recipient,Agent,"",""
उसे,को,Possession,Theme,"",*Q*
पाया,"","","","",""
",","","","","",""
न,"","","","",""
ढूंढा,"","","","",""
लेकिन,"","","","",""
एक,"","","","",""
सम्मोहन,"","","","",""
था,"","","","",""
उस,"","","","",""
किंवदंती,"","","","",""
में,में,Topic,Topic,"",""
कि,"","","","",""
मेरे,का,Possessor,Possessor,"",""
घर,"","","","",""
में,में,Locus,Locus,"",""
एक,"","","","",""
रहस्य,"","","","",""
छिपा,"","","","",""
है,"","","","",""
...,"","","","",""
"","","","","",""
"""","","","","",""
हां,"","","","",""
",","","","","",""
"""","","","","",""
मैंने,ने,Originator,Agent,"",""
कहा,"","","","",""
",","","","","",""
"""","","","","",""
चाहें,"","","","",""
घर,"","","","",""
हो,"","","","",""
",","","","","",""
या,"","","","",""
तारे,"","","","",""
या,"","","","",""
रेगिस्तान,"","","","",""
उनके,का,Gestalt,Gestalt,"",""
सौन्दर्य,"","","","",""
का,का,Gestalt,Gestalt,"",*Q*
कारण,"","","","",""
एक,"","","","",""
अदृश्य,"","","","",""
होता,"","","","",""
है,"","","","",""
।,"","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
तू,"","","","",""
मेरी,का,Gestalt,Gestalt,"",*Q*
लोमड़ी,"","","","",""
की,का,Originator,Gestalt,"",""
बात,"","","","",""
से,से,Topic,Ancillary,"",*Q*
सहमत,"","","","",""
है,"","","","",""
",","","","","",""
इससे,से,Causer,Source,"",""
मुझे,को,Experiencer,Recipient,"",""
खुशी,"","","","",""
हुई,"","","","",""
",","","","","",""
"""","","","","",""
वह,"","","","",""
बोला,"","","","",""
।,"","","","",""
"","","","","",""
राजकुमार,"","","","",""
थक,"","","","",""
कर,"","","","",""
सो,"","","","",""
गया,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
मैंने,ने,Agent,Agent,"",""
उसे,को,Theme,Theme,"",""
बाहों,"","","","",""
में,में,Locus,Locus,"",""
उठा,"","","","",""
लिया,"","","","",""
और,"","","","",""
चल,"","","","",""
पड़ा,"","","","",""
।,"","","","",""
"","","","","",""
मेरा,का,Experiencer,Gestalt,"",""
मन,"","","","",""
भर,"","","","",""
आया,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
लग,"","","","",""
रहा,"","","","",""
था,"","","","",""
कि,"","","","",""
वह,"","","","",""
एक,"","","","",""
कमजोर,"","","","",""
खजाना,"","","","",""
हो,"","","","",""
-,"","","","",""
ऐसा,"","","","",""
लग,"","","","",""
रहा,"","","","",""
था,"","","","",""
जैसे,जैसे,ComparisonRef,ComparisonRef,"",""
इससे,से,ComparisonRef,ComparisonRef,"",""
दुर्बल,"","","","",""
कोई,"","","","",""
चीज,"","","","",""
ही,"","","","",""
न,"","","","",""
हो,"","","","",""
इस,"","","","",""
धरती,"","","","",""
पर,पर,Locus,Locus,"",""
।,"","","","",""
"","","","","",""
चांदनी,"","","","",""
फैली,"","","","",""
हुई,"","","","",""
थी,"","","","",""
।,"","","","",""
,"","","","",""
मैंने,ने,Experiencer,Agent,"",""
उसका,का,Whole,Whole,"",""
पीला,"","","","",""
ललाट,"","","","",""
",","","","","",""
बंद,"","","","",""
आंखें,"","","","",""
",","","","","",""
हवा,"","","","",""
में,में,Locus,Locus,"",""
हिलते,,"","","",""
उसके,का,Whole,Whole,"",""
घुंघराले,"","","","",""
बाल,"","","","",""
देखे,"","","","",""
और,"","","","",""
सोचने,"","","","",""
लगा,"","","","",""
",","","","","",""
जो,"","","","",""
दिखाई,"","","","",""
दे,"","","","",""
रहा,"","","","",""
है,"","","","",""
वह,"","","","",""
केवल,"","","","",""
ऊपरी,"","","","",""
सतह,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
मुख्य,"","","","",""
चीज,"","","","",""
तो,"","","","",""
अदृश्य,"","","","",""
है,"","","","",""
...,"","","","",""
!,"","","","",""
,"","","","",""
उसके,का,Whole,Whole,"",""
अधखुले,"","","","",""
होठों,"","","","",""
में,में,Locus,Locus,"",""
से,से,Source,Source,"",""
एक,"","","","",""
मुस्कराहट,"","","","",""
झांक,"","","","",""
रही,"","","","",""
थी,"","","","",""
।,"","","","",""
,"","","","",""
मैंने,ने,Experiencer,Agent,"",""
सोचा,"","","","",""
",","","","","",""
इस,"","","","",""
राजकुमार,"","","","",""
की,का,Originator,Gestalt,"",""
जिस,"","","","",""
बात,"","","","",""
से,से,Causer,Source,"",""
मैं,"","","","",""
इतना,"","","","",""
प्रभावित,"","","","",""
हूं,"","","","",""
वह,"","","","",""
है,"","","","",""
इसके,का,Experiencer,Gestalt,"",""
मन,"","","","",""
में,में,Locus,Locus,"",*Q* metaphoricla
एक,"","","","",""
फूल,"","","","",""
के,के लिए,Stimulus,Beneficiary,1:1,""
लिए,के लिए,"","",1:2,""
प्यार,"","","","",""
",","","","","",""
उसी,"","","","",""
गुलाब,"","","","",""
के,का,Identity,Identity,"",""
फूल,"","","","",""
की,का,Gestalt,Gestalt,"",""
छाया,"","","","",""
इस,"","","","",""
पर,पर,Locus,Locus,"",*Q* metaphorical
उसी,"","","","",""
तरह,"","","","",""
व्याप्त,"","","","",""
है,"","","","",""
जैसे,जैसे,Manner,ComparisonRef,"",""
किसी,"","","","",""
चिराग,"","","","",""
की,का,Gestalt,Gestalt,"",*Q* Whole?
लौ,"","","","",""
।,"","","","",""
"","","","","",""
मुझे,को,Experiencer,Recipient,"",""
वह,"","","","",""
और,"","","","",""
कमजोर,"","","","",""
लगने,"","","","",""
लगा,"","","","",""
।,"","","","",""
,"","","","",""
लौ,"","","","",""
को,को,Theme,Theme,"",""
हवा,"","","","",""
से,से,Theme,Source,"",""
बचाना,"","","","",""
चाहिए,"","","","",""
वरना,"","","","",""
वो,"","","","",""
एक,"","","","",""
झोंके,"","","","",""
में,में,Locus,Locus,"",""
बुझ,"","","","",""
सकती,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
इसी,"","","","",""
तरह,"","","","",""
चलते-चलते,"","","","",""
इधर,"","","","",""
सूरज,"","","","",""
की,का,Originator,Gestalt,"",*Q*
किरणें,"","","","",""
फूटीं,"","","","",""
",","","","","",""
उधर,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
एक,"","","","",""
कुआं,"","","","",""
नजर,"","","","",""
आया,"","","","",""
।,"","","","",""
,"","","","",""
