"","Target","SS","SS2","MWE","Notes",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"यह","","","","","",""
"तो","","","","","",""
"मजेदार","","","","","",""
"बात","","","","","",""
"हुई","","","","","",""
",","","","","","",""
"यह","","","","","",""
"तो","","","","","",""
"एक","","","","","",""
"अच्छा","","","","","",""
"व्यवसाय","","","","","",""
"हुआ","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"ने","ने","Experiencer","Agent","","",""
"इस","","","","","",""
"भूगोलवेत्ता","","","","","",""
"के","का","Gestalt","Gestalt","","",""
"ग्रह","","","","","",""
"पर","पर","Stimulus","Topic","","",""
"नजर","","","","","",""
"दौड़ाई","","","","","",""
"।","","","","","",""
"","","","","","",""
"उसने","ने","Experiencer","Agent","","",""
"अभी","","","","","",""
"तक","तक","EndTime","EndTime","","",""
"इतना","","","","","",""
"शानदार","","","","","",""
"ग्रह","","","","","",""
"नहीं","","","","","",""
"देखा","","","","","",""
"था","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"तुम्हारा","का","Gestalt","Gestalt","","",""
"ग्रह","","","","","",""
"तो","","","","","",""
"बहुत","","","","","",""
"सुंदर","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"यहां","","","","","",""
"समुद्र","","","","","",""
"है","","","","","",""
"क्या","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"हो","","","","","",""
"सकता","","","","","",""
"है","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"वाह","","","","","",""
"!","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"थोड़ा","","","","","",""
"हताश","","","","","",""
"हुआ","","","","","",""
",","","","","","",""
"और","","","","","",""
"पहाड़","","","","","",""
"है","","","","","",""
"यहां","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"मुझे","को","Experiencer","Recipient","","",""
"कैसे","","","","","",""
"मालूम","","","","","",""
"होगा","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"नगर","","","","","",""
",","","","","","",""
"नदियां","","","","","",""
"और","","","","","",""
"रेगिस्तान","","","","","",""
"हैं","","","","","",""
"यहां","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"इनके","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"भी","","","","","",""
"मुझे","को","Experiencer","Recipient","","",""
"नहीं","","","","","",""
"मालूम","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"लेकिन","","","","","",""
"आप","","","","","",""
"तो","","","","","",""
"भूगोलवेत्ता","","","","","",""
"हैं","","","","","",""
"!","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"हूं","","","","","",""
"तो","","","","","",""
"लेकिन","","","","","",""
"खोज","","","","","",""
"तो","","","","","",""
"करता","","","","","",""
"नहीं","","","","","",""
"।","","","","","",""
"","","","","","",""
"वह","","","","","",""
"प्रकृति","","","","","",""
"मुझ","","","","","",""
"में","में","Gestalt","Locus","","",""
"बिल्कुल","","","","","",""
"नहीं","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"भूगोलवेत्ता","","","","","",""
"तो","","","","","",""
"जाएगा","","","","","",""
"नहीं","","","","","",""
"नगरों","","","","","",""
",","","","","","",""
"नदियों","","","","","",""
",","","","","","",""
"पहाड़ों","","","","","",""
",","","","","","",""
"सागरों","","","","","",""
",","","","","","",""
"महासागरों","","","","","",""
"और","","","","","",""
"रेगिस्तानों","","","","","",""
"की","का","Stimulus","Gestalt","","",""
"गिनती","","","","","",""
"करने","","","","","",""
"।","","","","","",""
"","","","","","",""
"इधर-उधर","","","","","",""
"घूमना","","","","","",""
"उसका","का","Gestalt","Gestalt","","",""
"काम","","","","","",""
"नहीं","","","","","",""
"।","","","","","",""
"","","","","","",""
"यह","","","","","",""
"तो","","","","","",""
"काफ़ी","","","","","",""
"महत्वपूर्ण","","","","","",""
"होता","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"वह","","","","","",""
"अपनी","का","Possessor","Possessor","","*Q*",""
"कुर्सी","","","","","",""
"नहीं","","","","","",""
"छोड़","","","","","",""
"सकता","","","","","",""
"।","","","","","",""
"","","","","","",""
"यहीं","","","","","",""
"उसे","को","Recipient","Recipient","","",""
"खोज","","","","","",""
"करने","","","","","",""
"वाले","वाला","","","","*Q*",""
"मिल","","","","","",""
"जाते","","","","","",""
"हैं","","","","","",""
"।","","","","","",""
"","","","","","",""
"वह","","","","","",""
"उनसे","से","Recipient","Source","","",""
"प्रश्न","","","","","",""
"करता","","","","","",""
"है","","","","","",""
"और","","","","","",""
"खोजकर्ताओं","","","","","",""
"के","का","Experiencer","Gestalt","","",""
"अनुभवों","","","","","",""
"को","को","Topic","Theme","","*Q*",""
"नोट","","","","","",""
"करता","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"और","","","","","",""
"अगर","","","","","",""
"किसी","","","","","",""
"खोजकर्ता","","","","","",""
"का","का","Originator","Gestalt","","",""
"बयान","","","","","",""
"दिलचस्प","","","","","",""
"लगे","","","","","",""
"तो","","","","","",""
"वह","","","","","",""
"पता","","","","","",""
"लगाता","","","","","",""
"है","","","","","",""
"कि","","","","","",""
"वह","","","","","",""
"कैसा","","","","","",""
"आदमी","","","","","",""
"है","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"वह","","","","","",""
"किस","","","","","",""
"लिए","के लिए","Explanation","Explanation","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"क्योंकि","","","","","",""
"ऐसा","ऐसा","PartPortion","ComparisonRef","","",""
"एक","","","","","",""
"व्यक्ति","","","","","",""
"जो","","","","","",""
"झूठ","","","","","",""
"बोलता","","","","","",""
"हो","","","","","",""
"भूगोल","","","","","",""
"की","का","Topic","Topic","","",""
"किताबों","","","","","",""
"की","का","Gestalt","Gestalt","","",""
"मिट्टी","","","","","",""
"पलीद","","","","","",""
"कर","","","","","",""
"देगा","","","","","",""
"।","","","","","",""
"","","","","","",""
"वह","","","","","",""
"भी","","","","","",""
"जो","","","","","",""
"शराबी","","","","","",""
"हो","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"लेकिन","","","","","",""
"क्यों","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"क्योंकि","","","","","",""
"शराबी","","","","","",""
"को","को","Experiencer","Recipient","","",""
"चीजें","","","","","",""
"दोहरी","","","","","",""
"दिखाई","","","","","",""
"पड़ती","","","","","",""
"हैं","","","","","",""
"और","","","","","",""
"भूगोलवेत्ता","","","","","",""
"उसके","का","Originator","Gestalt","","",""
"बयान","","","","","",""
"के","के अनुसार","`d","`d","1:1","",""
"अनुसार","के अनुसार","","","1:2","",""
"यहां","","","","","",""
"एक","","","","","",""
"पहाड़","","","","","",""
"है","","","","","",""
"वहां","","","","","",""
"दो","","","","","",""
"पहाड़","","","","","",""
"लिख","","","","","",""
"देगा","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"मैं","","","","","",""
"एक","","","","","",""
"व्यक्ति","","","","","",""
"को","को","Stimulus","Theme","","",""
"जानता","","","","","",""
"हूं","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"बोला","","","","","",""
",","","","","","",""
"","","","","","",""
"""","","","","","",""
"जो","","","","","",""
"अच्छी","","","","","",""
"खोज","","","","","",""
"नहीं","","","","","",""
"कर","","","","","",""
"सकता","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"हो","","","","","",""
"सकता","","","","","",""
"है","","","","","",""
"यदि","","","","","",""
"खोज","","","","","",""
"करने","","","","","",""
"वाले","वाला","","","","*Q*",""
"का","का","Gestalt","Gestalt","","",""
"चरित्रा","","","","","",""
"अच्छा","","","","","",""
"है","","","","","",""
"तो","","","","","",""
"उसके","का","Experiencer","Gestalt","","",""
"आविष्कार","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"छानबीन","","","","","",""
"की","","","","","",""
"जाती","","","","","",""
"है","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"वहां","","","","","",""
"जाकर","","","","","",""
"देखा","","","","","",""
"जाता","","","","","",""
"है","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"नहीं","","","","","",""
"भाई","","","","","",""
",","","","","","",""
"जाना","","","","","",""
"तो","","","","","",""
"मुश्किल","","","","","",""
"होता","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"हां","","","","","",""
"उससे","से","Recipient","Ancillary","","",""
"कहा","","","","","",""
"जाता","","","","","",""
"है","","","","","",""
"कि","","","","","",""
"वह","","","","","",""
"अपनी","का","Experiencer","Gestalt","","",""
"खोज","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"सबूत","","","","","",""
"दे","","","","","",""
"।","","","","","",""
"","","","","","",""
"उदाहरण","","","","","",""
"के","के लिए","`d","`d","1:1","",""
"लिए","के लिए","","","1:2","",""
"यदि","","","","","",""
"आविष्कार","","","","","",""
"किसी","","","","","",""
"बड़े","","","","","",""
"पहाड़","","","","","",""
"से","से","Topic","Ancillary","","*Q*",""
"संबंधित","","","","","",""
"है","","","","","",""
"तो","","","","","",""
"उससे","से","Recipient","Ancillary","","",""
"कहा","","","","","",""
"जाता","","","","","",""
"है","","","","","",""
"कि","","","","","",""
"वह","","","","","",""
"वहां","","","","","",""
"से","से","Source","Source","","",""
"बड़ी-बड़ी","","","","","",""
"चट्टानें","","","","","",""
"लाए","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"अचानक","","","","","",""
"वह","","","","","",""
"भूगोलवेत्ता","","","","","",""
"भावावेश","","","","","",""
"में","में","Goal","Locus","","end state",""
"आ","","","","","",""
"गया","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"तू","","","","","",""
"...","","","","","",""
"तू","","","","","",""
"भी","","","","","",""
"तो","","","","","",""
"अन्वेषक","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"तू","","","","","",""
"तो","","","","","",""
"दूर","","","","","",""
"से","से","Source","Source","","",""
"आ","","","","","",""
"रहा","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"मुझे","को","Recipient","Recipient","","",""
"अपने","का","Gestalt","Gestalt","","",""
"ग्रह","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"बता","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"और","","","","","",""
"उस","","","","","",""
"विद्वान","","","","","",""
"ने","ने","Agent","Agent","","",""
"अपना","का","Possessor","Possessor","","",""
"रजिस्टर","","","","","",""
"खोला","","","","","",""
",","","","","","",""
"पेन्सिल","","","","","",""
"बनाई","","","","","",""
"।","","","","","",""
"","","","","","",""
"खोज","","","","","",""
"के","का","Topic","Identity","","",""
"विषय","","","","","",""
"में","में","Topic","Topic","","",""
"पहले","","","","","",""
"पेन्सिल","","","","","",""
"से","से","Instrument","Instrument","","",""
"लिखा","","","","","",""
"जाता","","","","","",""
"है","","","","","",""
"फिर","","","","","",""
"जब","","","","","",""
"बात","","","","","",""
"साबित","","","","","",""
"हो","","","","","",""
"जाती","","","","","",""
"है","","","","","",""
"तब","","","","","",""
"रोशनाई","","","","","",""
"से","से","Instrument","Instrument","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"हां","","","","","",""
"तो","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"उसने","ने","Originator","Agent","","",""
"राजकुमार","","","","","",""
"से","से","Recipient","Source","","",""
"पूछा","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"अच्छा","","","","","",""
"!","","","","","",""
"","","","","","",""
"अच्छा","","","","","",""
"!","","","","","",""
"","","","","","",""
"मेरे","का","Gestalt","Gestalt","","",""
"ग्रह","","","","","",""
"पर","पर","Locus","Locus","","",""
"कोई","","","","","",""
"खास","","","","","",""
"बात","","","","","",""
"नहीं","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"छोटा","","","","","",""
"सा","","","","","",""
"है","","","","","",""
"।","","","","","",""
"","","","","","",""
"वहां","","","","","",""
"तीन","","","","","",""
"ज्वालामुखी","","","","","",""
"हैं","","","","","",""
"दो","","","","","",""
"प्रज्जवलित","","","","","",""
"हैं","","","","","",""
"और","","","","","",""
"एक","","","","","",""
"सुप्त","","","","","",""
"।","","","","","",""
"","","","","","",""
"लेकिन","","","","","",""
"कौन","","","","","",""
"जाने","","","","","",""
"...","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"कौन","","","","","",""
"जाने","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"भूगोलवेत्ता","","","","","",""
"ने","ने","Originator","Agent","","",""
"दोहराया","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"मेरे","का","Possessor","Possessor","","",""
"वहां","","","","","",""
"एक","","","","","",""
"फूल","","","","","",""
"भी","","","","","",""
"है","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"फूलों-वूलों","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"हम","","","","","",""
"लोग","","","","","",""
"नोट","","","","","",""
"नहीं","","","","","",""
"लेते।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"क्यों","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"फूल","","","","","",""
"तो","","","","","",""
"सबसे","से","ComparisonRef","ComparisonRef","","",""
"क्षणभंगुर","","","","","",""
"होते","","","","","",""
"हैं","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"क्षणभंगुर","","","","","",""
"के","का","Gestalt","Gestalt","","",""
"क्या","","","","","",""
"माने","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"भूगोल","","","","","",""
"की","का","Topic","Topic","","",""
"किताबें","","","","","",""
"अन्य","","","","","",""
"सब","","","","","",""
"किताबों","","","","","",""
"से","से","ComparisonRef","ComparisonRef","","",""
"मूल्यवान","","","","","",""
"होती","","","","","",""
"हैं","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"वह","","","","","",""
"भूगोलवेत्ता","","","","","",""
"बोला","","","","","",""
",","","","","","",""
"","","","","","",""
"""","","","","","",""
"वे","","","","","",""
"कभी","","","","","",""
"पुरानी","","","","","",""
"नहीं","","","","","",""
"पड़तीं","","","","","",""
"।","","","","","",""
"","","","","","",""
"पहाड़","","","","","",""
"मुश्किल","","","","","",""
"से","से","Manner","Manner","","",""
"कभी","","","","","",""
"अपनी","का","Gestalt","Gestalt","","",""
"जगह","","","","","",""
"बदलते","","","","","",""
"हैं","","","","","",""
",","","","","","",""
"सागर","","","","","",""
"कभी","","","","","",""
"नहीं","","","","","",""
"सूखते","","","","","",""
"।","","","","","",""
"","","","","","",""
"हम","","","","","",""
"ऐसी","","","","","",""
"ही","","","","","",""
"स्थाई","","","","","",""
"चीजों","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"लिखते","","","","","",""
"हैं","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"लेकिन","","","","","",""
"सुप्त","","","","","",""
"ज्वालामुखी","","","","","",""
"फिर","","","","","",""
"भड़क","","","","","",""
"सकते","","","","","",""
"हैं","","","","","",""
",","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"ने","ने","Originator","Agent","","",""
"टोका","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"पर","","","","","",""
"क्षणभंगुर","","","","","",""
"का","का","Gestalt","Gestalt","","",""
"अर्थ","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"ज्वालामुखी","","","","","",""
"शांत","","","","","",""
"हो","","","","","",""
"या","","","","","",""
"जीवंत","","","","","",""
"हमें","को","Experiencer","Recipient","","",""
"कोई","","","","","",""
"फर्क","","","","","",""
"नहीं","","","","","",""
"पड़ता","","","","","",""
"।","","","","","",""
"","","","","","",""
"हमारे","के लिए","Experiencer","Beneficiary","1:1","",""
"लिए","के लिए","","","1:2","",""
"तो","","","","","",""
"यही","","","","","",""
"महत्वपूर्ण","","","","","",""
"है","","","","","",""
"कि","","","","","",""
"वे","","","","","",""
"पहाड़","","","","","",""
"हैं","","","","","",""
",","","","","","",""
"और","","","","","",""
"पहाड़","","","","","",""
",","","","","","",""
"पहाड़","","","","","",""
"ही","","","","","",""
"होते","","","","","",""
"हैं","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"लेकिन","","","","","",""
"क्षणभंगुर","","","","","",""
"का","का","Gestalt","Gestalt","","",""
"मतलब?","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"अपने","का","Originator","Gestalt","","",""
"प्रश्न","","","","","",""
"नहीं","","","","","",""
"भूलता","","","","","",""
"था","","","","","",""
"।","","","","","",""
"","","","","","",""
"""","","","","","",""
"उसका","का","Gestalt","Gestalt","","",""
"मतलब","","","","","",""
"है","","","","","",""
"जो","","","","","",""
"जल्दी","","","","","",""
"ही","","","","","",""
"समाप्त","","","","","",""
"होने","","","","","",""
"वाला","वाला","NONSNACS","NONSNACS","","",""
"हो","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"मेरा","का","Possessor","Possessor","","",""
"फूल","","","","","",""
"समाप्त","","","","","",""
"हो","","","","","",""
"जाएगा","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"और","","","","","",""
"क्या","","","","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"राजकुमार","","","","","",""
"ने","ने","Experiencer","Agent","","",""
"सोचा","","","","","",""
"मेरा","का","Possessor","Possessor","","",""
"फूल","","","","","",""
"क्षणभंगुर","","","","","",""
"है","","","","","",""
"और","","","","","",""
"सारी","","","","","",""
"दुनिया","","","","","",""
"से","से","Agent","Ancillary","","",""
"जूझने","","","","","",""
"के","के लिए","Purpose","Purpose","1:1","",""
"लिए","के लिए","","","1:2","",""
"बस","","","","","",""
"चार","","","","","",""
"कांटें","","","","","",""
"हैं","","","","","",""
"उसके","के पास","Whole","Locus","1:1","",""
"पास","के पास","","","1:2","",""
"।","","","","","",""
"","","","","","",""
"फिर","","","","","",""
"भी","","","","","",""
"उसे","को","Theme","Theme","","",""
"मैंने","ने","Agent","Agent","","",""
"अकेला","","","","","",""
"छोड़","","","","","",""
"दिया","","","","","",""
"।","","","","","",""
"","","","","","",""
"पहली","","","","","",""
"बार","","","","","",""
"उसे","को","Experiencer","Recipient","","",""
"दुख","","","","","",""
"हुआ","","","","","",""
"।","","","","","",""
"","","","","","",""
"पर","","","","","",""
"फौरन","","","","","",""
"साहस","","","","","",""
"कर","","","","","",""
"उसने","ने","Originator","Agent","","",""
"पूछा","","","","","",""
",","","","","","",""
"","","","","","",""
"""","","","","","",""
"आप","","","","","",""
"मुझे","को","Recipient","Recipient","","",""
"कहां","","","","","",""
"की","का","Goal","Gestalt","","",""
"यात्रा","","","","","",""
"करने","","","","","",""
"की","का","Topic","Topic","","",""
"राय","","","","","",""
"देंगे","","","","","",""
"?","","","","","",""
"""","","","","","",""
"","","","","","",""
"""","","","","","",""
"तुम","","","","","",""
"पृथ्वी","","","","","",""
"पर","पर","Goal","Locus","","",""
"जाओ","","","","","",""
"।","","","","","",""
"","","","","","",""
"बड़ा","","","","","",""
"नाम","","","","","",""
"है","","","","","",""
"उसका","का","Gestalt","Gestalt","","",""
"।","","","","","",""
"""","","","","","",""
"","","","","","",""
"अपने","का","Possessor","Possessor","","",""
"फूल","","","","","",""
"के","के बारे में","Topic","Topic","1:1","",""
"बारे","के बारे में","","","1:2","",""
"में","के बारे में","","","1:3","",""
"सोचता","","","","","",""
"हुआ","","","","","",""
"नन्हा","","","","","",""
"राजकुमार","","","","","",""
"पृथ्वी","","","","","",""
"की","की ओर","Direction","Direction","2:1","",""
"ओर","की ओर","","","2:2","",""
"चल","","","","","",""
"पड़ा","","","","","",""
"।","","","","","",""
"","","","","","",""
